             Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 10.1  INCOME DISTRIBUTION, Age of reference person",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65 YEARS AND OVER,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15–24,25–34,35–44,45–54,55–64,65–74,"75 and 
over",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEKLY VALUE ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private income,1542,2330,2680,2891,2382,1078,565,854,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances(a),151,140,158,141,157,372,479,419,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross income,1700,2465,2837,3033,2538,1450,1045,1273,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disposable income,1494,1985,2218,2373,2039,1310,985,1168,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable income,944,1165,1133,1212,1243,932,775,870,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private income,1387,2035,2232,2355,1748,518,74,275,1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances(a),0,0,0,0,0,393,479,479,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross income,1536,2172,2347,2450,1848,975,783,863,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disposable income,1380,1825,1951,2028,1593,965,782,854,1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable income,924,1028,985,1076,1064,740,592,679,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imputed rent(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net benefit from home ownership or occupancy(c),47,41,101,205,288,331,304,320,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market rent(d),108,216,337,446,466,463,427,448,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing costs(e) ,361,381,391,327,231,160,138,150,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable household income at top of selected percentiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
