             Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,
"Table 10.2  HOUSEHOLD ASSETS AND LIABILITIES, Age of reference person",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65 YEARS AND OVER,,,All households,,,,,,,,,,,,,,
,15–24,25–34,35–44,45–54,55–64,65–74,"75 and 
over",Total,,,,,,,,,,,,,,,
ESTIMATES ($'000),,,,,,,,,,,,,,,,,,,,,,,
Household net worth,,,,,,,,,,,,,,,,,,,,,,,
Mean net worth,83.8,353.8,692.6,1124.6,1519,1673.8,1167,1457.3,1042,,,,,,,,,,,,,,
Median net worth,34.6,175.7,401,799.6,999.9,926.7,725.1,824.5,579.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Mean wealth values,,,,,,,,,,,,,,,,,,,,,,,
Assets,,,,,,,,,,,,,,,,,,,,,,,
Financial assets,,,,,,,,,,,,,,,,,,,,,,,
Value of accounts held with financial institutions (excl. offset accounts),14.5,34.6,42,55.2,87,113.4,117.7,114.3,68.8,,,,,,,,,,,,,,
Value of offset accounts,0.4,15.8,22.7,21.4,10.5,2.1,0.3,1.3,13.1,,,,,,,,,,,,,,
Value of shares (excl. own incorporated business),0.4,6.1,12,29.2,35.7,54,58.8,55.5,28.8,,,,,,,,,,,,,,
Value of public unit trusts,0,0.2,0.9,2.3,6,4.1,9.5,6.4,3.3,,,,,,,,,,,,,,
Value of private trusts,8,11.9,15.1,18.7,53.3,69.9,22.8,49.5,31.2,,,,,,,,,,,,,,
Value of own incorporated business (net of liabilities),0,17.6,30,46.8,91.4,25,1.8,15.4,36.9,,,,,,,,,,,,,,
Value of own unincorporated business (net of liabilities),0.1,3,15,17.4,28,102.1,17.5,65.4,27.4,,,,,,,,,,,,,,
Value of superannuation account,17.5,71.1,143.7,268.9,375.3,383.3,160.7,288.7,229.9,,,,,,,,,,,,,,
