             Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,
"Table 10.3  HOUSEHOLD CHARACTERISTICS, Age of reference person",,,,,,,,,,,,,,,,,,,,,
,,,,,,,65 YEARS AND OVER,,,All households,,,,,,,,,,,
,,15–24,25–34,35–44,45–54,55–64,65–74,"75 and 
over",Total,,,,,,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,%,0.5,0.6,0.5,0.6,1.4,0.6,0.2,0.3,0.6,,,,,,,,,,,
Employee income,%,69.2,83.8,83.4,80.2,68.6,19.2,4.5,13,61.9,,,,,,,,,,,
Own unincorporated business income,%,4,3.4,3.6,3.7,4.4,2,0.5,1.3,3.1,,,,,,,,,,,
Government pensions and allowances,%,12.2,7.8,9.9,10.5,14.3,47.2,67.4,55.9,22.3,,,,,,,,,,,
Other income,%,15.3,4.2,2.8,4.6,11.4,31.3,27.6,29.7,12.1,,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,100,100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,%,46.1,56.3,56.9,60.3,47.9,12.4,2.5,7.9,43,,,,,,,,,,,
1 employed person,%,32.7,35.2,35.6,29.8,31.6,22.4,8.1,16.1,28.6,,,,,,,,,,,
No employed person but at least 1 unemployed person,%,5,2.2,2.5,2.6,2.5,1.1,0.5,0.8,2.1,,,,,,,,,,,
No persons in the labour force,%,14.8,6.4,5.2,7.4,18.2,64.2,89.3,75,26.2,,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,100,100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,,,,,,
Nil or less than 1%,%,69.2,74.2,65,67.2,68.2,34.1,18.2,27.3,58,,,,,,,,,,,
1% to less than 20%,%,10.7,9.8,17.7,15.5,10.3,6.9,4.8,6.1,11.5,,,,,,,,,,,
20% to less than 50%,%,8.8,7.4,7.7,6.3,6.1,12.3,10.5,11.4,8.1,,,,,,,,,,,
50% to less than 90%,%,3.9,2.4,4.2,3.8,3.5,16.4,18.2,17.1,7,,,,,,,,,,,
90% and over,%,6.6,5.3,5.2,6.6,10.5,29.9,48.4,37.9,14.8,,,,,,,,,,,
Total(a),%,100,100,100,100,100,100,100,100,100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,,,,,
Owner without a mortgage,%,1.7,2.9,5.4,15.2,36.1,68.1,79.4,73.1,29.5,,,,,,,,,,,
Owner with a mortgage,%,9.1,37.8,51.4,56.6,43,13.4,3.7,9.1,36.8,,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,,,,,
State/territory housing authority,%,1.5,1.2,1.7,2.9,4.3,3.8,3.8,3.8,2.9,,,,,,,,,,,
Private landlord,%,80.3,51.4,37.2,21.3,13.9,9.5,6,8.1,26.2,,,,,,,,,,,
Other landlord type,%,2.5,3.1,2.6,2,1.1,2.6,3.1,2.7,2.3,,,,,,,,,,,
Total renters,%,83.5,55.7,41.5,26.3,19.1,16,12.9,14.7,31.4,,,,,,,,,,,
Other tenure type,%,5.6,3.3,2,1.4,1.6,2.6,3.7,3,2.4,,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,100,100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,,,,,,
Couple family with dependent children,%,5.5,30.6,56.3,43.9,11.8,1.7,0.9,1.4,26.4,,,,,,,,,,,
One parent family with dependent children,%,7.7,5.6,11.4,10.7,3.5,0.3,0.6,0.5,6.1,,,,,,,,,,,
Couple only,%,20.1,30.1,11.2,13.1,31.2,46.3,36.8,42.1,26.3,,,,,,,,,,,
Other one family households,%,16.2,7.1,3.2,10.6,22.5,11.2,8.6,10.2,10.8,,,,,,,,,,,
Multiple family households,%,2.6,1.2,3.1,2.3,3.3,2.6,0.8,1.8,2.3,,,,,,,,,,,
Non-family households,,,,,,,,,,,,,,,,,,,,,
Lone person,%,23.6,18.9,13.1,17.6,26.3,36.4,51.8,43.2,25.2,,,,,,,,,,,
Group households,%,25.1,6.6,1.8,1.2,1.6,1.3,0.7,1.1,2.8,,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,100,100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Average number in household,,,,,,,,,,,,,,,,,,,,,
Employed persons,no.,1.4,1.6,1.6,1.9,1.5,0.5,0.1,0.3,1.3,,,,,,,,,,,
Dependent children,no.,0.2,0.6,1.4,1.1,0.3,0.1,0,0.1,0.6,,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,,,
Under 18 years,no.,0.2,0.6,1.4,0.9,0.2,0.1,0,0.1,0.6,,,,,,,,,,,
18–64 years,no.,2,1.9,1.9,2.2,2.1,0.3,0.1,0.3,1.6,,,,,,,,,,,
65 years and over,,,,,,,,,,,,,,,,,,,,,
65–74 years,no.,0,0,0,0,0.1,1.4,0.1,0.8,0.2,,,,,,,,,,,
75 years and over,no.,0,0,0,0,0,0.1,1.3,0.6,0.2,,,,,,,,,,,
Total 65 years and over,no.,0,0,0,0,0.1,1.4,1.4,1.4,0.4,,,,,,,,,,,
Total ,no.,2.2,2.6,3.3,3.1,2.4,1.9,1.6,1.7,2.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Estimated number in population,,,,,,,,,,,,,,,,,,,,,
Households,'000,289.8,1554.7,1852.2,1828.5,1728.9,1404.9,1076.3,2478.9,9732.4,,,,,,,,,,,
Persons,'000,639.8,3981.6,6193.7,5691.6,4090,2605.5,1706.1,4313.5,24909.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Number of households in sample,no.,395,2039,2661,2793,2826,2441,1856,4297,15011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,,,,,,,
# Proportion has a high margin of error and should be used with caution.,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,
(a) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
             Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,
"Table 10.3  HOUSEHOLD CHARACTERISTICS, Age of reference person - Margin of error of proportion (±) and Relative standard errors (RSE)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,65 YEARS AND OVER,,,All households,,,,,,,,,,,
,,15–24,25–34,35–44,45–54,55–64,65–74,"75 and 
over",Total,,,,,,,,,,,,
95% MARGIN OF ERROR OF PROPORTION (±),,,,,,,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,MOE(±),np,0.5,0.4,0.4,0.6,0.4,np,0.2,0.2,,,,,,,,,,,
Employee income,MOE(±),9.5,2,1.5,1.9,2.4,2.6,1.5,1.6,0.6,,,,,,,,,,,
Own unincorporated business income,MOE(±),np,1.1,0.9,1,1.2,0.7,np,0.5,0.4,,,,,,,,,,,
Government pensions and allowances,MOE(±),4.8,1.7,1.6,1.7,1.6,3,4,2.1,0.8,,,,,,,,,,,
Other income,MOE(±),6.1,1.1,0.8,1,1.4,2.6,2.8,2,0.6,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,MOE(±),8.3,2.5,2.7,2.2,2.5,2.2,1.1,1.3,0.6,,,,,,,,,,,
1 employed person,MOE(±),7.8,3,2.3,2.5,2.4,2.2,1.9,1.4,1,,,,,,,,,,,
No employed person but at least 1 unemployed person,MOE(±),3.9,0.9,1,0.8,0.8,0.7,0.5,0.4,0.3,,,,,,,,,,,
No persons in the labour force,MOE(±),5.9,1.4,1.1,1.1,1.6,3.1,2.5,1.9,0.6,,,,,,,,,,,
