             Australian Bureau of Statistics,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia, 2019–20",,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,
"Table 11.2  CHILD CARE USE, Household characteristics, Households with children aged 0–13 years",,,,,,,,,,,,,,,,,
,,TYPE OF CHILD CARE USED,,,,"Total 
not using 
child care",All households with children 0–13 years,,,,,,,,,,
,,Formal only(a),Informal only(b),Formal and Informal(a)(b),Total using care,,,,,,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,,
Main source of household income ,,,,,,,,,,,,,,,,,
Zero or negative income,%,0,1.1,0,0.3,0.5,0.4,,,,,,,,,,
Employee income,%,84.7,80.3,84.8,83.9,73.7,79.3,,,,,,,,,,
Own unincorporated business income,%,3,3.7,3.2,3.5,3.4,3.6,,,,,,,,,,
Government pensions and allowances,%,9.3,11.3,8.2,9.4,18.6,13.7,,,,,,,,,,
Other income,%,2.3,3,3.8,2.8,3.6,3.1,,,,,,,,,,
Total,%,100,100,100,100,100,100,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income ,,,,,,,,,,,,,,,,,
Nil or less than 1%,%,60.1,50.8,59,56.8,45,51.4,,,,,,,,,,
1% to less than 20%,%,20.7,25.5,22.9,23.1,24.4,23.7,,,,,,,,,,
20% to less than 50%,%,10.4,12.3,11.2,11.2,12.3,11.8,,,,,,,,,,
50% to less than 90%,%,2.6,5.1,4.4,3.9,6.5,5.2,,,,,,,,,,
90% and over,%,5.2,5.4,2.2,4.7,11,7.7,,,,,,,,,,
Total(c),%,100,100,100,100,100,100,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,
Owner without a mortgage,%,5.7,8.1,4.1,5.9,9.4,7.6,,,,,,,,,,
Owner with a mortgage,%,58.6,58.8,64.2,60.5,52.1,56.8,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,
State/territory housing authority,%,0.5,1.2,2.1,1,2.8,1.8,,,,,,,,,,
Private landlord,%,29.4,27.1,28.2,28.5,30.1,29.3,,,,,,,,,,
Other landlord type,%,4.6,2.7,0.8,2.7,1.8,2.3,,,,,,,,,,
Total renters,%,34.7,30.8,31.1,32.5,35,33.5,,,,,,,,,,
Other tenure type,%,1.3,1.2,0.8,1.4,3.3,2.2,,,,,,,,,,
Total,%,100,100,100,100,100,100,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,,
Couple family ,,,,,,,,,,,,,,,,,
Both employed,%,63.8,52,64.2,60,43.3,52.4,,,,,,,,,,
One employed,%,16.1,16.7,12,15.4,30.3,22.3,,,,,,,,,,
Neither employed,%,3.9,2.6,0.5,2.6,6.2,4.2,,,,,,,,,,
Total couple family,%,84.4,70.7,78.1,78.1,79.8,79,,,,,,,,,,
One parent family,,,,,,,,,,,,,,,,,
Parent employed,%,7.6,16.2,13.3,12.4,7.3,10.1,,,,,,,,,,
Parent not employed,%,2.6,5.6,2.8,4,8.4,6.1,,,,,,,,,,
Total one parent family,%,9.9,22,17.1,16.2,15.8,16.1,,,,,,,,,,
Multiple family households,%,5,6.4,4.4,5.8,4.1,4.9,,,,,,,,,,
Total,%,100,100,100,100,100,100,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Estimated number in population ,,,,,,,,,,,,,,,,,
Households,'000,522.5,493.1,352,1362.8,1152.5,2514.6,,,,,,,,,,
Persons,'000,2068.4,1972.4,1358.2,5396.2,4824.1,10224.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Number of households in sample ,no.,733,772,510,2015,1649,3664,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# Proportion has a high margin of error and should be used with caution.,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,
(a) Regulated child care away from the child's home,,,,,,,,,,,,,,,,,
(b) Non-regulated child care either in the child's home or elsewhere,,,,,,,,,,,,,,,,,
(c) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
             Australian Bureau of Statistics,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia, 2019–20",,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,
"Table 11.2  CHILD CARE USE, Household characteristics, Households with children aged 0–13 years – Margin of error of proportion (±) and Relative standard errors (RSE)",,,,,,,,,,,,,,,,,
,,TYPE OF CHILD CARE USED,,,,"Total 
not using 
child care",All households with children 0–13 years,,,,,,,,,,
,,Formal only(a),Informal only(b),Formal and Informal(a)(b),Total using care,,,,,,,,,,,,
95% MARGIN OF ERROR OF PROPORTION (±),,,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,,
Main source of household income ,,,,,,,,,,,,,,,,,
Zero or negative income,MOE(±),np,0.8,0,np,0.5,0.3,,,,,,,,,,
Employee income,MOE(±),4,4.9,2.8,1.2,0,1.6,,,,,,,,,,
Own unincorporated business income,MOE(±),1.8,2,2.1,0.9,1.1,0.7,,,,,,,,,,
Government pensions and allowances,MOE(±),3,3.3,4.8,2.2,2.6,1.5,,,,,,,,,,
Other income,MOE(±),1.5,1.7,2.3,0.9,1.2,0.8,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income ,,,,,,,,,,,,,,,,,
Nil or less than 1%,MOE(±),4,5.2,5.7,2,3.9,2.2,,,,,,,,,,
1% to less than 20%,MOE(±),5.2,5.6,5.2,3.5,3.4,2.5,,,,,,,,,,
20% to less than 50%,MOE(±),3.7,4.4,4.3,2.2,2.6,1.9,,,,,,,,,,
50% to less than 90%,MOE(±),1.7,2.5,3,1.4,1.8,1.2,,,,,,,,,,
90% and over,MOE(±),2.2,2.1,2.1,1.3,2.3,1.2,,,,,,,,,,
Total(c),MOE(±),0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,
Owner without a mortgage,MOE(±),2.8,2.9,2,1.7,2.1,1.2,,,,,,,,,,
Owner with a mortgage,MOE(±),4.2,5.6,4,2.7,3.5,2.3,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,
State/territory housing authority,MOE(±),np,0.9,1.8,0.6,1,0.5,,,,,,,,,,
Private landlord,MOE(±),5.1,4.1,6.4,2.6,3.8,2.2,,,,,,,,,,
Other landlord type,MOE(±),2.6,2,np,1.5,0.8,1,,,,,,,,,,
Total renters,MOE(±),5.2,5,6.3,2.5,3.5,2.2,,,,,,,,,,
Other tenure type,MOE(±),1,1.1,np,0.7,1.4,0.8,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,,
Couple family ,,,,,,,,,,,,,,,,,
Both employed,MOE(±),6.1,5.4,6.2,2.5,3.3,2.3,,,,,,,,,,
One employed,MOE(±),4.3,3.1,3.9,2.3,3.6,2,,,,,,,,,,
Neither employed,MOE(±),2.4,1.3,np,1.1,2,1,,,,,,,,,,
Total couple family,MOE(±),2.3,3.7,2.6,2.1,2.2,1.4,,,,,,,,,,
One parent family,,,,,,,,,,,,,,,,,
Parent employed,MOE(±),2.6,3.7,4.2,1.9,2,1.3,,,,,,,,,,
Parent not employed,MOE(±),1.8,2.3,np,1.3,1.9,1.1,,,,,,,,,,
Total one parent family,MOE(±),2.8,3.8,5.5,1.8,2.5,0.9,,,,,,,,,,
Multiple family households,MOE(±),3.1,3.4,3.5,1.9,1.6,1.2,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,
Estimated number in population ,,,,,,,,,,,,,,,,,
Households,RSE(%),4.7,5,6.8,2.4,3,0.6,,,,,,,,,,
Persons,RSE(%),5,5.1,7.1,2.6,3.3,0.6,,,,,,,,,,
,,,,,,,,,,,,,,,,,
np  not published,,,,,,,,,,,,,,,,,
(a) Regulated child care away from the child's home,,,,,,,,,,,,,,,,,
(b) Non-regulated child care either in the child's home or elsewhere,,,,,,,,,,,,,,,,,
(c) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,
