            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,
"Table 13.1  EQUIVALISED DISPOSABLE HOUSEHOLD INCOME, States and territories, Total(a)",,,,,,,,,,,,,,,,,,,,,
,,NSW,Vic.,Qld,SA,WA,Tas.,NT(b),ACT,Aust.,,,,,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,,,,,,,
Mean income per week,,,,,,,,,,,,,,,,,,,,,
   Lowest quintile,$,407,406,429,403,430,391,452,574,415,,,,,,,,,,,
   Second quintile,$,726,723,686,662,711,633,767,981,710,,,,,,,,,,,
   Third quintile,$,996,972,923,917,942,828,1093,1308,966,,,,,,,,,,,
   Fourth quintile,$,1315,1312,1249,1196,1299,1123,1446,1685,1294,,,,,,,,,,,
   Highest quintile,$,2306,2237,2150,2015,2349,1839,2176,2501,2234,,,,,,,,,,,
   All persons,$,1150,1129,1087,1038,1146,961,1185,1406,1124,,,,,,,,,,,
   Adjusted lowest income quintile(c) ,$,450,446,470,442,468,429,494,626,455,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Income per week at top of selected percentiles,,,,,,,,,,,,,,,,,,,,,
   10th (P10),$,473,465,479,468,479,445,502,598,475,,,,,,,,,,,
   20th (P20),$,583,588,577,560,602,534,608,829,583,,,,,,,,,,,
   30th (P30),$,723,727,685,660,718,627,772,985,712,,,,,,,,,,,
   40th (P40),$,866,846,787,774,824,734,917,1133,830,,,,,,,,,,,
   50th (P50),$,989,957,921,922,927,822,1084,1320,958,,,,,,,,,,,
   60th (P60),$,1142,1125,1080,1053,1093,937,1268,1476,1118,,,,,,,,,,,
   70th (P70),$,1309,1313,1243,1194,1300,1114,1451,1662,1284,,,,,,,,,,,
   80th (P80),$,1548,1516,1443,1392,1546,1330,1635,1924,1516,,,,,,,,,,,
   90th (P90),$,1914,1918,1823,1741,1906,1642,1890,2234,1903,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Income share,,,,,,,,,,,,,,,,,,,,,
   Lowest quintile,%,7.1,7.2,7.9,7.7,7.5,8.1,7.5,8.2,7.4,,,,,,,,,,,
   Second quintile,%,12.6,12.8,12.6,12.8,12.4,13.4,13.1,14,12.6,,,,,,,,,,,
   Third quintile,%,17.4,17.2,17.1,17.8,16.4,17,18.6,18.5,17.2,,,,,,,,,,,
   Fourth quintile,%,22.9,23.1,22.8,23.2,22.6,23.6,24.7,23.8,23,,,,,,,,,,,
   Highest quintile,%,40,39.6,39.7,38.6,41.2,37.9,36.9,35.5,39.8,,,,,,,,,,,
   All persons,%,100,100,100,100,100,100,100,100,100,,,,,,,,,,,
   Adjusted lowest income quintile(c) ,%,7,7.1,7.7,7.6,7.3,7.9,7.4,7.9,7.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratio of incomes at top of selected income percentiles,,,,,,,,,,,,,,,,,,,,,
   P90/P10,ratio,4.04,4.12,3.81,3.73,3.98,3.68,3.81,3.69,4,,,,,,,,,,,
   P80/P20,ratio,2.65,2.58,2.51,2.49,2.57,2.47,2.67,2.32,2.6,,,,,,,,,,,
   P80/P50,ratio,1.57,1.58,1.57,1.51,1.67,1.62,1.51,1.46,1.58,,,,,,,,,,,
   P20/P50,ratio,0.59,0.61,0.63,0.61,0.65,0.65,0.56,0.63,0.61,,,,,,,,,,,
   P10/P50,ratio,0.48,0.49,0.52,0.51,0.52,0.54,0.46,0.46,0.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gini coefficient,no.,0.329,0.325,0.317,0.312,0.331,0.301,0.297,0.277,0.324,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Number of households in sample,no.,3107,2577,1951,2349,2133,1298,645,951,15011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,
(a) Estimates compiled based on State and Territory quintile boundaries,,,,,,,,,,,,,,,,,,,,,
"(b) Households in SA1s defined as Very Remote were excluded, accounting for over 21% of the population of NT",,,,,,,,,,,,,,,,,,,,,
(c) Lowest income quintile excluding the first and second percentiles. See Methodology for more information,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,,
