            Australian Bureau of Statistics,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,
"Table 13.10  GROSS HOUSEHOLD INCOME, States and territories, Rest of state(a)",,,,,,,,,,,
,,Rest of NSW,Rest of Vic.,Rest of Qld,Rest of SA,Rest of WA,Rest of Tas.,Aust.(b),,,
ESTIMATES,,,,,,,,,,,
Mean income per week,,,,,,,,,,,
   Lowest quintile,$,416,367,502,380,490,408,425,,,
   Second quintile,$,851,907,952,794,1058,769,898,,,
   Third quintile,$,1389,1462,1551,1199,1723,1140,1450,,,
   Fourth quintile,$,2217,2343,2480,1966,2575,1717,2302,,,
   Highest quintile,$,4222,4172,4824,3990,5399,3146,4400,,,
   All households,$,1824,1845,2051,1679,2251,1446,1896,,,
   Adjusted lowest income quintile(c) ,$,463,435,548,451,544,454,483,,,
,,,,,,,,,,,
Income per week at top of selected percentiles,,,,,,,,,,,
   10th (P10),$,482,479,529,479,511,479,484,,,
   20th (P20),$,613,616,774,598,804,558,669,,,
   30th (P30),$,839,897,932,795,1067,788,888,,,
   40th (P40),$,1083,1140,1199,970,1339,932,1135,,,
   50th (P50),$,1415,1434,1596,1201,1731,1119,1443,,,
   60th (P60),$,1754,1873,1946,1514,2118,1407,1811,,,
   70th (P70),$,2208,2349,2460,1981,2579,1718,2279,,,
   80th (P80),$,2826,2817,3130,2509,3202,2140,2888,,,
   90th (P90),$,3734,3661,4250,3409,4435,3052,3863,,,
,,,,,,,,,,,
Income share,,,,,,,,,,,
   Lowest quintile,%,4.5,4,5,4.6,4.4,5.7,4.5,,,
   Second quintile,%,9.2,9.6,9.2,9.2,9.3,10.7,9.5,,,
   Third quintile,%,15.6,16.5,15.1,14,15.7,16.5,15.3,,,
   Fourth quintile,%,24.3,24.9,24.6,23.4,22.5,22.9,24.2,,,
   Highest quintile,%,47.2,45.8,46.5,47.9,48.2,44,46.4,,,
   All households,%,100,100,100,100,100,100,100,,,
   Adjusted lowest income quintile(c) ,%,4.6,4.3,4.8,4.8,4.4,5.9,4.6,,,
,,,,,,,,,,,
Ratio of incomes at top of selected income percentiles,,,,,,,,,,,
   P90/P10,ratio,7.71,7.77,8.04,7.2,8.72,6.45,7.97,,,
   P80/P20,ratio,4.63,4.65,4.02,4.29,4.1,3.91,4.32,,,
   P80/P50,ratio,2.01,1.98,1.97,2.12,1.88,1.95,2.01,,,
   P20/P50,ratio,0.44,0.43,0.49,0.5,0.46,0.5,0.47,,,
   P10/P50,ratio,0.34,0.33,0.33,0.4,0.29,0.43,0.34,,,
,,,,,,,,,,,
Gini coefficient,no.,0.42,0.42,0.417,0.441,0.43,0.388,0.422,,,
,,,,,,,,,,,
Number of households in sample,no.,973,790,961,1077,1144,640,5724,,,
,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,
(a) Estimates compiled based on Rest of State quintile boundaries,,,,,,,,,,,
(b) Includes NT households. NT estimates are not shown separately since estimates for the NT other than Darwin are not considered reliable. Does not include ACT. See Methodology for more information,,,,,,,,,,,
(c) Lowest income quintile excluding the first and second percentiles. See Methodology for more information,,,,,,,,,,,
,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,
"Table 13.10  GROSS HOUSEHOLD INCOME, States and territories, Rest of state – Relative standard errors (RSE)(a)",,,,,,,,,,,
,,Rest of NSW,Rest of Vic.,Rest of Qld,Rest of SA,Rest of WA,Rest of Tas.,Aust.(b),,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,
Mean income per week,,,,,,,,,,,
   Lowest quintile,RSE(%),5.1,8.7,4.8,7,7,7.2,2.6,,,
   Second quintile,RSE(%),5.3,6,4.9,6,5.6,5.2,1.9,,,
   Third quintile,RSE(%),5.1,6.5,4.8,6.6,6.4,5.4,1.9,,,
   Fourth quintile,RSE(%),6.1,5.2,6.8,6.5,5.8,6.5,2.2,,,
   Highest quintile,RSE(%),5.2,5.1,5.1,8.1,6.8,7.9,2.4,,,
   All households,RSE(%),3.4,3.9,3.1,5.1,4.7,4.6,1.7,,,
   Adjusted lowest income quintile(c) ,RSE(%),4.5,7.4,4.6,5,6.1,5.8,2.1,,,
,,,,,,,,,,,
Income per week at top of selected percentiles,,,,,,,,,,,
   10th (P10),RSE(%),0.7,2.8,3.1,1,3.7,3.1,0.5,,,
   20th (P20),RSE(%),6.1,8.8,2.5,7.1,6.2,6.2,3.5,,,
