            Australian Bureau of Statistics,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,
"Table 13.11  HOUSEHOLD ASSETS AND LIABILITIES, States and territories, Rest of state",,,,,,,,,,,
,Rest of NSW,Rest of Vic.,Rest of Qld,Rest of SA,Rest of WA,Rest of Tas.,Aust.(a),,,,
MEAN VALUES ($'000),,,,,,,,,,,
Household net worth,,,,,,,,,,,
Mean net worth,911.7,1006.1,734.4,1158.9,939,622.6,874.9,,,,
Median net worth,575.4,575.3,477.6,466.4,461.6,368.4,523.4,,,,
,,,,,,,,,,,
Mean wealth values,,,,,,,,,,,
Assets,,,,,,,,,,,
Financial assets,,,,,,,,,,,
Value of accounts held with financial institutions (excl. offset accounts),68.2,64,47.3,52.4,56.5,42.9,59,,,,
Value of offset accounts,4.5,3.8,6.6,4.9,6,4.2,5.3,,,,
Value of shares (excl. own incorporated business),21.6,34.6,16.2,22.6,29.1,9.6,22.5,,,,
Value of public unit trusts,4.6,2,3,1.8,2.6,5.7,3.2,,,,
Value of private trusts,10.8,6.9,20.1,123.2,28.2,4.5,18.5,,,,
Value of own incorporated business (net of liabilities),29.1,37.1,19.7,165,67,15.2,30.8,,,,
Value of own unincorporated business (net of liabilities),18.8,81.9,7.7,137.3,76.2,16.3,36.9,,,,
Total value of superannuation funds ,185.5,221.7,203.3,188.4,210.6,153.4,201.5,,,,
Total financial assets(b),350.4,468.2,323.1,751.6,484.9,253.2,386.5,,,,
,,,,,,,,,,,
Non-financial assets,,,,,,,,,,,
Property assets,,,,,,,,,,,
Value of owner occupied dwelling,400.3,379,340.6,272.6,335.9,246.5,360.6,,,,
Value of other property,187.9,167.8,114.2,131.9,162,98.6,155,,,,
Total property assets,587.2,548.3,451.2,402.7,491.2,347.1,515.3,,,,
Value of contents of dwelling,82.1,80.3,60.1,70.8,68,78.2,73.2,,,,
Value of vehicles,28.6,34.1,31.9,33.7,36.2,23.5,31,,,,
Total non-financial assets(c),697.1,664.2,543.3,508.5,596.7,447.8,620.2,,,,
,,,,,,,,,,,
Total assets,1042.2,1138,866.7,1254.7,1085.8,702.8,1005.1,,,,
,,,,,,,,,,,
Liabilities,,,,,,,,,,,
Property loans,,,,,,,,,,,
Principal outstanding on loans for owner occupied dwelling,67.1,74.4,79.9,62.3,82.9,47.6,71.7,,,,
Principal outstanding on other property loans,54.3,42.4,37.1,24.9,53.4,23.9,43.7,,,,
Total property loans,120.8,118.7,116,86.7,136.1,67.6,115.4,,,,
,,,,,,,,,,,
Other liabilities,,,,,,,,,,,
Debt outstanding on study loans,4.2,3.1,5.8,1.6,2.1,2.4,4.1,,,,
Amount owing on credit cards,1.8,1.3,2,1.2,2.3,1.2,1.8,,,,
Principal outstanding on loans for vehicle purchases (excl. business and investment loans),4.2,5.1,3.4,3.6,5.1,2.5,4.1,,,,
Principal outstanding on investment loans (excl. business and rental property loans),5,2.8,4.2,3.9,1.7,5.7,3.8,,,,
Principal outstanding on loans for other purposes (excl. business and investment loans),1,1.1,1.6,0.7,1.2,0.6,1.2,,,,
,,,,,,,,,,,
Total liabilities,137.5,133.4,132.3,97,148.7,78.5,130.2,,,,
,,,,,,,,,,,
Net worth of household,911.7,1006.1,734.4,1158.9,939,622.6,874.9,,,,
,,,,,,,,,,,
Other net worth items,,,,,,,,,,,
Selected net values(d),,,,,,,,,,,
Net value owner occupied dwelling,333.8,305.2,261.6,211.4,253.2,202.8,288.9,,,,
Net value other property,136.6,124.4,76.6,108.3,110.2,79.2,111.4,,,,
Net value total property,468.1,431.1,334.7,317.9,357,281,400,,,,
Net value vehicles,24.3,29,28.4,30,31.1,20.9,26.8,,,,
,,,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,
(a) Includes NT households. NT estimates are not shown separately since estimates for the NT other than Darwin are not considered reliable. Does not include ACT. See Methodology for more information,,,,,,,,,,,
"(b) Includes the value of debentures and bonds, silent partnerships, other financial investments, loans to persons not in the same household ",,,,,,,,,,,
(c) Includes value of assets nec,,,,,,,,,,,
(d) Selected net values are the asset value net of associated loans,,,,,,,,,,,
,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,
"Table 13.11  HOUSEHOLD ASSETS AND LIABILITIES, States and territories, Rest of state – Relative standard errors (RSE)",,,,,,,,,,,
,Rest of NSW,Rest of Vic.,Rest of Qld,Rest of SA,Rest of WA,Rest of Tas.,Aust.(a),,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,
Household net worth,,,,,,,,,,,
Mean net worth,6.2,9.2,6.9,16.2,10.4,8.8,3.6,,,,
Median net worth,5.4,7.6,5.8,6.2,9.5,8.1,3.1,,,,
,,,,,,,,,,,
Mean wealth values,,,,,,,,,,,
Assets,,,,,,,,,,,
Financial assets,,,,,,,,,,,
Value of accounts held with financial institutions (excl. offset accounts),7.7,10.4,8.9,9.9,10.5,14.3,4.7,,,,
Value of offset accounts,25.9,29.8,23.7,23.7,19.5,48.5,11.7,,,,
Value of shares (excl. own incorporated business),23,np,27.2,39.2,32.5,34.7,25.4,,,,
Value of public unit trusts,36.3,42.9,38,42.7,42.9,43.6,22.3,,,,
Value of private trusts,41,49.1,np,48.2,33.8,np,25,,,,
Value of own incorporated business (net of liabilities),45.4,np,49.4,np,43,np,47.6,,,,
Value of own unincorporated business (net of liabilities),41.3,29.9,45.6,48,27.5,44.2,17.4,,,,
Total value of superannuation funds ,6.2,7.4,10.3,10.2,8.1,11.9,4,,,,
Total financial assets(b),7.3,16,9.8,22.4,13.1,12.6,5.9,,,,
,,,,,,,,,,,
Non-financial assets,,,,,,,,,,,
Property assets,,,,,,,,,,,
Value of owner occupied dwelling,5.2,6.3,5,6,9.5,6.8,2.7,,,,
Value of other property,15.2,12.7,17.4,20.1,10.7,20.6,7.7,,,,
Total property assets,6.7,6.5,6.2,9.5,8.3,8.8,3.3,,,,
Value of contents of dwelling,5,4.8,4.4,4.1,5.5,8.1,2.3,,,,
Value of vehicles,5,6.4,6,7,5.9,7.6,2.8,,,,
Total non-financial assets(c),6,5.7,5.3,8.1,7,7.6,2.9,,,,
,,,,,,,,,,,
Total assets,5.6,8.2,6.1,15,9.2,8.4,3.3,,,,
,,,,,,,,,,,
Liabilities,,,,,,,,,,,
Property loans,,,,,,,,,,,
Principal outstanding on loans for owner occupied dwelling,8.5,9.1,8,12.1,8.1,17.8,4,,,,
Principal outstanding on other property loans,14.6,19.1,14.1,25.8,14.2,34.9,9.1,,,,
Total property loans,8.3,9.2,6.4,12.6,7.8,15.8,3.9,,,,
,,,,,,,,,,,
Other liabilities,,,,,,,,,,,
Debt outstanding on study loans,14.7,18.6,18.1,19.1,19.9,30,10.2,,,,
Amount owing on credit cards,15.1,34.6,21.8,18.1,22.3,19.5,8.8,,,,
Principal outstanding on loans for vehicle purchases (excl. business and investment loans),12.9,12.6,13.6,15.3,12.4,16,6,,,,
Principal outstanding on investment loans (excl. business and rental property loans),34.9,np,np,np,47.3,np,24.9,,,,
Principal outstanding on loans for other purposes (excl. business and investment loans),23.3,np,29.2,24.1,22,29,17,,,,
,,,,,,,,,,,
Total liabilities,7.9,8.3,6.1,12,7.5,17.3,3.7,,,,
,,,,,,,,,,,
Net worth of household,6.2,9.2,6.9,16.2,10.4,8.8,3.6,,,,
,,,,,,,,,,,
