            Australian Bureau of Statistics,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,
"Table 13.12  HOUSEHOLD CHARACTERISTICS, States and territories, Rest of State ",,,,,,,,,,,,,,,,
,,Rest of NSW,Rest of Vic.,Rest of Qld,Rest of SA,Rest of WA,Rest of Tas.,Aust.(a),,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,
Zero or negative income,%,0.5,1.2,0.2,0.7,0.8,1,0.7,,,,,,,,
Employee income,%,51,52.4,57.6,44.7,58.1,45.6,53.1,,,,,,,,
Own unincorporated business income,%,2.4,4.9,3.7,6.2,6.3,3,3.8,,,,,,,,
Government pensions and allowances,%,30.8,27,28.2,37.3,23.6,39.1,29.6,,,,,,,,
Other income,%,15,13.9,10.1,11.9,10.8,11.3,12.7,,,,,,,,
Total,%,100,100,100,100,100,100,100,,,,,,,,
,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,
2 or more employed persons,%,34.7,40.1,38.4,30.6,41.8,26.8,36.8,,,,,,,,
1 employed person,%,27.7,25.5,29.1,26.9,31.1,29.9,27.8,,,,,,,,
No employed person but at least 1 unemployed person,%,1.8,1.1,2.3,2.7,2.8,4.4,2,,,,,,,,
No persons in the labour force,%,35.8,32.8,30.3,39.5,24.6,39.1,33.4,,,,,,,,
Total,%,100,100,100,100,100,100,100,,,,,,,,
,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,
Nil or less than 1%,%,46.4,52.4,49.9,45.8,57.9,43.2,49.2,,,,,,,,
1% to less than 20%,%,11.7,12.8,10.8,9.5,10.2,8.6,11.5,,,,,,,,
20% to less than 50%,%,10.8,7.1,10.4,8.1,7.8,8.7,9.7,,,,,,,,
50% to less than 90%,%,9,8.4,8.7,9.9,8.5,12.7,8.9,,,,,,,,
90% and over,%,21.4,18,19.1,26.4,15.2,26.7,20,,,,,,,,
Total(b),%,100,100,100,100,100,100,100,,,,,,,,
,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,
Owner without a mortgage,%,38.2,36.5,31.9,37.6,31.3,35.2,35.6,,,,,,,,
Owner with a mortgage,%,28.4,34.7,32.5,36.1,37.3,30.2,32,,,,,,,,
Renter,,,,,,,,,,,,,,,,
State/territory housing authority,%,2.6,2.8,3,7.2,3.6,5.8,3.2,,,,,,,,
Private landlord,%,23.7,21.6,28.1,14.3,17.6,23,23.6,,,,,,,,
