            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,
"Table 13.2  GROSS HOUSEHOLD INCOME, States and territories, Total(a)",,,,,,,,,,,,,,,,,,,,
,,NSW,Vic.,Qld,SA,WA,Tas.,NT(b),ACT,Aust.,,,,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,,,,,,
Mean income per week,,,,,,,,,,,,,,,,,,,,
   Lowest quintile,$,466,474,502,451,525,413,725,694,481,,,,,,,,,,
   Second quintile,$,1109,1132,1043,919,1109,857,1587,1628,1081,,,,,,,,,,
   Third quintile,$,1840,1892,1712,1492,1790,1313,2410,2418,1791,,,,,,,,,,
   Fourth quintile,$,2861,2807,2593,2362,2806,2043,3250,3524,2753,,,,,,,,,,
   Highest quintile,$,5831,5484,5345,4722,5918,4013,5539,6077,5539,,,,,,,,,,
   All households,$,2422,2359,2241,1989,2427,1736,2711,2878,2329,,,,,,,,,,
   Adjusted lowest income quintile(c) ,$,526,532,564,505,573,455,993,805,540,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Income per week at top of selected percentiles,,,,,,,,,,,,,,,,,,,,
   10th (P10),$,498,494,524,492,536,479,793,712,503,,,,,,,,,,
   20th (P20),$,790,807,797,699,805,621,1229,1247,792,,,,,,,,,,
   30th (P30),$,1117,1123,1039,909,1093,858,1614,1648,1079,,,,,,,,,,
   40th (P40),$,1466,1498,1321,1175,1401,1072,1929,2012,1407,,,,,,,,,,
   50th (P50),$,1821,1872,1693,1481,1800,1280,2433,2393,1786,,,,,,,,,,
   60th (P60),$,2285,2341,2092,1884,2244,1622,2806,2949,2208,,,,,,,,,,
   70th (P70),$,2835,2792,2573,2351,2741,2056,3230,3537,2725,,,,,,,,,,
   80th (P80),$,3478,3414,3210,2999,3536,2582,3882,4256,3397,,,,,,,,,,
   90th (P90),$,4626,4562,4343,4002,4722,3547,4854,5475,4522,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Income share,,,,,,,,,,,,,,,,,,,,
   Lowest quintile,%,3.8,4,4.5,4.6,4.4,4.8,5.3,4.8,4.1,,,,,,,,,,
   Second quintile,%,9.2,9.6,9.3,9.2,9.1,10.1,11.5,11,9.3,,,,,,,,,,
   Third quintile,%,15.2,16,15.5,15.1,14.7,15,17.8,16.9,15.4,,,,,,,,,,
   Fourth quintile,%,23.5,23.8,22.6,23.9,23.2,23.8,24.5,24.6,23.6,,,,,,,,,,
   Highest quintile,%,48.6,46.4,47.9,47.3,48.2,46.5,42.1,41.2,47.6,,,,,,,,,,
   All households,%,100,100,100,100,100,100,100,100,100,,,,,,,,,,
   Adjusted lowest income quintile(c) ,%,3.9,4.1,4.5,4.5,4.4,4.7,9.2,5.1,4.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratio of incomes at top of selected income percentiles,,,,,,,,,,,,,,,,,,,,
   P90/P10,ratio,9.28,9.29,8.32,8.19,8.78,7.31,5.93,7.52,8.98,,,,,,,,,,
   P80/P20,ratio,4.41,4.24,4.05,4.25,4.4,4.12,3.22,3.42,4.29,,,,,,,,,,
   P80/P50,ratio,1.91,1.83,1.91,2.01,1.98,2.05,1.63,1.79,1.9,,,,,,,,,,
   P20/P50,ratio,0.43,0.43,0.47,0.47,0.45,0.5,0.51,0.52,0.44,,,,,,,,,,
   P10/P50,ratio,0.27,0.26,0.31,0.33,0.3,0.38,0.33,0.31,0.28,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gini coefficient,no.,0.444,0.427,0.431,0.432,0.446,0.418,0.359,0.375,0.436,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Number of households in sample,no.,3107,2577,1951,2349,2133,1298,645,951,15011,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodologyfor more information",,,,,,,,,,,,,,,,,,,,
(a) Estimates compiled based on State and Territory quintile boundaries,,,,,,,,,,,,,,,,,,,,
"(b) Households in SA1s defined as Very Remote were excluded, accounting for over 21% of the population of NT",,,,,,,,,,,,,,,,,,,,
(c) Lowest income quintile excluding the first and second percentiles. See Methodology for more information,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,
