            Australian Bureau of Statistics,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,
"Table 13.3  HOUSEHOLD ASSESTS AND LIABILITIES, States and territories, Total",,,,,,,,,
,NSW,Vic.,Qld,SA,WA,Tas.,NT(a),ACT,Aust.
MEAN VALUES ($'000),,,,,,,,,
Household net worth,,,,,,,,,
Mean net worth,1187.1,1199.4,790.3,917.8,868.1,779,735.5,1116.2,1042
Median net worth,674.2,684.3,473.9,475.8,503.3,470.5,425.4,817.2,579.2
,,,,,,,,,
Mean wealth values,,,,,,,,,
Assets,,,,,,,,,
Financial assets,,,,,,,,,
Value of accounts held with financial institutions (excl. offset accounts),80.1,74.3,55.3,48.9,60.4,56.7,65.7,80.1,68.8
Value of offset accounts,15.3,14.7,10.4,8.9,11,6.4,12.2,18.6,13.1
Value of shares (excl. own incorporated business),30,34,22.9,43.4,25.4,15.8,14.1,27.8,28.8
Value of public unit trusts,3.2,4.1,2.7,2.3,2.6,3.7,1.4,7.2,3.3
Value of private trusts,18,39.1,35.2,53.4,43.6,9.7,20.1,18.8,31.2
Value of own incorporated business (net of liabilities),57,31.5,15,56.5,33.5,14.7,23.3,8.2,36.9
Value of own unincorporated business (net of liabilities),11.9,72.7,5.1,33.5,20.4,14.7,17.3,2.1,27.4
Total value of superannuation funds ,231.9,239.5,230.5,202.9,215,192.8,238.8,351.4,229.9
Total financial assets(b),455.5,521.8,381.3,466.8,413.9,317,393.7,508.9,445
,,,,,,,,,
Non-financial assets,,,,,,,,,
Property assets,,,,,,,,,
Value of owner occupied dwelling,615.8,578.4,361,368.2,397,335.2,304.5,508.6,502.5
Value of other property,247.2,206.7,121.6,147.6,164.2,119.4,182.6,177.3,191.1
Total property assets,859,788.5,480.4,514.9,559.6,446.6,490,685.8,694.4
Value of contents of dwelling,77.9,76.4,67.2,72.1,76,84.6,52,115.1,75.2
Value of vehicles,26.9,27.4,29.4,25.8,27.7,23.8,34.6,26.3,27.5
Total non-financial assets(c),963.8,893.9,577.5,614.2,664,563.6,577.8,827.7,798
,,,,,,,,,
Total assets,1425.4,1411.4,950.3,1070.8,1078.6,883.1,974.9,1347,1245.2
,,,,,,,,,
Liabilities,,,,,,,,,
Property loans,,,,,,,,,
Principal outstanding on loans for owner occupied dwelling,127.7,124.7,94.4,88.5,113.4,63.7,125.1,139.4,114.7
Principal outstanding on other property loans,84.8,70.7,47.5,44,76.1,28.9,93.4,76.8,68.1
Total property loans,213.6,195.4,140.4,132.4,189.5,90.6,213.8,215.4,183.3
,,,,,,,,,
Other liabilities,,,,,,,,,
Debt outstanding on study loans,6.8,6.4,7.3,4.3,5.2,3.2,3.9,6.8,6.3
Amount owing on credit cards,2.6,2.3,2.4,1.8,2.5,1.6,3,2.7,2.4
Principal outstanding on loans for vehicle purchases (excl. business and investment loans),3.9,4.1,4.4,3.7,4.3,2.5,6.9,4.4,4.1
Principal outstanding on investment loans (excl. business and rental property loans),10.7,4.2,3.9,9.9,5.6,4.7,2.1,7.2,6.5
Principal outstanding on loans for other purposes (excl. business and investment loans),1.4,1.9,1.6,0.6,1.5,0.6,2.1,1.1,1.4
,,,,,,,,,
Total liabilities,238.5,213.8,160.4,153.7,208.6,102,231.4,236.1,203.8
,,,,,,,,,
Net worth of household,1187.1,1199.4,790.3,917.8,868.1,779,735.5,1116.2,1042
,,,,,,,,,
Other net worth items,,,,,,,,,
Selected net values(d),,,,,,,,,
Net value owner occupied dwelling,488.6,453.5,266.6,278.7,283.6,272.7,180.3,366.7,387.8
Net value other property,161.8,136.8,75.5,103.9,86.2,92.4,88.7,102.7,122.9
Net value total property,647.1,591.9,339.3,381.8,368.1,354.5,268.2,473.3,511.6
Net value vehicles,23,23.3,24.9,22,23.5,21.3,27.6,21.8,23.4
,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,
"(a) Households in SA1s defined as Very Remote were excluded, accounting for over 21% of the population of NT",,,,,,,,,
"(b) Includes the value of debentures and bonds, silent partnerships, other financial investments, loans to persons not in the same household ",,,,,,,,,
(c) Includes value of assets nec,,,,,,,,,
(d) Selected net values are the asset value net of associated loans,,,,,,,,,
,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,
"Table 13.3  HOUSEHOLD ASSESTS AND LIABILITIES, States and territories, Total – Relative standard errors (RSE)",,,,,,,,,
,NSW,Vic.,Qld,SA,WA,Tas.,NT(a),ACT,Aust.
RELATIVE STANDARD ERROR (%),,,,,,,,,
Household net worth,,,,,,,,,
Mean net worth,4.1,5.1,4.4,9.5,5,6.4,6.2,4.5,2.6
Median net worth,3.5,2.8,3.2,3,5.5,4.9,8.7,6.4,1.5
,,,,,,,,,
Mean wealth values,,,,,,,,,
Assets,,,,,,,,,
Financial assets,,,,,,,,,
Value of accounts held with financial institutions (excl. offset accounts),6,5.1,11.1,6.5,9.5,9.9,16.8,7.3,3.5
Value of offset accounts,10.4,13.6,16,21.7,19.6,26.1,30.9,19,6.3
Value of shares (excl. own incorporated business),16.4,22.2,20.9,28.5,19.7,22.4,28.8,14.6,11.5
Value of public unit trusts,23.2,38.2,34.7,39.3,36.7,36.9,np,33.3,16.7
Value of private trusts,46,30,34.2,32,48.5,31.6,38.7,np,17.5
Value of own incorporated business (net of liabilities),26.9,41.4,38.2,40.3,40.6,49.1,40.9,np,19.7
Value of own unincorporated business (net of liabilities),33.1,48.9,35.2,41.2,32.3,29.5,np,41.2,33.9
Total value of superannuation funds ,4.3,4.6,5.2,6.9,4.5,7.4,7.7,5.8,2.5
Total financial assets(b),6.3,10,6.7,11.4,7.6,7.8,7.8,6,4.3
,,,,,,,,,
Non-financial assets,,,,,,,,,
Property assets,,,,,,,,,
Value of owner occupied dwelling,3.3,3.8,2.9,2.7,3.3,5.2,5.8,3.6,1.7
Value of other property,6.5,6.3,10.2,31.5,8.2,14.2,15,10.4,4.1
Total property assets,3.6,3.6,4,10,3.9,7.5,7.8,4.2,2
Value of contents of dwelling,2.9,3.2,3.2,2.8,3.9,5,7.1,5.8,1.5
Value of vehicles,2.9,3.4,3.7,5.7,4.2,5.1,5.8,5.8,1.7
Total non-financial assets(c),3.3,3.4,3.4,8.6,3.4,6,6.9,4.1,1.8
,,,,,,,,,
Total assets,3.8,4.7,4,8.2,4.2,5.7,5.7,4.1,2.3
,,,,,,,,,
Liabilities,,,,,,,,,
Property loans,,,,,,,,,
Principal outstanding on loans for owner occupied dwelling,3.9,5.5,4.4,6.3,5.5,8.9,9.3,7,2.4
Principal outstanding on other property loans,7.6,8.2,11.9,10.8,12.7,22.8,16.7,12.8,4.4
Total property loans,4.4,5.3,4.9,5.8,6,8.5,10.8,6.5,2.2
,,,,,,,,,
Other liabilities,,,,,,,,,
Debt outstanding on study loans,6.5,7.9,7.3,9.8,12.5,15.5,17.1,11.6,3.7
Amount owing on credit cards,6.1,9.9,11,10.8,11.4,12.5,18.8,9.8,4
Principal outstanding on loans for vehicle purchases (excl. business and investment loans),8.3,7.4,7.9,15.3,10,13.7,12.1,14,3.8
Principal outstanding on investment loans (excl. business and rental property loans),20.6,33.8,35.4,37.2,31,np,np,44.4,12.8
Principal outstanding on loans for other purposes (excl. business and investment loans),18.7,35.2,21.8,22.4,39.6,25.7,44.7,24.2,12
,,,,,,,,,
