            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,
"Table 13.8  HOUSEHOLD CHARACTERISTICS, States and territories, Greater Capital City Area",,,,,,,,,,,,,,,,,,,,
,,Greater Sydney,Greater Melbourne,Greater Brisbane,Greater Adelaide,Greater Perth,Greater Hobart,Greater Darwin,ACT(a),Aust.,,,,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,
Zero or negative income,%,0.6,0.3,0.9,0.7,0.5,0.9,0.6,0.8,0.5,,,,,,,,,,
Employee income,%,69,65.3,65.6,57.4,67.9,59.9,81.4,70.2,66.2,,,,,,,,,,
Own unincorporated business income,%,2.5,3.1,2.8,3.2,2.5,3.7,0.7,1.2,2.8,,,,,,,,,,
Government pensions and allowances,%,15.7,18,21.2,26.2,19.4,22.7,11.1,10.2,18.6,,,,,,,,,,
Other income,%,12.3,12.9,9.9,11.9,9.6,11.9,7.5,17.2,11.8,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,100,100,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,%,48.8,46.8,45.9,38.9,43.1,41.8,60.6,46,46.1,,,,,,,,,,
1 employed person,%,29.6,28.1,28.6,28,31.6,29.4,27.5,31.2,29.1,,,,,,,,,,
No employed person but at least 1 unemployed person,%,1.7,2.1,3.1,3,2,0.9,1,1,2.2,,,,,,,,,,
No persons in the labour force,%,20.2,22.8,22.7,29.9,23.1,27.3,12.1,21.2,22.7,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,100,100,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,,,,,
Nil or less than 1%,%,65.9,64.1,56.5,53.7,60.8,56.8,72.5,73.9,62.3,,,,,,,,,,
1% to less than 20%,%,11.1,11.6,12,11.5,12.9,11.7,12.4,10.4,11.5,,,,,,,,,,
20% to less than 50%,%,7.1,6.4,10.3,8.2,6.7,8.3,5.3,5.2,7.4,,,,,,,,,,
50% to less than 90%,%,5.2,6.5,5.8,7.6,6.3,8.5,5,3,6,,,,,,,,,,
90% and over,%,10.1,11.2,14.7,18.5,12.9,13,5.3,6.6,12.2,,,,,,,,,,
Total(b),%,100,100,100,100,100,100,100,100,100,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,,,,
