            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2.3  HOUSEHOLDS BY NET WORTH RANGE, 2009–10 to 2019–20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NUMBER OF HOUSEHOLDS,,,,,,,PROPORTION OF HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,,,
,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,,,,,,,,,,,,,,,,,
,'000,'000,'000,'000,'000,'000,,%,%,%,%,%,%,,,,,,,,,,,,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net worth range(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than $0,77.3,113.7,93.8,106.1,127.3,206.4,,0.9,1.3,1.1,1.2,1.4,2.1,,,,,,,,,,,,,,,,,,
"$0 to less than $50,000",974.8,994.2,983.4,992.9,1087.3,991.2,,11.6,11.5,11.2,11.1,11.7,10.2,,,,,,,,,,,,,,,,,,
"$50,000 to less than $100,000",570.1,594,653.3,586.3,592.6,628.4,,6.8,6.9,7.5,6.5,6.4,6.5,,,,,,,,,,,,,,,,,,
"$100,000 to less than $150,000",383.8,441.3,416.8,418.5,427,432,,4.6,5.1,4.8,4.7,4.6,4.4,,,,,,,,,,,,,,,,,,
"$150,000 to less than $200,000",312.1,333.3,313,304.1,337.4,348.9,,3.7,3.9,3.6,3.4,3.6,3.6,,,,,,,,,,,,,,,,,,
"$200,000 to less than $250,000",280.3,332.3,327.8,292,326.7,329.9,,3.3,3.9,3.7,3.3,3.5,3.4,,,,,,,,,,,,,,,,,,
"$250,000 to less than $300,000",261.6,289.3,322.4,285.4,277.1,297.3,,3.1,3.4,3.7,3.2,3,3.1,,,,,,,,,,,,,,,,,,
"$300,000 to less than $350,000",302,282.2,317.1,281.1,253.8,296,,3.6,3.3,3.6,3.1,2.7,3,,,,,,,,,,,,,,,,,,
"$350,000 to less than $400,000",308.4,291.7,295.1,290.2,286.1,294.5,,3.7,3.4,3.4,3.2,3.1,3,,,,,,,,,,,,,,,,,,
"$400,000 to less than $450,000",294.8,295.1,319.5,294.3,252.5,270.7,,3.5,3.4,3.6,3.3,2.7,2.8,,,,,,,,,,,,,,,,,,
"$450,000 to less than $500,000",311.4,337.4,292.9,278.5,273.9,306.1,,3.7,3.9,3.3,3.1,3,3.1,,,,,,,,,,,,,,,,,,
"$500,000 to less than $600,000",598.9,569.4,588.6,566.2,520,577.6,,7.1,6.6,6.7,6.3,5.6,5.9,,,,,,,,,,,,,,,,,,
"$600,000 to less than $700,000",520.5,502.9,464.9,509.9,438.1,470.1,,6.2,5.8,5.3,5.7,4.7,4.8,,,,,,,,,,,,,,,,,,
"$700,000 to less than $800,000",445.7,403,401.5,408.6,428.4,431,,5.3,4.7,4.6,4.6,4.6,4.4,,,,,,,,,,,,,,,,,,
"$800,000 to less than $900,000",371.6,351.9,358.4,345.4,334.8,414.8,,4.4,4.1,4.1,3.9,3.6,4.3,,,,,,,,,,,,,,,,,,
"$900,000 to less than $1,000,000",309,339.3,286.6,340.9,342,349,,3.7,3.9,3.3,3.8,3.7,3.6,,,,,,,,,,,,,,,,,,
"$1,000,000 to less than $1,100,000",253.6,238.6,274.8,258.4,299.9,345.3,,3,2.8,3.1,2.9,3.2,3.5,,,,,,,,,,,,,,,,,,
"$1,100,000 to less than $1,200,000",220.2,220.7,243.2,266,292.3,291,,2.6,2.6,2.8,3,3.2,3,,,,,,,,,,,,,,,,,,
"$1,200,000 to less than $1,400,000",327.1,356.6,385.1,397.8,428.2,428.8,,3.9,4.1,4.4,4.4,4.6,4.4,,,,,,,,,,,,,,,,,,
"$1,400,000 to less than $1,600,000",250.3,258.4,259.8,322.6,333.5,337.5,,3,3,3,3.6,3.6,3.5,,,,,,,,,,,,,,,,,,
"$1,600,000 to less than $1,800,000",185.4,188.4,206.1,238.7,245.6,291.1,,2.2,2.2,2.4,2.7,2.6,3,,,,,,,,,,,,,,,,,,
"$1,800,000 to less than $2,000,000",137.2,144.2,145.9,195,183.7,222.2,,1.6,1.7,1.7,2.2,2,2.3,,,,,,,,,,,,,,,,,,
"$2,000,000 to less than $2,200,000",110.8,139.8,136.6,161.2,185.9,156.3,,1.3,1.6,1.6,1.8,2,1.6,,,,,,,,,,,,,,,,,,
"$2,200,000 to less than $2,400,000",71.5,90.8,91.7,124.6,134.1,137.6,,0.9,1.1,1,1.4,1.4,1.4,,,,,,,,,,,,,,,,,,
