            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,
"Table 5.1  INCOME DISTRIBUTION, Equivalised disposable household income quintiles",,,,,,,,,,,,,,,,,
,EQUIVALISED DISPOSABLE HOUSEHOLD INCOME QUINTILES,,,,,All households,Adjusted lowest income quintile(a),,,,,,,,,,
,Lowest,Second,Third,Fourth,Highest,,,,,,,,,,,,
WEEKLY VALUE ($),,,,,,,,,,,,,,,,,
Household income,,,,,,,,,,,,,,,,,
Mean income,,,,,,,,,,,,,,,,,
Private income,243,1001,1809,2719,5100,2112,276,,,,,,,,,,
Government pensions and allowances (b),388,353,180,84,50,217,432,,,,,,,,,,
Gross income,630,1353,1987,2801,5149,2329,706,,,,,,,,,,
Disposable income,611,1233,1707,2293,3821,1889,686,,,,,,,,,,
Equivalised disposable income,415,710,966,1294,2234,1124,455,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Median income,,,,,,,,,,,,,,,,,
Private income,19,950,1735,2590,4232,1643,27,,,,,,,,,,
Government pensions and allowances (b),474,205,0,0,0,0,479,,,,,,,,,,
Gross income,543,1209,1876,2666,4265,1786,569,,,,,,,,,,
Disposable income,541,1148,1616,2200,3292,1542,565,,,,,,,,,,
Equivalised disposable income,475,712,958,1284,1902,958,480,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Imputed rent (c),,,,,,,,,,,,,,,,,
Net benefit from home ownership or occupancy (d) ,196,177,159,174,282,198,195,,,,,,,,,,
Market rent (e),324,326,332,390,547,382,319,,,,,,,,,,
Housing costs (f),200,248,293,329,383,287,192,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Equivalised disposable household income at top of selected percentiles,,,,,,,,,,,,,,,,,
   10th (P10),165,611,857,1147,1569,475,313,,,,,,,,,,
   20th (P20),322,638,884,1174,1638,583,372,,,,,,,,,,
   30th (P30),381,663,909,1213,1714,712,417,,,,,,,,,,
   40th (P40),433,688,935,1245,1794,830,462,,,,,,,,,,
   50th (P50),475,712,958,1284,1902,958,480,,,,,,,,,,
   60th (P60),488,736,987,1325,2024,1118,498,,,,,,,,,,
   70th (P70),516,759,1016,1362,2219,1284,522,,,,,,,,,,
   80th (P80),534,780,1050,1409,2523,1516,540,,,,,,,,,,
   90th (P90),560,806,1084,1459,3147,1903,563,,,,,,,,,,
,,,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,
(a) Lowest income quintile excluding the first and second percentiles. See Methodology for more information,,,,,,,,,,,,,,,,,
(b) Includes overseas pensions,,,,,,,,,,,,,,,,,
(c) Includes all tenure types,,,,,,,,,,,,,,,,,
"(d) Also referred to as net imputed rent. For all tenure types other than market renters, net benefit from home ownership or occupancy (net imputed rent) equates to market rent (gross imputed rent) less housing costs. For consistency across all housing tenures, the reported values of any rental refunds or subsidies received by market renters have been included in the estimates of net imputed rent",,,,,,,,,,,,,,,,,
(e) The estimated rent a dwelling would attract if it were commercially rented. This amount is nil for market renters,,,,,,,,,,,,,,,,,
"(f) For market renters, housing costs include weekly rent payments less any refunds or subsidies received. For all other tenure types, housing costs include reported rent paid and/or other housing costs incurred, such as general and water rates, mortgage interest, house insurance, body corporate fees, repairs and maintenance. See Methodology for further information on imputed rent",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,
"Table 5.1  INCOME DISTRIBUTION, Equivalised disposable household income quintiles – Relative standard errors (RSE)",,,,,,,,,,,,,,,,,
,EQUIVALISED DISPOSABLE HOUSEHOLD INCOME QUINTILES,,,,,All households,Adjusted lowest income quintile(a),,,,,,,,,,
,Lowest,Second,Third,Fourth,Highest,,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,
Mean income,,,,,,,,,,,,,,,,,
