            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6.1  INCOME DISTRIBUTION, Gross income quintiles",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GROSS HOUSEHOLD INCOME QUINTILE,,,,,All households,,,,,,,,,,,,,,,,,,,,,,
,Lowest,Second,Third,Fourth,Highest,,,,,,,,,,,,,,,,,,,,,,,
WEEKLY VALUE ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean income,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private income,132,732,1599,2631,5465,2112,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances (a),349,349,194,125,76,217,,,,,,,,,,,,,,,,,,,,,,
Gross income,481,1081,1791,2753,5539,2329,,,,,,,,,,,,,,,,,,,,,,
Disposable income,477,1015,1560,2281,4111,1889,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable income,379,645,866,1147,1928,1124,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median income,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private income,12,857,1671,2638,4473,1643,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances (a),471,157,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Gross income,503,1078,1785,2723,4519,1786,,,,,,,,,,,,,,,,,,,,,,
Disposable income,502,999,1541,2272,3499,1542,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable income,441,620,817,1094,1670,958,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imputed rent (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net benefit from home ownership or occupancy (c) ,202,184,155,150,300,198,,,,,,,,,,,,,,,,,,,,,,
Market rent (d),319,314,319,363,597,382,,,,,,,,,,,,,,,,,,,,,,
Housing costs (e),175,232,293,338,398,287,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable household income at top of selected percentiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   10th (P10),*39,423,574,791,1163,475,,,,,,,,,,,,,,,,,,,,,,
   20th (P20),200,485,656,886,1308,583,,,,,,,,,,,,,,,,,,,,,,
   30th (P30),295,538,709,950,1409,712,,,,,,,,,,,,,,,,,,,,,,
   40th (P40),366,575,759,1014,1531,830,,,,,,,,,,,,,,,,,,,,,,
   50th (P50),441,620,817,1094,1670,958,,,,,,,,,,,,,,,,,,,,,,
   60th (P60),479,666,887,1166,1818,1118,,,,,,,,,,,,,,,,,,,,,,
   70th (P70),498,723,969,1261,1999,1284,,,,,,,,,,,,,,,,,,,,,,
   80th (P80),523,796,1072,1394,2280,1516,,,,,,,,,,,,,,,,,,,,,,
   90th (P90),576,890,1214,1592,2867,1903,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Includes overseas pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Includes all tenure types,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) Also referred to as net imputed rent. For all tenure types other than market renters, net benefit from home ownership or occupancy (net imputed rent) equates to market rent (gross imputed rent) less housing costs. For consistency across all housing tenures, the reported values of any rental refunds or subsidies received by market renters have been included in the estimates of net imputed rent",,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d) The estimated rent a dwelling would attract if it were commercially rented. This amount is nil for market renters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
