            Australian Bureau of Statistics,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,
"Table 6.2  HOUSEHOLD ASSETS AND LIABILITIES, Gross income quintiles",,,,,,,,,,,,
,GROSS HOUSEHOLD INCOME QUINTILE,,,,,All households,,,,,,
,Lowest,Second,Third,Fourth,Highest,,,,,,,
ESTIMATES ($'000),,,,,,,,,,,,
Household net worth,,,,,,,,,,,,
Mean net worth,615.7,752.2,799.4,972.9,2084.6,1042,,,,,,
Median net worth,397.6,498.4,462.2,584.1,1173.4,579.2,,,,,,
,,,,,,,,,,,,
Mean wealth values,,,,,,,,,,,,
Assets,,,,,,,,,,,,
Financial assets,,,,,,,,,,,,
Value of accounts held with financial institutions (excl. offset accounts),53.4,59,54.5,66.5,111.2,68.8,,,,,,
Value of offset accounts,1.4,4.9,6.4,15.8,36.6,13.1,,,,,,
Value of shares (excl. own incorporated business),11.5,13.6,18,26.6,76.8,28.8,,,,,,
Value of public unit trusts,1.7,5.8,2.1,2,5.2,3.3,,,,,,
Value of private trusts,9.4,3.1,11.8,11.6,121.3,31.2,,,,,,
Value of own incorporated business (net of liabilities),3.7,0.8,10.7,25.8,141.3,36.9,,,,,,
Value of own unincorporated business (net of liabilities),20.9,14.4,9.6,10.8,86.8,27.4,,,,,,
Total value of superannuation funds ,67.7,145.2,199.5,255.9,483.3,229.9,,,,,,
Total financial assets(a),170.4,249.7,314.8,418.7,1078.8,445,,,,,,
,,,,,,,,,,,,
Non-financial assets,,,,,,,,,,,,
Property assets,,,,,,,,,,,,
Value of owner occupied dwelling,352.9,385.6,412.5,497.2,867.5,502.5,,,,,,
Value of other property,73.6,117,125.8,205.5,437.6,191.1,,,,,,
Total property assets,427,499.2,538.7,701.3,1309.5,694.4,,,,,,
Value of contents of dwelling,48.6,64,67.4,82,115.2,75.2,,,,,,
Value of vehicles,12,18.9,24,32.6,50.1,27.5,,,,,,
Total non-financial assets(b),487.5,583.2,630.4,816,1476.8,798,,,,,,
