            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,
"Table 6.3  HOUSEHOLD CHARACTERISTICS, Gross income quintiles",,,,,,,,,,,,,,,,,,,,
,,GROSS HOUSEHOLD INCOME QUINTILE,,,,,All households,,,,,,,,,,,,,
,,Lowest,Second,Third,Fourth,Highest,,,,,,,,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,
Zero or negative income,%,3.1,0,0,0,0,0.6,,,,,,,,,,,,,
Employee income,%,10,45.4,76.4,89.1,88.5,61.9,,,,,,,,,,,,,
Own unincorporated business income,%,2.5,3.6,4.1,2.7,3.1,3.1,,,,,,,,,,,,,
Government pensions and allowances,%,67.4,34,7.9,1.6,0.2,22.3,,,,,,,,,,,,,
Other income,%,17,17.3,11.4,6.4,8.4,12.1,,,,,,,,,,,,,
Total,%,100,100,100,100,100,100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,%,4.3,13.1,41,72.2,84.6,43,,,,,,,,,,,,,
1 employed person,%,16.1,43.9,47,23.2,13.1,28.6,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,%,5.4,3.2,1.5,0.5,0,2.1,,,,,,,,,,,,,
No persons in the labour force,%,74,40.1,10.5,4,2.4,26.2,,,,,,,,,,,,,
Total,%,100,100,100,100,100,100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,,,,,
Nil or less than 1%,%,23.7,43.9,60.6,75.8,86,58,,,,,,,,,,,,,
1% to less than 20%,%,1.7,8.4,20.4,14.8,12,11.5,,,,,,,,,,,,,
20% to less than 50%,%,4.2,14.6,11.7,8.3,1.9,8.1,,,,,,,,,,,,,
50% to less than 90%,%,13.9,14.9,5.1,1,0.2,7,,,,,,,,,,,,,
90% and over,%,53.4,18.2,2.3,0.1,0,14.8,,,,,,,,,,,,,
Total(a),%,100,100,100,100,100,100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,,,,
Owner without a mortgage,%,49.5,39.9,23.1,17.2,17.6,29.5,,,,,,,,,,,,,
Owner with a mortgage,%,11.3,22,38.6,50.1,61.8,36.8,,,,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,,,,
State/territory housing authority,%,9.7,3.2,0.9,0.5,0.1,2.9,,,,,,,,,,,,,
Private landlord,%,20.5,30.2,33.8,28.5,17.9,26.2,,,,,,,,,,,,,
Other landlord type,%,4.9,2.3,1.5,1.6,1.4,2.3,,,,,,,,,,,,,
Total renters,%,35.2,35.4,36.5,30.6,19.4,31.4,,,,,,,,,,,,,
Other tenure type,%,3.9,2.9,1.8,2,1.4,2.4,,,,,,,,,,,,,
Total,%,100,100,100,100,100,100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,,,,,
Couple family with dependent children,%,4.8,12.5,27.8,39.7,47.5,26.4,,,,,,,,,,,,,
One parent family with dependent children,%,6.2,10.2,8.4,4,1.5,6.1,,,,,,,,,,,,,
Couple only,%,18.8,35.9,26.8,26.5,23.6,26.3,,,,,,,,,,,,,
Other one family households,%,2.7,10.3,12.5,14.4,14.1,10.8,,,,,,,,,,,,,
Multiple family households,%,0.3,0.3,1.4,3.9,5.7,2.3,,,,,,,,,,,,,
Non-family households,,,,,,,,,,,,,,,,,,,,
Lone person,%,65.7,28.1,19.8,7.7,4.9,25.2,,,,,,,,,,,,,
Group households,%,1.1,3.1,3.6,3.8,2.8,2.8,,,,,,,,,,,,,
Total,%,100,100,100,100,100,100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average age of reference person in years,years,63,56,48,45,47,52,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average number in household,,,,,,,,,,,,,,,,,,,,
Employed persons,no.,0.3,0.7,1.4,1.9,2.3,1.3,,,,,,,,,,,,,
Dependent children,no.,0.2,0.4,0.7,0.9,1,0.6,,,,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,,
Under 18 years,no.,0.2,0.4,0.7,0.8,0.8,0.6,,,,,,,,,,,,,
18–64 years,no.,0.6,1.1,1.7,2.1,2.4,1.6,,,,,,,,,,,,,
65 years and over,,,,,,,,,,,,,,,,,,,,
65–74 years,no.,0.3,0.4,0.2,0.1,0.1,0.2,,,,,,,,,,,,,
75 years and over,no.,0.3,0.3,0.1,0.1,0,0.2,,,,,,,,,,,,,
Total 65 years and over,no.,0.7,0.7,0.3,0.2,0.2,0.4,,,,,,,,,,,,,
Total ,no.,1.5,2.1,2.7,3.1,3.4,2.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Estimated number in population,,,,,,,,,,,,,,,,,,,,
Households,'000,1946.9,1942.6,1947.5,1946.5,1948.8,9732.4,,,,,,,,,,,,,
Persons,'000,2901,4161.8,5168.5,6021,6655.2,24909.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Number of households in sample,no.,3451,3197,2932,2726,2705,15011,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
# Proportion has a high margin of error and should be used with caution.,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,
(a) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,
"65230DO006_201920 Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,
"Table 6.3  HOUSEHOLD CHARACTERISTICS, Gross income quintiles – Margin of error of proportion (±) and Relative standard errors 
(RSE)",,,,,,,,,,,,,,,,,,,,
,,GROSS HOUSEHOLD INCOME QUINTILE,,,,,All households,,,,,,,,,,,,,
,,Lowest,Second,Third,Fourth,Highest,,,,,,,,,,,,,,
95% MARGIN OF ERROR OF PROPORTION (±),,,,,,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,
Zero or negative income,MOE(±),0.8,0,0,0,0,0.2,,,,,,,,,,,,,
Employee income,MOE(±),1.8,2.2,1.6,1.6,1.9,0.6,,,,,,,,,,,,,
Own unincorporated business income,MOE(±),0.7,0.8,1.1,0.9,0.9,0.4,,,,,,,,,,,,,
Government pensions and allowances,MOE(±),1.8,1.8,1.5,0.7,np,0.8,,,,,,,,,,,,,
Other income,MOE(±),1.7,1.6,1.7,1.3,1.2,0.6,,,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,MOE(±),1,1.7,2.3,1.6,1.5,0.6,,,,,,,,,,,,,
1 employed person,MOE(±),2,2.5,2.1,2.1,1.7,1,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,MOE(±),1.1,0.9,0.8,0.4,0,0.3,,,,,,,,,,,,,
No persons in the labour force,MOE(±),2.3,1.9,1.4,1,0.7,0.6,,,,,,,,,,,,,
