            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7.1  INCOME DISTRIBUTION, Net worth quintiles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOUSEHOLD NET WORTH QUINTILES,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lowest,Second,Third,Fourth,Highest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEKLY VALUE ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private income,1086,1793,1759,2264,3628,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances (a),330,212,250,204,94,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross income,1414,2004,2009,2467,3721,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disposable income,1245,1658,1654,2001,2869,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable income,797,997,1012,1145,1586,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private income,865,1655,1505,1861,2795,1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances (a),214,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross income,1170,1803,1667,1987,2843,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disposable income,1072,1523,1431,1703,2387,1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable income,720,895,918,1019,1326,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imputed rent (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net benefit from home ownership or occupancy (c) ,45,25,127,242,549,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market rent (d),112,193,348,464,792,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing costs (e),317,341,271,243,261,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable household income at top of selected percentiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   10th (P10),381,481,479,504,572,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   20th (P20),477,597,566,648,800,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   30th (P30),539,693,677,787,1001,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   40th (P40),628,788,791,899,1165,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   50th (P50),720,895,918,1019,1326,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   60th (P60),799,1014,1048,1159,1534,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   70th (P70),922,1170,1204,1334,1774,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   80th (P80),1081,1377,1362,1521,2086,1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   90th (P90),1340,1657,1694,1857,2775,1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Includes overseas pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Includes all tenure types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
