            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7.6  GROSS AND EQUIVALISED DISPOSABLE HOUSEHOLD INCOME, Net worth quintiles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOUSEHOLD NET WORTH QUINTILES,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lowest,Second,Third,Fourth,Highest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEAN WEEKLY GROSS HOUSEHOLD INCOME ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,-133,-268,-88,-232,-429,-237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee income,1924,2429,2668,3214,4552,2947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Own unincorporated business income,1326,1798,1897,2492,4499,2696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances,794,754,747,920,964,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other income,911,916,1265,1317,2735,2043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1414,2004,2009,2467,3721,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,2341,2820,3118,3626,5050,3537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 employed person,1408,1708,1742,1992,3155,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,851,876,1024,636,1046,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No persons in the labour force,660,675,730,883,1649,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1414,2004,2009,2467,3721,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15–24,1611,2168,3068,610,823,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25–34,1778,2491,3020,3568,4740,2465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35–44,1602,2391,2892,3740,4966,2837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45–54,1128,1916,2518,3246,5056,3033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55–64,865,1585,1715,2294,4018,2538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65–74,768,879,948,1246,2417,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 and over,664,687,813,1005,1804,1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 65 years and over,730,775,881,1149,2199,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1414,2004,2009,2467,3721,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States and Territories (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,1450,2157,1967,2322,3810,2422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
