            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,
"Table 8.1  INCOME DISTRIBUTION, Tenure and landlord type",,,,,,,,,,,,,,,,,
,Owner without a mortgage,Owner with a mortgage,RENTER,,,,Other tenure type,All households,,,,,,,,,
,,,"State/territory housing 
authority ",Private landlord,Other landlord type,Total renters,,,,,,,,,,,
WEEKLY VALUE ($),,,,,,,,,,,,,,,,,
Household income,,,,,,,,,,,,,,,,,
Mean income,,,,,,,,,,,,,,,,,
Private income,1463,3072,174,1845,1304,1655,1410,2112,,,,,,,,,
Government pensions and allowances (a),301,116,594,209,369,255,262,217,,,,,,,,,
Gross income,1764,3188,768,2052,1661,1908,1675,2329,,,,,,,,,
Disposable income,1502,2488,754,1696,1371,1588,1431,1889,,,,,,,,,
Equivalised disposable income,1025,1285,550,1011,986,977,915,1124,,,,,,,,,
,,,,,,,,,,,,,,,,,
Median income,,,,,,,,,,,,,,,,,
Private income,792,2571,0,1584,519,1384,986,1643,,,,,,,,,
Government pensions and allowances (a),190,0,480,0,374,0,0,0,,,,,,,,,
Gross income,1108,2683,529,1730,984,1561,1187,1786,,,,,,,,,
Disposable income,1061,2190,529,1496,929,1366,1128,1542,,,,,,,,,
Equivalised disposable income,797,1136,487,892,777,848,801,958,,,,,,,,,
,,,,,,,,,,,,,,,,,
Imputed Rent (b),,,,,,,,,,,,,,,,,
Net benefit from home ownership or occupancy (c) ,380,181,172,12,144,36,352,198,,,,,,,,,
Market rent (d),510,536,319,27,389,81,410,382,,,,,,,,,
Housing costs (e),131,355,145,406,247,371,52,287,,,,,,,,,
,,,,,,,,,,,,,,,,,
Equivalised disposable household income at top of selected percentiles,,,,,,,,,,,,,,,,,
   10th (P10),437,563,336,446,428,423,376,475,,,,,,,,,
   20th (P20),521,732,408,568,517,531,508,583,,,,,,,,,
   30th (P30),589,869,455,689,572,640,589,712,,,,,,,,,
   40th (P40),692,995,479,771,663,745,678,830,,,,,,,,,
   50th (P50),797,1136,487,892,777,848,801,958,,,,,,,,,
   60th (P60),939,1272,527,1002,930,966,916,1118,,,,,,,,,
   70th (P70),1141,1432,592,1166,1268,1135,1054,1284,,,,,,,,,
   80th (P80),1386,1660,688,1377,1433,1353,1284,1516,,,,,,,,,
   90th (P90),1814,2057,831,1730,1907,1701,1646,1903,,,,,,,,,
,,,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,
(a) Includes overseas pensions,,,,,,,,,,,,,,,,,
