            Australian Bureau of Statistics,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,
"Table 8.2  HOUSEHOLD ASSETS AND LIABILITIES, Tenure and landlord type",,,,,,,,,,,,,,,,
,Owner without a mortgage,Owner with a mortgage,RENTER,,,,Other tenure type,All households,,,,,,,,
,,,"State/territory housing 
authority ",Private landlord,Other landlord type,Total renters,,,,,,,,,,
ESTIMATES ($'000),,,,,,,,,,,,,,,,
Household net worth,,,,,,,,,,,,,,,,
Mean net worth,1749.2,1211.3,45.7,237.8,296.7,224.3,500,1042,,,,,,,,
Median net worth,1083.3,785.4,20.6,100.2,75.8,89,228.4,579.2,,,,,,,,
,,,,,,,,,,,,,,,,
Mean wealth values,,,,,,,,,,,,,,,,
Assets,,,,,,,,,,,,,,,,
Financial assets,,,,,,,,,,,,,,,,
Value of accounts held with financial institutions (excl. offset accounts),135.8,46.3,9.1,35.4,35.1,32.9,57,68.8,,,,,,,,
Value of offset accounts,0.9,33.4,0,1.5,4.3,1.6,3.3,13.1,,,,,,,,
Value of shares (excl. own incorporated business),58.8,24.5,0.1,5.6,8.6,5.4,38.5,28.8,,,,,,,,
Value of public unit trusts,8.2,1.5,0,0.6,3.3,0.7,1.1,3.3,,,,,,,,
Value of private trusts,55.2,33.7,0,5.7,9,5.1,49.8,31.2,,,,,,,,
Value of own incorporated business (net of liabilities),47.5,48.4,0,16.6,1.9,14.2,10.2,36.9,,,,,,,,
Value of own unincorporated business (net of liabilities),27.8,47.6,0.3,6.1,15.2,6,5.9,27.4,,,,,,,,
Total value of superannuation funds ,343.9,270.4,14.5,89.5,111.2,83.9,143.7,229.9,,,,,,,,
Total financial assets(a),688.9,513.6,23.5,161.8,181.9,150.6,313.6,445,,,,,,,,
,,,,,,,,,,,,,,,,
Non-financial assets,,,,,,,,,,,,,,,,
Property assets,,,,,,,,,,,,,,,,
Value of owner occupied dwelling,736.4,776.2,0,0,0,0,43.1,502.5,,,,,,,,
Value of other property,238.8,246.7,1.6,92.3,123.2,86.8,123.4,191.1,,,,,,,,
Total property assets,976.3,1025,1.6,92.3,123.2,86.8,161.9,694.4,,,,,,,,
Value of contents of dwelling,96.3,98.8,19.2,29.4,31.8,28.7,70.6,75.2,,,,,,,,
Value of vehicles,26.8,38.3,4.5,16.4,19.6,15.6,24.7,27.5,,,,,,,,
Total non-financial assets(b),1100.7,1163.1,26.4,138,173.7,131,260.5,798,,,,,,,,
,,,,,,,,,,,,,,,,
Total assets,1794.3,1673.1,49.9,300.8,363,282.2,571.5,1245.2,,,,,,,,
,,,,,,,,,,,,,,,,
Liabilities,,,,,,,,,,,,,,,,
Property loans,,,,,,,,,,,,,,,,
Principal outstanding on loans for owner occupied dwelling,0.2,310.7,0,0.2,1.3,0.2,17.9,114.7,,,,,,,,
Principal outstanding on other property loans,33,122.3,0.5,42.6,59.7,39.8,48.7,68.1,,,,,,,,
Total property loans,33.3,432.8,0.5,42.7,60.5,39.9,62.4,183.3,,,,,,,,
,,,,,,,,,,,,,,,,
Other liabilities,,,,,,,,,,,,,,,,
Debt outstanding on study loans,3,7.1,2.6,9.7,4.8,8.7,4.9,6.3,,,,,,,,
Amount owing on credit cards,1.2,3.6,0.7,2.5,0,2.2,1.7,2.4,,,,,,,,
Principal outstanding on loans for vehicle purchases (excl. business and investment loans),0.8,6.5,0.4,4.8,3.9,4.3,3.1,4.1,,,,,,,,
Principal outstanding on investment loans (excl. business and rental property loans),6.6,11.3,0,1.6,0,1.3,0,6.5,,,,,,,,
Principal outstanding on loans for other purposes (excl. business and investment loans),0.2,2.4,0.3,1.5,1.8,1.4,4.4,1.4,,,,,,,,
,,,,,,,,,,,,,,,,
Total liabilities,45.4,463.3,4.4,62.9,71.4,57.9,75.8,203.8,,,,,,,,
,,,,,,,,,,,,,,,,
Net worth of household,1749.2,1211.3,45.7,237.8,296.7,224.3,500,1042,,,,,,,,
,,,,,,,,,,,,,,,,
Other net worth items,,,,,,,,,,,,,,,,
Selected net values ©,,,,,,,,,,,,,,,,
Net value owner occupied dwelling,736.1,465.8,0,-0.2,-1.3,-0.2,26.4,387.8,,,,,,,,
Net value other property,205.8,126.5,1.2,49,79.4,46.4,80.8,122.9,,,,,,,,
Net value total property,943.7,591,1.2,48.9,78.6,46.3,104.7,511.6,,,,,,,,
Net value vehicles,25.9,31.9,4.1,11.6,15.1,11.3,21.7,23.4,,,,,,,,
,,,,,,,,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,
"(a) Includes the value of debentures and bonds, silent partnerships, other financial investments, loans to persons not in the same household ",,,,,,,,,,,,,,,,
(b) Includes value of assets nec,,,,,,,,,,,,,,,,
(c) Selected net values are the asset value net of associated loans,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,
"Table 8.2  HOUSEHOLD ASSETS AND LIABILITIES, Tenure and landlord type – Relative standard errors (RSE)",,,,,,,,,,,,,,,,
,Owner without a mortgage,Owner with a mortgage,RENTER,,,,Other tenure type,All households,,,,,,,,
,,,"State/territory housing 
authority ",Private landlord,Other landlord type,Total renters,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,
Household net worth,,,,,,,,,,,,,,,,
Mean net worth,3.6,3.8,9.8,3.9,16.5,3.6,10.7,2.6,,,,,,,,
Median net worth,1.9,2.2,10.2,3.9,27.7,3.6,15.1,1.5,,,,,,,,
,,,,,,,,,,,,,,,,
Mean wealth values,,,,,,,,,,,,,,,,
Assets,,,,,,,,,,,,,,,,
Financial assets,,,,,,,,,,,,,,,,
Value of accounts held with financial institutions (excl. offset accounts),4.5,5.5,25.2,6.3,12.9,5.8,13.6,3.5,,,,,,,,
Value of offset accounts,31.4,6.4,np,29.3,np,27.2,40.4,6.3,,,,,,,,
Value of shares (excl. own incorporated business),15.1,14.4,40.8,20,np,18.4,48.2,11.5,,,,,,,,
Value of public unit trusts,20.4,31.2,0,32.7,np,36.4,np,16.7,,,,,,,,
Value of private trusts,25.4,26.1,np,43,np,40.9,np,17.5,,,,,,,,
Value of own incorporated business (net of liabilities),38.2,21.9,0,30.1,np,29.2,np,19.7,,,,,,,,
Value of own unincorporated business (net of liabilities),19.6,np,np,38.4,np,35.4,45.1,33.9,,,,,,,,
Total value of superannuation funds ,5.1,2.8,18.6,3.7,16.8,4,11.7,2.5,,,,,,,,
Total financial assets(a),6,7.1,14.6,4.4,14.1,3.9,16.6,4.3,,,,,,,,
,,,,,,,,,,,,,,,,
Non-financial assets,,,,,,,,,,,,,,,,
Property assets,,,,,,,,,,,,,,,,
Value of owner occupied dwelling,2.3,1.9,0,0,0,0,34.6,1.7,,,,,,,,
Value of other property,8.3,4.6,np,7.3,30.9,6.9,19.3,4.1,,,,,,,,
Total property assets,3.1,2.1,np,7.3,30.9,6.9,17.1,2,,,,,,,,
Value of contents of dwelling,2.1,2.5,11.2,3.1,12.9,2.9,11.3,1.5,,,,,,,,
Value of vehicles,2.8,2.3,9.4,3.4,25.6,3.6,14.8,1.7,,,,,,,,
Total non-financial assets(b),2.9,2,8.5,5.1,25.5,4.9,11.3,1.8,,,,,,,,
,,,,,,,,,,,,,,,,
Total assets,3.6,2.9,9.1,3.6,17.9,3.4,9.9,2.3,,,,,,,,
,,,,,,,,,,,,,,,,
Liabilities,,,,,,,,,,,,,,,,
Property loans,,,,,,,,,,,,,,,,
Principal outstanding on loans for owner occupied dwelling,np,1.7,0,np,np,np,35,2.4,,,,,,,,
Principal outstanding on other property loans,9.9,5.9,np,9.8,31.9,9.3,32.7,4.4,,,,,,,,
Total property loans,9.8,1.9,np,9.9,31.4,9.3,28.5,2.2,,,,,,,,
,,,,,,,,,,,,,,,,
Other liabilities,,,,,,,,,,,,,,,,
Debt outstanding on study loans,9.7,6.2,18.2,6.6,37.6,6.1,21.9,3.7,,,,,,,,
Amount owing on credit cards,12,5.2,31.1,6.7,np,7.5,35.1,4,,,,,,,,
Principal outstanding on loans for vehicle purchases (excl. business and investment loans),13.5,5.3,27.2,6.7,27.1,6.5,np,3.8,,,,,,,,
