            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,
"Table 8.4  GROSS AND EQUIVALISED DISPOSABLE HOUSEHOLD INCOME, Tenure and landlord type",,,,,,,,,,,,,,,,,,,,,
,Owner without a mortgage,Owner with a mortgage,RENTER,,,,Other tenure type,All households,,,,,,,,,,,,,
,,,"State/territory housing 
authority ",Private landlord,Other landlord type,Total renters,,,,,,,,,,,,,,,
MEAN WEEKLY GROSS HOUSEHOLD INCOME ($),,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,-274,-308,0,-151,0,-145,0,-237,,,,,,,,,,,,,
Employee income,2883,3341,1489,2404,2734,2413,2435,2947,,,,,,,,,,,,,
Own unincorporated business income,2204,3593,1453,1606,0,1552,1828,2696,,,,,,,,,,,,,
Government pensions and allowances,749,1097,692,906,694,806,735,803,,,,,,,,,,,,,
Other income,1865,3218,1121,1531,1015,1495,1265,2043,,,,,,,,,,,,,
Total,1764,3188,768,2052,1661,1908,1675,2329,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,3640,3851,1738,2872,3488,2896,2994,3537,,,,,,,,,,,,,
1 employed person,1960,2190,1322,1687,1735,1675,1482,1917,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,881,757,644,947,609,855,3022,880,,,,,,,,,,,,,
No persons in the labour force,985,1128,610,749,649,689,856,913,,,,,,,,,,,,,
Total,1764,3188,768,2052,1661,1908,1675,2329,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,
15–24,701,2151,2198,1711,1168,1703,1487,1700,,,,,,,,,,,,,
