            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9.2  HOUSEHOLD ASSETS AND LIABILITIES, Household composition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAMILY HOUSEHOLDS,,,,,,,,,,,,,,,,NON-FAMILY HOUSEHOLDS,,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Couple family with dependent children,,,,,One parent family with dependent children,Couple only,,,,,,Other one family households,,Multiple family households,,Lone person,,,,,Group households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dependent children only, youngest child aged under 5","Dependent children only, youngest child aged 5–14","Dependent children only, youngest child aged 15 and above",Dependent and non-dependent children only,Total(a),,Reference person aged under 35,Reference person aged 35–54,Reference person aged 55–64,Reference person aged 65 and over,Total,,Couple family with non-dependent children only,Total(b),,,"Aged 
under 35","Aged 
35–54","Aged 
55–64","Aged 65 
and over",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTIMATES ($'000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household net worth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean net worth,742.5,1167.1,1839.1,1655.6,1142.4,434.2,350.2,898.2,1769.3,1864.1,1364.5,,1992.4,731.7,1189.8,,167.1,525.9,827.8,922.9,696.5,334.2,1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median net worth,458.6,712.6,1327.1,1088.8,699.6,151,175.5,604.3,1258.5,1066.8,802.7,,1150.3,497.7,1050.7,,78.9,272,527.8,560.1,389.1,126.5,579.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean wealth values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
