            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9.3  HOUSEHOLD CHARACTERISTICS, Household composition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FAMILY HOUSEHOLDS,,,,,,,,,,,,,,,,NON-FAMILY HOUSEHOLDS,,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Couple family with dependent children,,,,,One parent family with dependent children,Couple only,,,,,,Other one family households,,Multiple family households,,Lone person,,,,,Group households,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Dependent children only, youngest child aged under 5","Dependent children only, youngest child aged 5–14","Dependent children only, youngest child aged 15 and above",Dependent and non-dependent children only,Total(a),,Reference person aged under 35,Reference person aged 35–54,Reference person aged 55–64,Reference person aged 65 and over,Total,,Couple family with non-dependent children only,Total(b),,,"Aged 
under 35","Aged 
35–54","Aged 
55–64","Aged 65 
and over",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,%,0.2,0.6,0.5,0,0.3,0.3,0.4,1.1,1.7,0.2,0.7,,0,0.1,0,,0.9,1.7,1.9,0.7,1.3,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee income,%,85.8,87.4,82.7,88.3,85.8,57,92,89.1,68.9,10.5,53.5,,77.4,71.7,81.8,,80.4,69.5,48.7,5.3,39.4,75.6,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Own unincorporated business income,%,3.9,4.6,3.4,4.2,3.9,1.4,3.5,4.7,6.6,1.8,3.7,,1.5,3.3,1.1,,2.1,2.6,2.8,1,1.9,4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances,%,7.3,5.1,5.9,3.7,6.6,37.5,0.3,2.5,8.4,48.5,22.1,,11.7,17.7,12.3,,4.4,17.5,28.1,67.7,39.5,11.9,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,
