            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9.4  GROSS AND EQUIVALISED DISPOSABLE HOUSEHOLD INCOME, Household composition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAMILY HOUSEHOLDS,,,,,,,,,,,,,,,,NON-FAMILY HOUSEHOLDS,,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Couple family with dependent children,,,,,One parent family with dependent children,Couple only,,,,,,Other one family households,,Multiple family households,,Lone person,,,,,Group households,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dependent children only, youngest child aged under 5","Dependent children only, youngest child aged 5–14","Dependent children only, youngest child aged 15 and above",Dependent and non-dependent children only,Total(a),,Reference person aged under 35,Reference person aged 35–54,Reference person aged 55–64,Reference person aged 65 and over,Total,,Couple family with non-dependent children only,Total(b),,,"Aged 
under 35","Aged 
35–54","Aged 
55–64","Aged 65 
and over",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEAN WEEKLY GROSS HOUSEHOLD INCOME ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,-515,-298,-126,0,-463,-197,-129,-426,-438,-335,-417,,0,-17,0,,-53,-248,-115,-35,-107,0,-237,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee income,3193,3482,3965,4145,3510,2150,2816,3293,2677,2439,2886,,3471,3227,3820,,1569,1885,1717,1752,1737,2655,2947,,,,,,,,,,,,,,,,,,,,,,,,,,,
Own unincorporated business income,4398,3881,3139,3270,3924,1189,3459,2201,1864,1629,2231,,2209,2676,3587,,1736,1036,1036,1138,1155,2468,2696,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances,978,1022,824,1314,1192,973,452,903,990,876,883,,2231,1286,1898,,516,512,544,542,537,987,803,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other income,3014,5565,3725,11174,5077,1821,3643,3049,2503,2057,2258,,1902,3048,2199,,704,1002,814,1183,1068,1648,2043,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3086,3406,3763,4187,3396,1674,2852,3183,2379,1509,2263,,3160,2836,3562,,1416,1506,1152,771,1110,2341,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,3707,3681,3992,4473,3833,2392,3080,3495,2996,2401,3152,,3504,3651,3959,,0,0,0,0,0,2870,3537,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 employed person,2220,2788,2767,1445,2420,1777,1848,2115,2032,2262,2065,,2105,1821,2321,,1557,1792,1649,1514,1675,1527,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,1347,728,1357,1020,1266,861,379,1406,439,995,640,,2468,1096,2041,,589,509,380,149,482,2054,880,,,,,,,,,,,,,,,,,,,,,,,,,,,
No persons in the labour force,863,1285,1592,0,1160,837,316,677,1140,1242,1220,,2024,1246,1667,,416,562,558,685,648,1162,913,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3086,3406,3763,4187,3396,1674,2852,3183,2379,1509,2263,,3160,2836,3562,,1416,1506,1152,771,1110,2341,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15–24,1623,0,0,243,1965,988,1966,0,0,0,1966,,1967,1883,3340,,982,0,0,0,982,2240,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,
25–34,2519,2292,0,5394,2524,1203,2979,0,0,0,2979,,3398,2931,3491,,1502,0,0,0,1502,2789,2465,,,,,,,,,,,,,,,,,,,,,,,,,,,
35–44,3287,3294,2595,3377,3258,1572,0,3226,0,0,3226,,3750,2706,2787,,0,1646,0,0,1646,3531,2837,,,,,,,,,,,,,,,,,,,,,,,,,,,
45–54,5062,3754,3962,4071,3944,1942,0,3080,0,0,3080,,3630,3060,4084,,0,1392,0,0,1392,1739,3033,,,,,,,,,,,,,,,,,,,,,,,,,,,
55–64,4484,2931,3713,5405,4357,1769,0,0,2379,0,2379,,3786,3431,3986,,0,0,1152,0,1152,1541,2538,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65–74,0,2203,2730,2150,2635,1134,0,0,0,1655,1655,,2089,2150,3083,,0,0,0,837,837,1457,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 and over,0,0,7061,0,3360,1304,0,0,0,1254,1254,,2406,1678,2929,,0,0,0,700,700,1110,1045,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 65 years and over,0,2203,3278,2150,2691,1225,0,0,0,1509,1509,,2135,1988,3103,,0,0,0,771,771,1402,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3086,3406,3763,4187,3396,1674,2852,3183,2379,1509,2263,,3160,2836,3562,,1416,1506,1152,771,1110,2341,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States and territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,3367,3578,3809,4353,3611,1772,2691,3040,2389,1548,2248,,3471,2901,3842,,1342,1574,1056,832,1106,2452,2422,,,,,,,,,,,,,,,,,,,,,,,,,,,
