            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.2  GROSS HOUSEHOLD INCOME, Australia, 2007–08 to 2019–20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007–08,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean income per week (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Lowest quintile,$,427,439,455,479,487,482,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Second quintile,$,977,950,991,1016,1025,1055,1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Third quintile,$,1656,1613,1678,1710,1726,1759,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Fourth quintile,$,2505,2478,2592,2647,2659,2693,2753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Highest quintile,$,5050,4811,4972,5512,5380,5567,5539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   All households,$,2123,2058,2137,2273,2253,2310,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted lowest income quintile (b) ,$,473,488,507,533,538,532,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income per week at top of selected percentiles (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   10th (P10),$,417,442,462,501,503,487,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   20th (P20),$,696,688,715,756,749,770,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   30th (P30),$,970,941,983,1002,1019,1048,1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   40th (P40),$,1297,1257,1297,1325,1344,1377,1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   50th (P50),$,1656,1610,1669,1705,1727,1753,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   60th (P60),$,2030,2000,2093,2128,2137,2165,2208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   70th (P70),$,2487,2451,2581,2616,2637,2671,2725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   80th (P80),$,3073,3046,3176,3272,3309,3342,3397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   90th (P90),$,4112,4047,4182,4384,4459,4405,4522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Lowest quintile,%,4,4.3,4.3,4.2,4.3,4.2,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Second quintile,%,9.2,9.2,9.3,8.9,9.1,9.1,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Third quintile,%,15.6,15.7,15.7,15,15.4,15.3,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Fourth quintile,%,23.6,24.1,24.3,23.3,23.7,23.3,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Highest quintile,%,47.6,46.7,46.5,48.5,47.5,48.2,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   All households,%,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted lowest income quintile (b) ,%,4,4.3,4.3,4.2,4.3,4.1,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratio of incomes at top of selected income percentiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   P90/P10,ratio,9.86,9.15,9.06,8.75,8.87,9.05,8.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   P80/P20,ratio,4.41,4.43,4.45,4.33,4.42,4.34,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   P80/P50,ratio,1.86,1.89,1.9,1.92,1.92,1.91,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   P20/P50,ratio,0.42,0.43,0.43,0.44,0.43,0.44,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10/P50,ratio,0.25,0.27,0.28,0.29,0.29,0.28,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gini coefficient,no.,0.438,0.428,0.427,0.446,0.434,0.439,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of households in sample,no.,9345,18071,14569,14162,17768,14060,15011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI Factor,no.,0.776,0.819,0.864,0.908,0.936,0.971,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing data from 2015-16 onwards have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
