            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,
"Table 1.4  HOUSEHOLD CHARACTERISTICS, Australia, 2007–08 to 2019–20",,,,,,,,,,,,,,,,,,,,,,
,,2007–08,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,,,,,,,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,%,0.4,0.5,0.5,0.5,0.4,0.4,0.6,,,,,,,,,,,,,,
Employee income,%,61.5,60.8,61.1,60.5,60.7,61,61.9,,,,,,,,,,,,,,
Own unincorporated business income,%,5.7,4.8,4.5,4.1,4.3,4.3,3.1,,,,,,,,,,,,,,
Government pensions and allowances,%,23.2,25.2,24.8,24.7,24.2,22.6,22.3,,,,,,,,,,,,,,
Other income,%,9.2,8.7,9,10.2,10.4,11.6,12.1,,,,,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,%,43,42.3,43,42.2,42.9,43.9,43,,,,,,,,,,,,,,
1 employed person,%,30.6,30.6,29.2,29.8,28.7,28.3,28.6,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,%,1.5,2.1,1.9,2.4,2.4,1.9,2.1,,,,,,,,,,,,,,
No persons in the labour force,%,24.9,25.1,25.9,25.6,25.9,25.9,26.2,,,,,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,,,,,,,
Nil or less than 1%,%,46.4,45.5,47.1,49.3,51.3,55.4,58,,,,,,,,,,,,,,
1% to less than 20%,%,20.4,19.4,18,15.9,14.7,13.1,11.5,,,,,,,,,,,,,,
20% to less than 50%,%,10.1,9.7,9.8,9.9,9.7,8.5,8.1,,,,,,,,,,,,,,
50% to less than 90%,%,8.4,9.1,8.9,9.3,8.3,7.3,7,,,,,,,,,,,,,,
90% and over,%,14.3,15.9,15.6,15.1,15.6,15.2,14.8,,,,,,,,,,,,,,
Total(a),%,100,100,100,100,100,100,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,,,,,,
Owner without a mortgage,%,33.2,32.6,30.9,31.4,30.4,29.5,29.5,,,,,,,,,,,,,,
