            Australian Bureau of Statistics,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,
"Table 2.1  HOUSEHOLD NET WORTH, 2009–10 to 2019–20",,,,,,,,,,,,,,,
,,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,
Mean value(a),,,,,,,,,,,,,,,
Lowest quintile,$'000,38.833,36.1,39.2,39,36.3,35.1,,,,,,,,
Second quintile,$'000,238.795,220.9,227.2,251.2,238.1,252.6,,,,,,,,
Third quintile,$'000,521.067,506.4,509.6,564.5,581.6,588.4,,,,,,,,
Fourth quintile,$'000,879.522,886.9,915.2,1014.7,1073.8,1067.2,,,,,,,,
Highest quintile,$'000,2712.498,2561.8,2770.6,3105,3334.8,3267.1,,,,,,,,
All households,$'000,878.198,842.5,892.4,992.9,1053.2,1042,,,,,,,,
,,,,,,,,,,,,,,,
Value at top of selected percentiles(a),,,,,,,,,,,,,,,
10th (P10),$'000,36.614,34.3,36.8,35.8,32.4,36.9,,,,,,,,
20th (P20),$'000,106.18,102.3,101.8,111.7,105.3,113.4,,,,,,,,
30th (P30),$'000,236.998,216.4,227.1,248.4,230.3,248.3,,,,,,,,
40th (P40),$'000,382.811,362.1,362.5,404.5,398.2,411.5,,,,,,,,
50th (P50),$'000,519.31,502.4,508.5,563,575.8,579.2,,,,,,,,
60th (P60),$'000,665.787,663,670,739,784.6,789.1,,,,,,,,
70th (P70),$'000,864.114,871.9,895.9,990.3,1064,1052.4,,,,,,,,
80th (P80),$'000,1160.603,1187.3,1228.4,1373.4,1443.4,1447.8,,,,,,,,
90th (P90),$'000,1800.006,1845,1920.7,2113.7,2292.4,2257.7,,,,,,,,
,,,,,,,,,,,,,,,
Share of aggregate,,,,,,,,,,,,,,,
Lowest quintile,%,0.9,0.9,0.9,0.8,0.7,0.7,,,,,,,,
Second quintile,%,5.4,5.2,5.1,5.1,4.5,4.8,,,,,,,,
Third quintile,%,11.9,12,11.4,11.4,11.1,11.3,,,,,,,,
Fourth quintile,%,20,21,20.5,20.4,20.4,20.5,,,,,,,,
Highest quintile,%,61.8,60.8,62.1,62.5,63.4,62.8,,,,,,,,
All households,%,100,100,100,100,100,100,,,,,,,,
,,,,,,,,,,,,,,,
Ratio of values at top of selected percentiles,,,,,,,,,,,,,,,
P90/P10,ratio,49.16,53.84,52.25,59.16,70.83,61.13,,,,,,,,
P80/P20,ratio,10.93,11.61,12.07,12.32,13.7,12.81,,,,,,,,
P80/P50,ratio,2.23,2.36,2.42,2.44,2.51,2.5,,,,,,,,
P20/P50,ratio,0.2,0.2,0.2,0.2,0.18,0.2,,,,,,,,
P10/P50,ratio,0.07,0.07,0.07,0.06,0.06,0.06,,,,,,,,
,,,,,,,,,,,,,,,
Gini coefficient,no.,0.602,0.593,0.605,0.605,0.621,0.611,,,,,,,,
,,,,,,,,,,,,,,,
Number of households in sample,no.,18071,14569,14162,17768,14060,15011,,,,,,,,
,,,,,,,,,,,,,,,
CPI Factor  ,no.,0.819,0.864,0.908,0.936,0.971,1,,,,,,,,
,,,,,,,,,,,,,,,
"Cells in this table containing data from 2015-16 onwards have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,
"(a) In 2019–20 dollars, adjusted using changes in the Consumer Price Index",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,
"Table 2.1  HOUSEHOLD NET WORTH, 2009–10 to 2019–20 – Relative standard errors (RSE)",,,,,,,,,,,,,,,
,,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,
Mean value,,,,,,,,,,,,,,,
Lowest quintile,RSE(%),4.2,4.1,4,5.4,4.8,6,,,,,,,,
Second quintile,RSE(%),2.3,2.2,2.8,2.4,2.5,2.6,,,,,,,,
Third quintile,RSE(%),1.2,1.3,1.6,1.4,1.5,1.3,,,,,,,,
Fourth quintile,RSE(%),1,1.3,1.4,1.2,1.6,1.4,,,,,,,,
Highest quintile,RSE(%),5.1,2.5,3.4,4.5,3.5,3.6,,,,,,,,
All households,RSE(%),3.2,1.8,2.4,3,2.6,2.5,,,,,,,,
,,,,,,,,,,,,,,,
Value at top of selected percentiles,,,,,,,,,,,,,,,
10th (P10),RSE(%),4.2,4.9,4.5,3.2,4.2,5.5,,,,,,,,
20th (P20),RSE(%),3.5,3,4,3.3,3.1,4.1,,,,,,,,
30th (P30),RSE(%),2.8,2.5,3.2,3.1,2.8,3.3,,,,,,,,
40th (P40),RSE(%),1.4,1.9,2.2,1.7,2.1,1.8,,,,,,,,
