            Australian Bureau of Statistics,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,
"Table 2.2  EQUIVALISED NET WORTH, 2009–10 to 2019–20",,,,,,,,,,,,,,,
,,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,
Mean value(a),,,,,,,,,,,,,,,
Lowest quintile,$'000,25.9,26,27.6,28.5,25.3,27.8,,,,,,,,
Second quintile,$'000,135.4,129.8,126.4,142.1,137,151.5,,,,,,,,
Third quintile,$'000,286.1,280,278,314.7,329.9,335.4,,,,,,,,
Fourth quintile,$'000,491.2,494,505.6,572.1,598.6,593.3,,,,,,,,
Highest quintile,$'000,1542,1458,1568.6,1719.2,1892.3,1821.8,,,,,,,,
All households,$'000,496.1,477.5,501.2,555.3,596.4,585.9,,,,,,,,
,,,,,,,,,,,,,,,
Value at top of selected percentiles(a),,,,,,,,,,,,,,,
10th (P10),$'000,23.9,23.2,25.8,24.1,20.9,23.7,,,,,,,,
20th (P20),$'000,66.6,65.1,63.5,69.3,66.1,72.9,,,,,,,,
30th (P30),$'000,135.7,127.3,124.9,146.5,141.2,156.5,,,,,,,,
40th (P40),$'000,205,203.1,195.4,240.6,245.6,255.1,,,,,,,,
50th (P50),$'000,283.6,277.1,275.7,347.6,358.7,360.3,,,,,,,,
60th (P60),$'000,373.8,368.1,370,466,486.3,486,,,,,,,,
70th (P70),$'000,483.4,482.5,494.9,615.5,643.5,636.8,,,,,,,,
80th (P80),$'000,656,660.6,695.1,845.3,887.4,877.2,,,,,,,,
90th (P90),$'000,1032.7,1045.6,1099,1296.9,1396.7,1430.3,,,,,,,,
,,,,,,,,,,,,,,,
Share of aggregate,,,,,,,,,,,,,,,
Lowest quintile,%,1,1.1,1.1,1,0.8,0.9,,,,,,,,
Second quintile,%,5.5,5.4,5,5.2,4.6,5.2,,,,,,,,
Third quintile,%,11.5,11.7,11.1,11.4,11,11.4,,,,,,,,
Fourth quintile,%,19.8,20.7,20.2,20.7,20.1,20.2,,,,,,,,
Highest quintile,%,62.2,61.1,62.6,61.7,63.5,62.2,,,,,,,,
All households,%,100,100,100,100,100,100,,,,,,,,
,,,,,,,,,,,,,,,
Ratio of values at top of selected percentiles,,,,,,,,,,,,,,,
P90/P10,ratio,43.14,45.08,42.61,46.59,60.06,52.32,,,,,,,,
P80/P20,ratio,9.86,10.14,10.95,11.03,12.48,11.14,,,,,,,,
P80/P50,ratio,2.31,2.38,2.52,2.47,2.49,2.38,,,,,,,,
P20/P50,ratio,0.23,0.24,0.23,0.22,0.2,0.21,,,,,,,,
P10/P50,ratio,0.08,0.08,0.09,0.08,0.06,0.07,,,,,,,,
,,,,,,,,,,,,,,,
Gini coefficient,no.,0.603,0.591,0.606,0.601,0.619,0.605,,,,,,,,
,,,,,,,,,,,,,,,
Number of households in sample,no.,18071,14569,14162,17768,14060,15011,,,,,,,,
,,,,,,,,,,,,,,,
CPI Factor  ,no.,0.819,0.864,0.908,0.936,0.971,1,,,,,,,,
,,,,,,,,,,,,,,,
"Cells in this table containing data from 2015-16 onwards have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,
"(a) In 2019–20 dollars, adjusted using changes in the Consumer Price Index",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,
"Table 2.2  EQUIVALISED NET WORTH, 2009–10 to 2019–20 – Relative standard errors (RSE)",,,,,,,,,,,,,,,
,,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,
Mean value,,,,,,,,,,,,,,,
Lowest quintile,RSE(%),4.3,3.8,4,3.7,4.6,5.6,,,,,,,,
Second quintile,RSE(%),2.4,2.5,3.1,2.8,3.5,3,,,,,,,,
Third quintile,RSE(%),1.7,1.5,1.9,2,2.2,1.8,,,,,,,,
Fourth quintile,RSE(%),1.2,1.4,1.5,1.5,2,1.6,,,,,,,,
Highest quintile,RSE(%),4.8,2.5,3.4,4.3,3.9,3.8,,,,,,,,
All households,RSE(%),3.2,1.8,2.4,2.9,2.9,2.6,,,,,,,,
,,,,,,,,,,,,,,,
Value at top of selected percentiles,,,,,,,,,,,,,,,
10th (P10),RSE(%),6.7,5.5,4,4.6,4.7,6,,,,,,,,
20th (P20),RSE(%),4.5,3.5,5,4.2,3.6,3.6,,,,,,,,
30th (P30),RSE(%),2.8,3,3.5,3.1,3.1,2.8,,,,,,,,
40th (P40),RSE(%),2.3,2.1,2.6,2.3,1.9,1.7,,,,,,,,
50th (P50),RSE(%),1.7,1.6,2.3,2.2,1.6,1.2,,,,,,,,
