            Australian Bureau of Statistics,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,
"Table 3.1 HOUSEHOLD NET WORTH DECILES, Gross household income deciles",,,,,,,,,,,,,,,
,HOUSEHOLD NET WORTH DECILES,,,,,,,,,,All households,,,,
,Lowest,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Highest,,,,,
NUMBER OF HOUSEHOLDS ('000),,,,,,,,,,,,,,,
Gross household income decile,,,,,,,,,,,,,,,
Lowest,201.2,90.7,68.7,120.4,124.2,106.2,92.9,55.3,65.4,49.8,971.9,,,,
Second,215.2,116.2,81.2,90,113.4,102.5,98,62.5,61.6,28.3,974.4,,,,
Third,143.5,128.3,83.3,85.3,102.3,123.1,113.6,94.1,63.2,42.6,973.6,,,,
Fourth,132,120.8,118,68.2,85.6,87.7,82.9,101.8,101.6,63.6,971.4,,,,
Fifth,94.3,140.7,148.3,91.7,86.1,92.6,79.9,92.4,80,72.9,979,,,,
Sixth,75.2,128.9,126.3,116.7,109.8,94,86.2,97.9,71.4,68.7,967.8,,,,
Seventh,56.2,113.5,123.3,116.3,98,100.6,92.1,96.3,81.1,98.9,972.5,,,,
Eighth,37.3,83.8,116.2,124.6,109,86.9,114.2,107.4,99.6,100,971.1,,,,
Ninth,17.2,36.3,79.1,100.3,97,110.4,105.9,125.9,163,137.6,976.2,,,,
Highest,6.7,14.9,29.3,51.7,50.3,62.5,112.8,130.4,196.4,316.8,974.1,,,,
All households,970.7,976.5,972.9,971.5,976.2,967.3,975.5,968.4,974.9,972.7,9732.4,,,,
,,,,,,,,,,,,,,,
PROPORTION OF HOUSEHOLDS (%),,,,,,,,,,,,,,,
Gross household income decile,,,,,,,,,,,,,,,
Lowest,20.7,9.3,7.1,12.4,12.7,11,9.5,5.7,6.7,5.1,100,,,,
Second,22.2,11.9,8.3,9.3,11.6,10.6,10,6.5,6.3,2.9,100,,,,
Third,14.8,13.1,8.6,8.8,10.5,12.7,11.6,9.7,6.5,4.4,100,,,,
Fourth,13.6,12.4,12.1,7,8.8,9.1,8.5,10.5,10.4,6.5,100,,,,
Fifth,9.7,14.4,15.2,9.4,8.8,9.6,8.2,9.5,8.2,7.5,100,,,,
Sixth,7.7,13.2,13,12,11.2,9.7,8.8,10.1,7.3,7.1,100,,,,
Seventh,5.8,11.6,12.7,12,10,10.4,9.4,9.9,8.3,10.2,100,,,,
Eighth,3.8,8.6,11.9,12.8,11.2,9,11.7,11.1,10.2,10.3,100,,,,
Ninth,1.8,3.7,8.1,10.3,9.9,11.4,10.9,13,16.7,14.1,100,,,,
Highest,0.7,1.5,3,5.3,5.2,6.5,11.6,13.5,20.1,32.6,100,,,,
All households,100,100,100,100,100,100,100,100,100,100,100,,,,
,,,,,,,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,
# Proportion has a high margin of error and should be used with caution,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,
"Table 3.1 HOUSEHOLD NET WORTH DECILES, Gross household income deciles – Relative standard errors (RSE) and Margin of error of proportion (±)",,,,,,,,,,,,,,,
,HOUSEHOLD NET WORTH DECILES,,,,,,,,,,All households,,,,
,Lowest,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Highest,,,,,
RELATIVE STANDARD ERROR OF NUMBER OF HOUSEHOLDS (%),,,,,,,,,,,,,,,
Gross household income decile,,,,,,,,,,,,,,,
Lowest,9.3,11.5,13.5,8.8,9.3,9.6,10.1,16.5,11.7,15,3.2,,,,
Second,6.6,10.9,13.4,12,9.8,9.7,9.7,13,15.1,19.8,2.7,,,,
Third,10.8,10,12.3,11.7,11.9,8.7,9.4,9.9,11.8,14.9,3.2,,,,
Fourth,10.1,9.2,11,12.2,12.8,10.5,12.1,10.3,10.9,12.4,3.1,,,,
Fifth,11.4,8.9,10.4,12,10.9,12.7,11.3,12.2,10,13.2,2.9,,,,
Sixth,14,9.3,9.7,11.2,11,11.5,11.1,11.7,13.8,11,2.8,,,,
Seventh,16.1,12.6,10.4,11.1,10.9,10.8,11.8,11.6,12.6,11.4,3.7,,,,
Eighth,18.7,14.6,10.5,11.2,11.1,10.8,13.8,10.5,11.7,12.9,3.2,,,,
Ninth,33.9,20.8,14.6,12,13.3,11.8,10.7,11.1,8.9,8.1,3.3,,,,
Highest,np,35,27.7,19.3,15.6,15.1,12.7,11.5,7.9,6.6,3.4,,,,
All households,3.4,3.7,4,3.5,3.6,3.9,3.1,3.3,3,3.6,0,,,,
,,,,,,,,,,,,,,,
95% MARGIN OF ERROR OF PROPORTION (±),,,,,,,,,,,,,,,
Gross household income decile,,,,,,,,,,,,,,,
Lowest,3.5,2,1.8,2,2.1,1.9,1.8,1.8,1.5,1.5,0,,,,
Second,2.5,2.4,2.1,2.1,2.1,1.8,1.8,1.6,1.8,1.1,0,,,,
Third,3,2.4,2,1.9,2.3,1.9,2,1.8,1.5,1.3,0,,,,
Fourth,2.5,2,2.4,1.6,2.1,1.7,1.9,2,2.1,1.5,0,,,,
Fifth,2.1,2.3,2.9,2.1,1.8,2.3,1.8,2.2,1.5,1.9,0,,,,
Sixth,2.1,2.2,2.2,2.5,2.3,2.1,1.8,2.2,1.9,1.4,0,,,,
Seventh,1.8,2.7,2.4,2.5,2,2.1,2.1,2.2,2,2.2,0,,,,
