            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3.5 HOUSEHOLDS WITH DEBT, Debt ratios(a), Household characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOUSEHOLDS WITH DEBT 3 OR MORE TIMES INCOME(b),,,,,,,MEDIAN DEBT TO INCOME RATIO(b),,,,,,,HOUSEHOLDS WITH DEBT 75% OR MORE OF ASSETS,,,,,,,MEDIAN DEBT TO ASSET RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,%,%,%,%,%,%,,ratio,ratio,ratio,ratio,ratio,ratio,,%,%,%,%,%,%,,ratio,ratio,ratio,ratio,ratio,ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTIMATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,100,100,100,100,100,100,,..,..,..,..,..,..,,6.1,13.2,12.5,11.8,13.8,10.3,,0.26,0.31,0.23,0.15,0.19,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee income,26,26,28.2,30.6,31.8,34.2,,1.24,1.31,1.37,1.6,1.64,1.72,,3.6,3.9,3.4,3.6,4.9,6.3,,0.21,0.22,0.23,0.23,0.23,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Own unincorporated business income,35.8,30.1,41.2,35.4,38.8,38.9,,1.6,1.3,2.2,1.45,1.95,1.8,,3.6,2.6,3.1,2.3,4,7.6,,0.19,0.14,0.2,0.17,0.21,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances,12.6,13.6,12.6,10.2,10.3,10.9,,0.12,0.15,0.11,0.11,0.12,0.13,,5.2,6.2,4.9,5.2,6,8.8,,0.03,0.03,0.03,0.03,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other income,13.3,18.2,16,18.7,16.7,20.4,,0.1,0.09,0.08,0.1,0.1,0.09,,1.8,1.9,1.8,1.6,2.4,2.5,,0.42,0.45,0.34,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,24.2,24.4,26,27.2,28.4,30.3,,0.89,0.94,0.89,1.01,1.1,1.09,,3.7,4.1,3.5,3.7,4.8,6.2,,0.16,0.17,0.17,0.17,0.17,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,25.6,24.2,28.2,29.8,31.5,33.1,,1.35,1.36,1.53,1.66,1.77,1.73,,3.1,2.9,2.9,3.5,4.3,6.1,,0.21,0.22,0.24,0.24,0.24,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
