            Australian Bureau of Statistics,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,
"Table 3.6 PERSONS IN LOW ECONOMIC RESOURCE HOUSEHOLDS, Selected characteristics",,,,,,,,,,,
,,Lowest income quintile(a),Lowest wealth quintile(b),Low economic resource(c) ,All households,,,,,,
HOUSEHOLD CHARACTERISTICS,,,,,,,,,,,
Mean weekly household income ,,,,,,,,,,,
Equivalised disposable household income ,$ ,443,786,605,1124,,,,,,
Equivalised disposable household income incl. imputed rent (d),$ ,487,805,624,1233,,,,,,
,,,,,,,,,,,
Mean equivalised net worth ,$'000 ,260.7,27.8,74.7,585.9,,,,,,
,,,,,,,,,,,
Average age of reference person ,years ,55,42,47,52,,,,,,
,,,,,,,,,,,
Average number in household,,,,,,,,,,,
Employed persons,no.,0.6,1.1,0.9,1.3,,,,,,
Dependent children,no.,0.8,0.8,1,0.6,,,,,,
Persons,,,,,,,,,,,
Under 18 years,no.,0.7,0.7,1,0.6,,,,,,
18–64 years,no.,1.3,1.7,1.5,1.6,,,,,,
65 years and over,,,,,,,,,,,
65–74 years,no.,0.3,0.1,0.2,0.2,,,,,,
75 years and over,no.,0.2,0.1,0.1,0.2,,,,,,
Total 65 years and over,no.,0.5,0.2,0.3,0.4,,,,,,
Total ,no.,2.5,2.6,2.8,2.6,,,,,,
,,,,,,,,,,,
Estimated number in population ,,,,,,,,,,,
Households ,'000 ,2030.2,1932.8,2116.3,9732.4,,,,,,
Persons ,'000 ,4990.3,4980.9,5865.6,24909.3,,,,,,
,,,,,,,,,,,
PROPORTION OF PERSONS IN HOUSEHOLDS WITH CHARACTERISTICS (e) ,,,,,,,,,,,
,,Lowest income quintile(a),Lowest wealth quintile(b),Low economic resource(c) ,All persons,,,,,,
Main source of household income ,,,,,,,,,,,
Zero or negative income,%,2.1,0.4,0.7,0.4,,,,,,
Employee income,% ,37.6,60.7,54.5,70.1,,,,,,
Own unincorporated business income ,% ,4.2,1.8,3.2,3.4,,,,,,
