This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in Victoria for 2023-24. It ranges from cell A1 to Q531.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Estimated resident population and components, Statistical Areas Level 2, Victoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011001,Alfredton,18995,20130,1135,6,171,851,113,52.7,381.9,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011002,Ballarat,11811,11773,-38,-0.3,-43,-103,108,12.4,951.1,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011005,Buninyong,7323,7358,35,0.5,13,-46,68,51.6,142.6,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011006,Delacombe,12865,14271,1406,10.9,175,1198,33,34.2,417.8,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011007,Smythes Creek,4267,4278,11,0.3,22,-14,3,104.7,40.8,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011008,Wendouree - Miners Rest,15430,15570,140,0.9,23,-9,126,67.6,230.4,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011481,Ballarat East - Warrenheip,9629,9717,88,0.9,-41,79,50,19.2,505.7,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011482,Ballarat North - Invermay,15013,15169,156,1,67,17,72,73.1,207.4,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011483,Canadian - Mount Clear,12433,12457,24,0.2,18,-119,125,22.3,559.3,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011484,Sebastopol - Redan,12883,12839,-44,-0.3,35,-130,51,10.6,1213.4,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021009,Bacchus Marsh Surrounds,6637,6722,85,1.3,25,42,18,1038.8,6.5,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021010,Creswick - Clunes,7986,7997,11,0.1,-7,-1,19,856.8,9.3,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021011,Daylesford,10085,10247,162,1.6,-13,116,59,920.8,11.1,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021012,Gordon (Vic.),6407,6532,125,2,33,77,15,850.3,7.7,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031013,Avoca,3593,3633,40,1.1,-12,42,10,1714.2,2.1,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031014,Beaufort,4708,4835,127,2.7,-9,126,10,1863,2.6,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031015,Golden Plains - North,4939,5000,61,1.2,13,38,10,922.1,5.4,,,,,,,,,,,,
2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031016,Maryborough (Vic.),8154,8229,75,0.9,-47,103,19,45.5,180.7,,,,,,,,,,,,
