This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in Queensland for 2023-24. It ranges from cell A1 to Q555.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Estimated resident population and components, Statistical Areas Level 2, Queensland",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011001,Alexandra Hills,17106,17256,150,0.9,92,-77,135,13.6,1265.9,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011002,Belmont - Gumdale,7829,7903,74,0.9,31,-41,84,33.1,238.7,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011003,Birkdale,15627,15917,290,1.9,-1,167,124,11.6,1372.3,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011004,Capalaba,18975,19128,153,0.8,65,-82,170,18.9,1012.6,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011005,Thorneside,3991,4028,37,0.9,12,-14,39,2.7,1511,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011006,Wellington Point,12180,12324,144,1.2,13,32,99,9.4,1310.5,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021007,Cleveland,16418,16769,351,2.1,-89,214,226,11.9,1414.5,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021008,Ormiston,6768,6925,157,2.3,-7,68,96,4.9,1405,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021009,Redland Bay,18928,19594,666,3.5,127,404,135,46.9,417.8,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021011,Sheldon - Mount Cotton,8592,8703,111,1.3,76,-3,38,65.2,133.5,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021012,Thornlands,20938,21476,538,2.6,81,252,205,21.6,992.1,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021013,Victoria Point,15563,15851,288,1.9,-64,249,103,13.4,1182.4,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021550,North Stradbroke Island,2228,2261,33,1.5,7,5,21,277.1,8.2,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021551,Southern Moreton Bay Islands,9485,9993,508,5.4,-60,503,65,39.9,250.2,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031014,Brisbane Port - Lytton,10,10,0,0,0,0,0,32.8,0.3,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031015,Manly - Lota,8085,8254,169,2.1,-29,62,136,4.2,1965.8,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031016,Manly West,12131,12320,189,1.6,56,26,107,4.9,2511.5,,,,,,,,,,,,
3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031017,Murarrie,5053,5164,111,2.2,42,2,67,8.4,611.9,,,,,,,,,,,,
