This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in Western Australia for 2023-24. It ranges from cell A1 to Q274.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5. Estimated resident population and components, Statistical Areas Level 2, Western Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50101,Augusta - Margaret River - Busselton,501011001,Augusta,7349,7722,373,5.1,19,257,97,2106.6,3.7,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50101,Augusta - Margaret River - Busselton,501011003,Busselton Surrounds,13163,13605,442,3.4,56,274,112,1227.1,11.1,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50101,Augusta - Margaret River - Busselton,501011004,Margaret River,11281,11685,404,3.6,58,98,248,134.4,86.9,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50101,Augusta - Margaret River - Busselton,501011293,Busselton - East,9881,10027,146,1.5,9,80,57,82,122.3,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50101,Augusta - Margaret River - Busselton,501011294,Busselton - West,20824,21249,425,2,-24,342,107,114.3,185.9,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021005,Australind - Leschenault,20792,21238,446,2.1,155,191,100,67.3,315.5,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021007,Capel,5792,5909,117,2,25,74,18,507.1,11.7,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021008,College Grove - Carey Park,7395,7475,80,1.1,-15,37,58,9.7,769.5,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021009,Collie,9298,9408,110,1.2,18,55,37,1709.8,5.5,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021010,Dardanup,3531,3630,99,2.8,15,77,7,517.1,7,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021011,Davenport,11,11,0,0,0,0,0,11.7,0.9,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021012,Eaton - Pelican Point,13127,13276,149,1.1,43,32,74,10,1334,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021014,Harvey,10010,10257,247,2.5,33,101,113,1660.6,6.2,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021015,East Bunbury - Glen Iris,7684,7811,127,1.7,34,17,76,23,340.1,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021016,Waroona,4457,4537,80,1.8,19,46,15,832.2,5.5,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021251,Dalyellup,10471,10711,240,2.3,80,75,85,16.3,655.9,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021252,Gelorup - Stratham,3194,3203,9,0.3,7,-18,20,65.3,49.1,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021253,South Bunbury - Bunbury,13320,13439,119,0.9,-50,-9,178,11.3,1194.5,,,,,,,,,,,,
5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021254,Withers - Usher,5410,5462,52,1,26,-16,42,8.2,664.7,,,,,,,,,,,,
