This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in the Northern Territory for 2023-24. It ranges from cell A1 to Q77.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7. Estimated resident population and components, Statistical Areas Level 2, Northern Territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011001,Darwin Airport,20,20,0,0,0,0,0,14.3,1.4,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011002,Darwin City,7745,7872,127,1.6,56,-347,418,3.2,2480.9,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011003,East Point,0,0,0,0,0,0,0,2.4,0,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011004,Fannie Bay - The Gardens,3843,3875,32,0.8,7,-50,75,3.9,989.4,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011005,Larrakeyah,4321,4389,68,1.6,36,-116,148,1.9,2256.3,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011006,Ludmilla - The Narrows,2758,2695,-63,-2.3,17,-116,36,5.4,503.7,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011007,Parap,2932,2969,37,1.3,24,-90,103,1.1,2693.7,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011008,Stuart Park,4374,4420,46,1.1,44,-169,171,1.7,2673.8,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011009,Woolner - Bayview - Winnellie,2901,2836,-65,-2.2,27,-137,45,6.8,417.5,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021010,Alawa,2195,2206,11,0.5,22,-75,64,1.2,1779.2,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021011,Anula,2502,2524,22,0.9,27,-30,25,1.3,1915.3,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021012,Berrimah,2128,2300,172,8.1,19,129,24,30.3,76,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021013,Brinkin - Nakara,3503,3421,-82,-2.3,19,-238,137,2.7,1273.6,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021014,Buffalo Creek,0,0,0,0,0,0,0,23.9,0,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021015,Charles Darwin,3,3,0,0,0,0,0,17.5,0.2,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021016,Coconut Grove,3045,3007,-38,-1.2,27,-155,90,1.4,2111.4,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021017,East Arm,23,23,0,0,0,0,0,28,0.8,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021018,Jingili,1927,1906,-21,-1.1,9,-57,27,1.3,1448,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021019,Karama,5068,5040,-28,-0.6,36,-148,84,2.1,2440.1,,,,,,,,,,,,
7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021020,Leanyer,4945,4988,43,0.9,36,-67,74,2.5,1993.8,,,,,,,,,,,,
