This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in the Australian Capital Territory for 2023-24. It ranges from cell A1 to Q143.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Estimated resident population and components, Statistical Areas Level 2, Australian Capital Territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011001,Aranda,2577,2582,5,0.2,-1,-31,37,1.6,1651.8,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011002,Belconnen,9229,9414,185,2,50,-170,305,4.4,2126.9,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011003,Bruce,7811,8008,197,2.5,8,-62,251,5.8,1381.3,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011004,Charnwood,3040,3025,-15,-0.5,21,-58,22,1.9,1629.9,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011005,Cook,2908,2896,-12,-0.4,9,-49,28,1.6,1829.3,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011006,Dunlop,7373,7296,-77,-1,41,-146,28,3.6,2023.6,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011007,Evatt,5480,5469,-11,-0.2,29,-90,50,3.1,1787.1,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011008,Florey,4705,4710,5,0.1,28,-79,56,2.8,1709.4,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011009,Flynn (ACT),3653,3672,19,0.5,34,-45,30,2.1,1752.3,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011010,Fraser,2100,2070,-30,-1.4,4,-51,17,2.5,836.3,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011011,Giralang,3326,3346,20,0.6,32,-37,25,2.4,1367.6,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011012,Gooromon,4,4,0,0,0,0,0,9.9,0.4,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011013,Hawker,2975,2987,12,0.4,5,-40,47,2,1526.9,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011014,Higgins,3264,3278,14,0.4,29,-40,25,1.7,1957.8,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011015,Holt,5857,5980,123,2.1,52,35,36,3.3,1814.5,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011016,Kaleen,7670,7685,15,0.2,11,-133,137,6,1275.1,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011017,Latham,3746,3741,-5,-0.1,31,-61,25,2.7,1369.7,,,,,,,,,,,,
8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011018,Lawson,2852,2872,20,0.7,32,-35,23,3.1,931.1,,,,,,,,,,,,
