This tab has one table with the estimated resident population and components for Local Government Areas in New South Wales for 2023-24. It ranges from cell A1 to K139.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1. Estimated resident population and components, Local Government Areas, New South Wales",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,,,
,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,,,,,,,
LGA code,LGA name (a),no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,,,,,,,
10050,Albury,57509,58317,808,1.4,249,226,333,305.6,190.8,,,,,,,,,,,,,,,,,,
10180,Armidale,29588,29646,58,0.2,79,-380,359,7809.4,3.8,,,,,,,,,,,,,,,,,,
10250,Ballina,47277,47935,658,1.4,-148,518,288,485,98.8,,,,,,,,,,,,,,,,,,
10300,Balranald,2202,2219,17,0.8,-13,17,13,21690.7,0.1,,,,,,,,,,,,,,,,,,
10470,Bathurst,44606,44939,333,0.7,113,13,207,3817.9,11.8,,,,,,,,,,,,,,,,,,
10500,Bayside (NSW),182945,185880,2935,1.6,890,-3597,5642,50.6,3672,,,,,,,,,,,,,,,,,,
10550,Bega Valley,36278,36593,315,0.9,-102,280,137,6278.5,5.8,,,,,,,,,,,,,,,,,,
10600,Bellingen,13231,13278,47,0.4,-24,14,57,1600.4,8.3,,,,,,,,,,,,,,,,,,
10650,Berrigan,8643,8666,23,0.3,-33,13,43,2065.9,4.2,,,,,,,,,,,,,,,,,,
10750,Blacktown,426075,438843,12768,3,3894,1889,6985,238.8,1837.3,,,,,,,,,,,,,,,,,,
10800,Bland,5463,5454,-9,-0.2,18,-44,17,8557.7,0.6,,,,,,,,,,,,,,,,,,
10850,Blayney,7643,7767,124,1.6,32,66,26,1524.6,5.1,,,,,,,,,,,,,,,,,,
10900,Blue Mountains,78437,78891,454,0.6,37,-224,641,1431.1,55.1,,,,,,,,,,,,,,,,,,
10950,Bogan,2420,2407,-13,-0.5,-2,-20,9,14599.9,0.2,,,,,,,,,,,,,,,,,,
11150,Bourke,2364,2349,-15,-0.6,37,-57,5,41598.4,0.1,,,,,,,,,,,,,,,,,,
11200,Brewarrina,1411,1408,-3,-0.2,-2,-4,3,19162,0.1,,,,,,,,,,,,,,,,,,
11250,Broken Hill,17622,17541,-81,-0.5,4,-133,48,170.1,103.1,,,,,,,,,,,,,,,,,,
11300,Burwood,42496,43346,850,2,88,-1049,1811,7.1,6080.9,,,,,,,,,,,,,,,,,,
11350,Byron,37122,37826,704,1.9,105,149,450,565.8,66.9,,,,,,,,,,,,,,,,,,
11400,Cabonne,13879,13897,18,0.1,-2,-11,31,6022.3,2.3,,,,,,,,,,,,,,,,,,
11450,Camden,134763,141133,6370,4.7,1647,3609,1114,201.5,700.3,,,,,,,,,,,,,,,,,,
11500,Campbelltown (NSW),184734,188303,3569,1.9,1421,-182,2330,311.4,604.7,,,,,,,,,,,,,,,,,,
11520,Canada Bay,91383,92255,872,1,408,-1757,2221,19.9,4630.4,,,,,,,,,,,,,,,,,,
11570,Canterbury-Bankstown,379733,385242,5509,1.5,2534,-4889,7864,110.2,3494.7,,,,,,,,,,,,,,,,,,
11600,Carrathool,2764,2767,3,0.1,10,-25,18,18934.5,0.1,,,,,,,,,,,,,,,,,,
11650,Central Coast (NSW),351900,354803,2903,0.8,95,278,2530,1681,211.1,,,,,,,,,,,,,,,,,,
11700,Central Darling,1756,1767,11,0.6,4,0,7,53492.2,0,,,,,,,,,,,,,,,,,,
11720,Cessnock,67579,69352,1773,2.6,453,1176,144,1965.2,35.3,,,,,,,,,,,,,,,,,,
11730,Clarence Valley,55321,56037,716,1.3,-152,708,160,10428.7,5.4,,,,,,,,,,,,,,,,,,
11750,Cobar,4077,4015,-62,-1.5,26,-104,16,45575.4,0.1,,,,,,,,,,,,,,,,,,
11800,Coffs Harbour,80480,81248,768,1,52,98,618,1173.7,69.2,,,,,,,,,,,,,,,,,,
12000,Coolamon,4549,4613,64,1.4,9,46,9,2430.9,1.9,,,,,,,,,,,,,,,,,,
12150,Coonamble,3860,3871,11,0.3,37,-32,6,9916.1,0.4,,,,,,,,,,,,,,,,,,
12160,Cootamundra-Gundagai,11423,11424,1,0,-26,-24,51,3981.4,2.9,,,,,,,,,,,,,,,,,,
12350,Cowra,12659,12680,21,0.2,-24,18,27,2808.8,4.5,,,,,,,,,,,,,,,,,,
12380,Cumberland,245236,252399,7163,2.9,2213,-3175,8125,72.7,3469.4,,,,,,,,,,,,,,,,,,
12390,Dubbo,56548,56997,449,0.8,302,-163,310,7534.5,7.6,,,,,,,,,,,,,,,,,,
12700,Dungog,9766,9905,139,1.4,0,123,16,2250,4.4,,,,,,,,,,,,,,,,,,
12730,Edward River,8429,8411,-18,-0.2,-11,-52,45,8883.4,0.9,,,,,,,,,,,,,,,,,,
12750,Eurobodalla,40913,41142,229,0.6,-219,321,127,3428.2,12,,,,,,,,,,,,,,,,,,
12850,Fairfield,209705,212210,2505,1.2,638,-2230,4097,101.5,2090.6,,,,,,,,,,,,,,,,,,
12870,Federation,12940,13075,135,1,-31,133,33,5684.9,2.3,,,,,,,,,,,,,,,,,,
12900,Forbes,9299,9295,-4,0,-13,-10,19,4710.1,2,,,,,,,,,,,,,,,,,,
12930,Georges River,158016,161593,3577,2.3,441,-1687,4823,38.3,4215,,,,,,,,,,,,,,,,,,
12950,Gilgandra,4309,4305,-4,-0.1,9,-26,13,4831.5,0.9,,,,,,,,,,,,,,,,,,
13010,Glen Innes Severn,8989,8978,-11,-0.1,-13,-17,19,5480,1.6,,,,,,,,,,,,,,,,,,
13310,Goulburn Mulwaree,32707,33112,405,1.2,52,117,236,3220.1,10.3,,,,,,,,,,,,,,,,,,
13340,Greater Hume,11443,11582,139,1.2,29,83,27,5749.4,2,,,,,,,,,,,,,,,,,,
13450,Griffith,27126,27340,214,0.8,220,-359,353,1639.2,16.7,,,,,,,,,,,,,,,,,,
13550,Gunnedah,13278,13392,114,0.9,96,-26,44,4987,2.7,,,,,,,,,,,,,,,,,,
13660,Gwydir,4940,4893,-47,-1,-45,-8,6,9259.7,0.5,,,,,,,,,,,,,,,,,,
13800,Hawkesbury,68144,68704,560,0.8,364,-121,317,2775.1,24.8,,,,,,,,,,,,,,,,,,
13850,Hay,2829,2861,32,1.1,-1,14,19,11325.9,0.3,,,,,,,,,,,,,,,,,,
13910,Hilltops,19253,19300,47,0.2,65,-95,77,7140.9,2.7,,,,,,,,,,,,,,,,,,
14000,Hornsby,154068,154834,766,0.5,49,-2167,2884,455,340.3,,,,,,,,,,,,,,,,,,
14100,Hunters Hill,14038,14062,24,0.2,-75,-81,180,5.7,2459.7,,,,,,,,,,,,,,,,,,
14170,Inner West,188316,190939,2623,1.4,859,-2983,4747,35.2,5422.6,,,,,,,,,,,,,,,,,,
14220,Inverell,18056,18080,24,0.1,23,-87,88,9404.8,1.9,,,,,,,,,,,,,,,,,,
14300,Junee,6520,6458,-62,-1,2,-123,59,2030,3.2,,,,,,,,,,,,,,,,,,
14350,Kempsey,31451,31718,267,0.8,-55,208,114,3375.7,9.4,,,,,,,,,,,,,,,,,,
14400,Kiama,23001,23173,172,0.7,-48,87,133,257.7,89.9,,,,,,,,,,,,,,,,,,
14500,Ku-ring-gai,127002,128362,1360,1.1,-176,-1224,2760,85.4,1502.9,,,,,,,,,,,,,,,,,,
14550,Kyogle,9468,9582,114,1.2,-9,97,26,3584.2,2.7,,,,,,,,,,,,,,,,,,
14600,Lachlan,6146,6113,-33,-0.5,2,-52,17,14968.3,0.4,,,,,,,,,,,,,,,,,,
14650,Lake Macquarie,219231,221859,2628,1.2,179,1576,873,648.6,342,,,,,,,,,,,,,,,,,,
14700,Lane Cove,41547,42566,1019,2.5,360,-314,973,10.5,4062.1,,,,,,,,,,,,,,,,,,
14750,Leeton,11430,11438,8,0.1,28,-67,47,1167.2,9.8,,,,,,,,,,,,,,,,,,
14850,Lismore,43901,43783,-118,-0.3,38,-351,195,1287.7,34,,,,,,,,,,,,,,,,,,
14870,Lithgow,20722,20740,18,0.1,-6,-39,63,4512.3,4.6,,,,,,,,,,,,,,,,,,
14900,Liverpool,247607,254905,7298,2.9,2028,1946,3324,305.7,833.7,,,,,,,,,,,,,,,,,,
14920,Liverpool Plains,7666,7670,4,0.1,-4,-4,12,5082.2,1.5,,,,,,,,,,,,,,,,,,
14950,Lockhart,3396,3474,78,2.3,-10,81,7,2895.8,1.2,,,,,,,,,,,,,,,,,,
15050,Maitland,95937,98163,2226,2.3,636,1277,313,391.5,250.7,,,,,,,,,,,,,,,,,,
15240,Mid-Coast,97911,98582,671,0.7,-484,886,269,10053.9,9.8,,,,,,,,,,,,,,,,,,
15270,Mid-Western,25918,26214,296,1.1,70,139,87,8752.3,3,,,,,,,,,,,,,,,,,,
15300,Moree Plains,12870,12816,-54,-0.4,82,-162,26,17902.7,0.7,,,,,,,,,,,,,,,,,,
15350,Mosman,29075,29253,178,0.6,52,-641,767,8.7,3381.7,,,,,,,,,,,,,,,,,,
15520,Murray River,13326,13562,236,1.8,-38,226,48,11863,1.1,,,,,,,,,,,,,,,,,,
15560,Murrumbidgee,3607,3658,51,1.4,31,-1,21,6880.8,0.5,,,,,,,,,,,,,,,,,,
15650,Muswellbrook,16775,16817,42,0.3,98,-140,84,3404.9,4.9,,,,,,,,,,,,,,,,,,
15700,Nambucca Valley,20774,20986,212,1,-98,259,51,1491.3,14.1,,,,,,,,,,,,,,,,,,
15750,Narrabri,12752,12796,44,0.3,62,-48,30,13015,1,,,,,,,,,,,,,,,,,,
15800,Narrandera,5692,5687,-5,-0.1,-15,-14,24,4116.3,1.4,,,,,,,,,,,,,,,,,,
15850,Narromine,6442,6432,-10,-0.2,26,-51,15,5261.5,1.2,,,,,,,,,,,,,,,,,,
15900,Newcastle,174276,176860,2584,1.5,354,103,2127,186.7,947.2,,,,,,,,,,,,,,,,,,
15950,North Sydney,72017,72909,892,1.2,458,-1792,2226,10.5,6949.7,,,,,,,,,,,,,,,,,,
15990,Northern Beaches,267899,270772,2873,1.1,644,-2924,5153,254.2,1065.2,,,,,,,,,,,,,,,,,,
16100,Oberon,5600,5604,4,0.1,-3,-8,15,3625,1.5,,,,,,,,,,,,,,,,,,
16150,Orange,44236,44610,374,0.8,160,-57,271,284.2,157,,,,,,,,,,,,,,,,,,
16200,Parkes,14255,14236,-19,-0.1,18,-83,46,5957.6,2.4,,,,,,,,,,,,,,,,,,
16260,Parramatta,269095,274956,5861,2.2,1752,-5558,9667,83.8,3279.9,,,,,,,,,,,,,,,,,,
16350,Penrith,224430,228661,4231,1.9,1849,486,1896,404.7,565,,,,,,,,,,,,,,,,,,
16380,Port Macquarie-Hastings,89598,90835,1237,1.4,-302,1169,370,3682.4,24.7,,,,,,,,,,,,,,,,,,
16400,Port Stephens,77742,78906,1164,1.5,-2,798,368,858.4,91.9,,,,,,,,,,,,,,,,,,
16490,Queanbeyan-Palerang,65353,66855,1502,2.3,589,356,557,5319,12.6,,,,,,,,,,,,,,,,,,
16550,Randwick,141828,144598,2770,2,512,-3810,6068,36.3,3980,,,,,,,,,,,,,,,,,,
16610,Richmond Valley,23703,23892,189,0.8,38,77,74,3047.4,7.8,,,,,,,,,,,,,,,,,,
16700,Ryde,135705,139047,3342,2.5,563,-1692,4471,40.5,3435.4,,,,,,,,,,,,,,,,,,
16900,Shellharbour,79725,81566,1841,2.3,309,1221,311,147.4,553.3,,,,,,,,,,,,,,,,,,
16950,Shoalhaven,109888,110803,915,0.8,-211,671,455,4567.2,24.3,,,,,,,,,,,,,,,,,,
17000,Singleton,25328,25639,311,1.2,120,88,103,4892.7,5.2,,,,,,,,,,,,,,,,,,
17040,Snowy Monaro,22131,22292,161,0.7,62,-83,182,15164.8,1.5,,,,,,,,,,,,,,,,,,
17080,Snowy Valleys,14935,14955,20,0.1,-10,-35,65,8958.9,1.7,,,,,,,,,,,,,,,,,,
17100,Strathfield,47820,48495,675,1.4,260,-1414,1829,14,3463.7,,,,,,,,,,,,,,,,,,
17150,Sutherland,234994,238614,3620,1.5,742,620,2258,333.6,715.3,,,,,,,,,,,,,,,,,,
17200,Sydney,231127,237278,6151,2.7,959,-8009,13201,26.7,8894.7,,,,,,,,,,,,,,,,,,
17310,Tamworth,65236,65908,672,1,283,-22,411,9884.4,6.7,,,,,,,,,,,,,,,,,,
17350,Temora,6028,6023,-5,-0.1,-17,-4,16,2802,2.1,,,,,,,,,,,,,,,,,,
17400,Tenterfield,6972,7081,109,1.6,-8,97,20,7324.3,1,,,,,,,,,,,,,,,,,,
17420,The Hills,207928,215612,7684,3.7,1035,3574,3075,386.2,558.4,,,,,,,,,,,,,,,,,,
17550,Tweed,98963,99793,830,0.8,-118,347,601,1307.8,76.3,,,,,,,,,,,,,,,,,,
17620,Upper Hunter,14336,14408,72,0.5,33,-33,72,8096.1,1.8,,,,,,,,,,,,,,,,,,
17640,Upper Lachlan,8705,8875,170,2,-19,161,28,7127.4,1.2,,,,,,,,,,,,,,,,,,
17650,Uralla,6047,6096,49,0.8,-6,34,21,3226.5,1.9,,,,,,,,,,,,,,,,,,
17750,Wagga Wagga,68703,68951,248,0.4,366,-554,436,4824.5,14.3,,,,,,,,,,,,,,,,,,
17850,Walcha,2968,2990,22,0.7,-14,31,5,6261,0.5,,,,,,,,,,,,,,,,,,
17900,Walgett,5518,5497,-21,-0.4,21,-56,14,22308.3,0.2,,,,,,,,,,,,,,,,,,
17950,Warren,2583,2593,10,0.4,-2,3,9,10753.8,0.2,,,,,,,,,,,,,,,,,,
18020,Warrumbungle,9228,9239,11,0.1,-11,-5,27,12372.1,0.7,,,,,,,,,,,,,,,,,,
18050,Waverley,71422,72857,1435,2,463,-1518,2490,9.4,7791.7,,,,,,,,,,,,,,,,,,
18100,Weddin,3616,3608,-8,-0.2,-19,-9,20,3414.9,1.1,,,,,,,,,,,,,,,,,,
18200,Wentworth,7687,7804,117,1.5,50,33,34,26255.9,0.3,,,,,,,,,,,,,,,,,,
18250,Willoughby,77887,79634,1747,2.2,124,-1099,2722,22.4,3551,,,,,,,,,,,,,,,,,,
18350,Wingecarribee,53107,53552,445,0.8,-69,172,342,2689.3,19.9,,,,,,,,,,,,,,,,,,
18400,Wollondilly,57602,59782,2180,3.8,509,1432,239,2555.4,23.4,,,,,,,,,,,,,,,,,,
18450,Wollongong,219117,221894,2777,1.3,518,-179,2438,684.3,324.3,,,,,,,,,,,,,,,,,,
18500,Woollahra,54666,55175,509,0.9,100,-1043,1452,12.3,4501,,,,,,,,,,,,,,,,,,
18710,Yass Valley,17475,17647,172,1,42,51,79,3995,4.4,,,,,,,,,,,,,,,,,,
19399,Unincorporated NSW,1013,984,-29,-2.9,11,-43,3,93208.9,0,,,,,,,,,,,,,,,,,,
,Total New South Wales,8341199,8479314,138115,1.7,31550,-30865,137430,800797.7,10.6,,,,,,,,,,,,,,,,,,
(a) Based on 2024 LGA boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
