This tab has one table with the estimated resident population and components for Local Government Areas in Queensland for 2023-24. It ranges from cell A1 to K88.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Estimated resident population and components, Local Government Areas, Queensland",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,,,
,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,,,,,,,
LGA code,LGA name (a),no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,,,,,,,
30250,Aurukun,1153,1163,10,0.9,14,-5,1,7424,0.2,,,,,,,,,,,,,,,,,,
30300,Balonne,4344,4356,12,0.3,22,-18,8,31104.1,0.1,,,,,,,,,,,,,,,,,,
30370,Banana,14917,15053,136,0.9,69,-16,83,28550.2,0.5,,,,,,,,,,,,,,,,,,
30410,Barcaldine,2893,2917,24,0.8,13,4,7,53382.7,0.1,,,,,,,,,,,,,,,,,,
30450,Barcoo,317,317,0,0,-6,5,1,61830.2,0,,,,,,,,,,,,,,,,,,
30760,Blackall Tambo,1953,1969,16,0.8,3,8,5,30537.2,0.1,,,,,,,,,,,,,,,,,,
30900,Boulia,478,479,1,0.2,0,0,1,60906.5,0,,,,,,,,,,,,,,,,,,
31000,Brisbane,1323481,1355640,32159,2.4,5182,-4450,31427,1342.7,1009.6,,,,,,,,,,,,,,,,,,
31750,Bulloo,346,347,1,0.3,7,-6,0,73722,0,,,,,,,,,,,,,,,,,,
31820,Bundaberg,104168,106146,1978,1.9,-175,1362,791,6431.1,16.5,,,,,,,,,,,,,,,,,,
31900,Burdekin,17019,17204,185,1.1,9,53,123,5043.9,3.4,,,,,,,,,,,,,,,,,,
31950,Burke,438,444,6,1.4,1,5,0,39681.2,0,,,,,,,,,,,,,,,,,,
32080,Cairns,175397,178104,2707,1.5,666,-253,2294,1689.3,105.4,,,,,,,,,,,,,,,,,,
32250,Carpentaria,2211,2229,18,0.8,11,2,5,64121,0,,,,,,,,,,,,,,,,,,
32260,Cassowary Coast,29972,30390,418,1.4,-55,154,319,4687.8,6.5,,,,,,,,,,,,,,,,,,
32270,Central Highlands (Qld),28969,29336,367,1.3,297,-89,159,59834.8,0.5,,,,,,,,,,,,,,,,,,
32310,Charters Towers,12011,12040,29,0.2,-2,-7,38,68382.2,0.2,,,,,,,,,,,,,,,,,,
32330,Cherbourg,1263,1281,18,1.4,21,-4,1,31.6,40.5,,,,,,,,,,,,,,,,,,
32450,Cloncurry,3850,3882,32,0.8,32,-13,13,47971.3,0.1,,,,,,,,,,,,,,,,,,
32500,Cook,4761,4824,63,1.3,19,-8,52,105717.8,0,,,,,,,,,,,,,,,,,,
32600,Croydon,270,270,0,0,6,-7,1,29497.9,0,,,,,,,,,,,,,,,,,,
32750,Diamantina,272,271,-1,-0.4,4,-5,0,94722.4,0,,,,,,,,,,,,,,,,,,
32770,Doomadgee,1460,1473,13,0.9,23,-12,2,1827.7,0.8,,,,,,,,,,,,,,,,,,
32810,Douglas,12829,13071,242,1.9,6,30,206,2427.9,5.4,,,,,,,,,,,,,,,,,,
33100,Etheridge,726,727,1,0.1,2,-3,2,39199.3,0,,,,,,,,,,,,,,,,,,
33200,Flinders (Qld),1543,1552,9,0.6,13,-10,6,41199.9,0,,,,,,,,,,,,,,,,,,
33220,Fraser Coast,117935,120685,2750,2.3,-438,2615,573,7104.6,17,,,,,,,,,,,,,,,,,,
33360,Gladstone,66829,68065,1236,1.8,361,438,437,10484.3,6.5,,,,,,,,,,,,,,,,,,
33430,Gold Coast,666108,681389,15281,2.3,2381,1125,11775,1333.4,511,,,,,,,,,,,,,,,,,,
33610,Goondiwindi,10450,10495,45,0.4,62,-58,41,19265.7,0.5,,,,,,,,,,,,,,,,,,
33620,Gympie,56162,57449,1287,2.3,17,1087,183,6884,8.3,,,,,,,,,,,,,,,,,,
33800,Hinchinbrook,11116,11162,46,0.4,-68,92,22,2807.2,4,,,,,,,,,,,,,,,,,,
33830,Hope Vale,1025,1053,28,2.7,39,-13,2,1111.7,0.9,,,,,,,,,,,,,,,,,,
33960,Ipswich,251105,259886,8781,3.5,2361,4308,2112,1093.9,237.6,,,,,,,,,,,,,,,,,,
33980,Isaac,23021,23197,176,0.8,235,-175,116,58707.9,0.4,,,,,,,,,,,,,,,,,,
34420,Kowanyama,1146,1151,5,0.4,14,-8,-1,2555.3,0.5,,,,,,,,,,,,,,,,,,
34530,Livingstone,41901,42849,948,2.3,59,761,128,11757.9,3.6,,,,,,,,,,,,,,,,,,
34570,Lockhart River,672,688,16,2.4,15,-1,2,3576.7,0.2,,,,,,,,,,,,,,,,,,
34580,Lockyer Valley,43847,45054,1207,2.8,214,486,507,2269,19.9,,,,,,,,,,,,,,,,,,
34590,Logan,377724,392339,14615,3.9,3239,7183,4193,958.1,409.5,,,,,,,,,,,,,,,,,,
34710,Longreach,3736,3758,22,0.6,-7,17,12,40572.2,0.1,,,,,,,,,,,,,,,,,,
34770,Mackay,126887,128361,1474,1.2,581,267,626,7613.3,16.9,,,,,,,,,,,,,,,,,,
34800,McKinlay,849,852,3,0.4,6,-6,3,40736.8,0,,,,,,,,,,,,,,,,,,
34830,Mapoon,465,485,20,4.3,21,-2,1,537.2,0.9,,,,,,,,,,,,,,,,,,
34860,Maranoa,13253,13371,118,0.9,106,-28,40,58719.3,0.2,,,,,,,,,,,,,,,,,,
34880,Mareeba,23702,24003,301,1.3,53,55,193,53491.1,0.4,,,,,,,,,,,,,,,,,,
35010,Moreton Bay,510063,522494,12431,2.4,1875,5830,4726,2041.5,255.9,,,,,,,,,,,,,,,,,,
35250,Mornington,1079,1087,8,0.7,20,-13,1,1247.7,0.9,,,,,,,,,,,,,,,,,,
35300,Mount Isa,18943,18788,-155,-0.8,234,-600,211,43715.2,0.4,,,,,,,,,,,,,,,,,,
35600,Murweh,3966,3992,26,0.7,17,-17,26,40699.8,0.1,,,,,,,,,,,,,,,,,,
35670,Napranum,924,943,19,2.1,26,-12,5,2004.3,0.5,,,,,,,,,,,,,,,,,,
35740,Noosa,58371,59274,903,1.5,-71,182,792,869.9,68.1,,,,,,,,,,,,,,,,,,
35760,North Burnett,10352,10482,130,1.3,-25,41,114,19669.8,0.5,,,,,,,,,,,,,,,,,,
35780,Northern Peninsula Area,2907,2928,21,0.7,44,-24,1,1052.1,2.8,,,,,,,,,,,,,,,,,,
35790,Palm Island,2213,2287,74,3.3,71,3,0,72,31.8,,,,,,,,,,,,,,,,,,
35800,Paroo,1725,1729,4,0.2,-1,3,2,47614.9,0,,,,,,,,,,,,,,,,,,
36070,Pormpuraaw,644,647,3,0.5,12,-10,1,4395.4,0.1,,,,,,,,,,,,,,,,,,
36150,Quilpie,708,709,1,0.1,1,-1,1,67414.7,0,,,,,,,,,,,,,,,,,,
36250,Redland,166799,170225,3426,2.1,252,1718,1456,537.2,316.9,,,,,,,,,,,,,,,,,,
36300,Richmond,781,788,7,0.9,10,-6,3,26580.7,0,,,,,,,,,,,,,,,,,,
36370,Rockhampton,84508,85334,826,1,267,130,429,6570.3,13,,,,,,,,,,,,,,,,,,
36510,Scenic Rim,45245,46036,791,1.7,51,477,263,4243,10.8,,,,,,,,,,,,,,,,,,
36580,Somerset,26247,26579,332,1.3,74,140,118,5373.4,4.9,,,,,,,,,,,,,,,,,,
36630,South Burnett,34289,34745,456,1.3,-12,362,106,8381.6,4.1,,,,,,,,,,,,,,,,,,
36660,Southern Downs,37441,37820,379,1,-69,300,148,7106.4,5.3,,,,,,,,,,,,,,,,,,
36720,Sunshine Coast,365936,375328,9392,2.6,544,5060,3788,2253.9,166.5,,,,,,,,,,,,,,,,,,
36820,Tablelands,27258,27630,372,1.4,-65,281,156,11292.9,2.4,,,,,,,,,,,,,,,,,,
36910,Toowoomba,181805,184377,2572,1.4,621,646,1305,12957.2,14.2,,,,,,,,,,,,,,,,,,
36950,Torres,3501,3495,-6,-0.2,44,-50,0,883.7,4,,,,,,,,,,,,,,,,,,
36960,Torres Strait Island,4285,4289,4,0.1,59,-55,0,490,8.8,,,,,,,,,,,,,,,,,,
37010,Townsville,201413,204541,3128,1.6,1152,415,1561,3730.8,54.8,,,,,,,,,,,,,,,,,,
37300,Weipa,4251,4281,30,0.7,64,-50,16,10.5,409.1,,,,,,,,,,,,,,,,,,
37310,Western Downs,34985,35285,300,0.9,191,-20,129,37922.5,0.9,,,,,,,,,,,,,,,,,,
37340,Whitsunday,39713,40744,1031,2.6,126,336,569,23819,1.7,,,,,,,,,,,,,,,,,,
37400,Winton,1138,1141,3,0.3,-4,4,3,53813.5,0,,,,,,,,,,,,,,,,,,
37550,Woorabinda,1081,1098,17,1.6,22,-6,1,390.6,2.8,,,,,,,,,,,,,,,,,,
37570,Wujal Wujal,293,301,8,2.7,6,1,1,11.8,25.4,,,,,,,,,,,,,,,,,,
37600,Yarrabah,2639,2659,20,0.8,34,-15,1,158.8,16.7,,,,,,,,,,,,,,,,,,
,Total Queensland,5460477,5583833,123356,2.3,21003,29910,72443,1730171,3.2,,,,,,,,,,,,,,,,,,
(a) Based on 2024 LGA boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
