This tab has one table with the estimated resident population and components for Local Government Areas in South Australia for 2023-24. It ranges from cell A1 to K81.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population and components, Local Government Areas, South Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,,,
,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,,,,,,,
LGA code,LGA name (a),no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,,,,,,,
40070,Adelaide,27984,29118,1134,4.1,-13,-507,1654,15.6,1869.7,,,,,,,,,,,,,,,,,,
40120,Adelaide Hills,41848,42368,520,1.2,117,136,267,794.5,53.3,,,,,,,,,,,,,,,,,,
40150,Adelaide Plains,10929,11302,373,3.4,86,268,19,932.5,12.1,,,,,,,,,,,,,,,,,,
40220,Alexandrina,30327,30887,560,1.8,-132,594,98,1826.8,16.9,,,,,,,,,,,,,,,,,,
40250,Anangu Pitjantjatjara Yankunytjatjara,2631,2654,23,0.9,13,8,2,102348.1,0,,,,,,,,,,,,,,,,,,
40310,Barossa,26271,26590,319,1.2,-15,235,99,893.5,29.8,,,,,,,,,,,,,,,,,,
40430,Barunga West,2680,2672,-8,-0.3,-29,14,7,1590.4,1.7,,,,,,,,,,,,,,,,,,
40520,Berri Barmera,10732,10747,15,0.1,-24,-17,56,476.2,22.6,,,,,,,,,,,,,,,,,,
40700,Burnside,47489,47810,321,0.7,-120,-508,949,27.5,1737.4,,,,,,,,,,,,,,,,,,
40910,Campbelltown (SA),57190,57988,798,1.4,62,-315,1051,24.3,2381.6,,,,,,,,,,,,,,,,,,
41010,Ceduna,3716,3744,28,0.8,15,3,10,5420.3,0.7,,,,,,,,,,,,,,,,,,
41060,Charles Sturt,127492,129196,1704,1.3,343,-559,1920,54.8,2358.1,,,,,,,,,,,,,,,,,,
41140,Clare and Gilbert Valleys,9405,9417,12,0.1,-2,-18,32,1892.4,5,,,,,,,,,,,,,,,,,,
41190,Cleve,1757,1757,0,0,-12,9,3,5018.8,0.4,,,,,,,,,,,,,,,,,,
41330,Coober Pedy,1550,1526,-24,-1.5,-4,-29,9,77.7,19.6,,,,,,,,,,,,,,,,,,
41560,Copper Coast,15950,16299,349,2.2,-85,405,29,772.9,21.1,,,,,,,,,,,,,,,,,,
41750,Elliston,1041,1053,12,1.2,-3,12,3,6741.9,0.2,,,,,,,,,,,,,,,,,,
41830,Flinders Ranges,1673,1671,-2,-0.1,-13,8,3,4070.5,0.4,,,,,,,,,,,,,,,,,,
41960,Franklin Harbour,1332,1359,27,2,-4,28,3,2755.6,0.5,,,,,,,,,,,,,,,,,,
42030,Gawler,26790,27182,392,1.5,42,238,112,41.1,660.8,,,,,,,,,,,,,,,,,,
42110,Goyder,4132,4135,3,0.1,-17,15,5,6715.1,0.6,,,,,,,,,,,,,,,,,,
42250,Grant,9044,9140,96,1.1,25,45,26,1897.8,4.8,,,,,,,,,,,,,,,,,,
42600,Holdfast Bay,38790,39308,518,1.3,-150,-101,769,13.8,2858.3,,,,,,,,,,,,,,,,,,
42750,Kangaroo Island,5125,5167,42,0.8,-4,22,24,4400.9,1.2,,,,,,,,,,,,,,,,,,
43080,Karoonda East Murray,1016,1026,10,1,3,-1,8,4415.8,0.2,,,,,,,,,,,,,,,,,,
43220,Kimba,1059,1064,5,0.5,3,0,2,5697.1,0.2,,,,,,,,,,,,,,,,,,
43360,Kingston (SA),2393,2406,13,0.5,-8,17,4,3339.8,0.7,,,,,,,,,,,,,,,,,,
43650,Light,16616,17028,412,2.5,77,289,46,1276.8,13.3,,,,,,,,,,,,,,,,,,
43710,Lower Eyre Peninsula,6153,6237,84,1.4,27,42,15,4721.4,1.3,,,,,,,,,,,,,,,,,,
43790,Loxton Waikerie,11899,11949,50,0.4,-31,39,42,7763.9,1.5,,,,,,,,,,,,,,,,,,
44000,Maralinga Tjarutja,102,102,0,0,0,0,0,105766.3,0,,,,,,,,,,,,,,,,,,
44060,Marion,98545,99821,1276,1.3,243,-733,1766,55.6,1794,,,,,,,,,,,,,,,,,,
44210,Mid Murray,9498,9593,95,1,-36,102,29,6271.6,1.5,,,,,,,,,,,,,,,,,,
44340,Mitcham,69579,70484,905,1.3,56,-225,1074,75.5,933,,,,,,,,,,,,,,,,,,
44550,Mount Barker,42299,43619,1320,3.1,230,858,232,594.6,73.4,,,,,,,,,,,,,,,,,,
44620,Mount Gambier,27846,27888,42,0.2,1,-62,103,33.9,822.8,,,,,,,,,,,,,,,,,,
44830,Mount Remarkable,2897,2873,-24,-0.8,-15,-13,4,3422.8,0.8,,,,,,,,,,,,,,,,,,
45040,Murray Bridge,22909,23257,348,1.5,-24,139,233,1831.8,12.7,,,,,,,,,,,,,,,,,,
45090,Naracoorte Lucindale,8932,8901,-31,-0.3,3,-121,87,4519.7,2,,,,,,,,,,,,,,,,,,
45120,Northern Areas,4667,4667,0,0,-3,3,0,2986.2,1.6,,,,,,,,,,,,,,,,,,
45290,Norwood Payneham and St Peters,39352,40062,710,1.8,22,-360,1048,15.1,2652.5,,,,,,,,,,,,,,,,,,
45340,Onkaparinga,180883,182821,1938,1.1,372,508,1058,518.1,352.9,,,,,,,,,,,,,,,,,,
45400,Orroroo Carrieton,889,890,1,0.1,-5,5,1,3321.8,0.3,,,,,,,,,,,,,,,,,,
45540,Peterborough,1683,1682,-1,-0.1,-1,-2,2,3020.1,0.6,,,,,,,,,,,,,,,,,,
45680,Playford,107073,111135,4062,3.8,918,2372,772,345.2,321.9,,,,,,,,,,,,,,,,,,
45890,Port Adelaide Enfield,138656,141042,2386,1.7,612,-829,2603,91.8,1537.1,,,,,,,,,,,,,,,,,,
46090,Port Augusta,14422,14453,31,0.2,35,-74,70,1158,12.5,,,,,,,,,,,,,,,,,,
46300,Port Lincoln,15019,15037,18,0.1,29,-50,39,30.4,495.2,,,,,,,,,,,,,,,,,,
46450,Port Pirie,17602,17637,35,0.2,-22,17,40,1760.7,10,,,,,,,,,,,,,,,,,,
46510,Prospect,23154,23309,155,0.7,118,-407,444,7.8,2991.6,,,,,,,,,,,,,,,,,,
46670,Renmark Paringa,10110,10173,63,0.6,-1,-52,116,916.4,11.1,,,,,,,,,,,,,,,,,,
46860,Robe,1602,1611,9,0.6,8,-2,3,1091.7,1.5,,,,,,,,,,,,,,,,,,
46970,Roxby Downs,4114,4089,-25,-0.6,60,-125,40,110.5,37,,,,,,,,,,,,,,,,,,
47140,Salisbury,149268,150272,1004,0.7,713,-1884,2175,159.8,940.1,,,,,,,,,,,,,,,,,,
47290,Southern Mallee,2013,2012,-1,0,4,-22,17,5702.2,0.4,,,,,,,,,,,,,,,,,,
47490,Streaky Bay,2277,2278,1,0,-5,-1,7,6222.9,0.4,,,,,,,,,,,,,,,,,,
47630,Tatiara,7067,7071,4,0.1,24,-58,38,6527.2,1.1,,,,,,,,,,,,,,,,,,
47700,Tea Tree Gully,103706,104437,731,0.7,153,-296,874,95.2,1096.9,,,,,,,,,,,,,,,,,,
47800,Coorong,5612,5614,2,0,2,-13,13,8833.4,0.6,,,,,,,,,,,,,,,,,,
47910,Tumby Bay,2906,2948,42,1.4,-3,38,7,2669.1,1.1,,,,,,,,,,,,,,,,,,
47980,Unley,39969,40327,358,0.9,-144,-445,947,14.3,2825.9,,,,,,,,,,,,,,,,,,
48050,Victor Harbor,16872,17124,252,1.5,-137,342,47,384.6,44.5,,,,,,,,,,,,,,,,,,
48130,Wakefield,6958,6985,27,0.4,-19,30,16,3468.5,2,,,,,,,,,,,,,,,,,,
48260,Walkerville,8429,8562,133,1.6,-25,-38,196,3.5,2425.5,,,,,,,,,,,,,,,,,,
48340,Wattle Range,12257,12319,62,0.5,-5,40,27,3926.2,3.1,,,,,,,,,,,,,,,,,,
48410,West Torrens,64573,65738,1165,1.8,92,-664,1737,37.1,1772.5,,,,,,,,,,,,,,,,,,
48540,Whyalla,21904,21864,-40,-0.2,50,-167,77,1071.3,20.4,,,,,,,,,,,,,,,,,,
48640,Wudinna,1161,1168,7,0.6,1,2,4,5075.3,0.2,,,,,,,,,,,,,,,,,,
48750,Yankalilla,6100,6186,86,1.4,-19,91,14,751.3,8.2,,,,,,,,,,,,,,,,,,
48830,Yorke Peninsula,12039,12150,111,0.9,-75,174,12,5899.6,2.1,,,,,,,,,,,,,,,,,,
49399,Unincorporated SA,3014,3010,-4,-0.1,-1,-19,16,619426.1,0,,,,,,,,,,,,,,,,,,
,Total South Australia,1852972,1878011,25039,1.4,3353,-1569,23255,984231.4,1.9,,,,,,,,,,,,,,,,,,
(a) Based on 2024 LGA boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
