This tab has one table with the estimated resident population and components for Local Government Areas in Western Australia for 2023-24. It ranges from cell A1 to K150.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5. Estimated resident population and components, Local Government Areas, Western Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,,,
,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,,,,,,,
LGA code,LGA name (a),no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,,,,,,,
50080,Albany,40963,41545,582,1.4,21,239,322,4308.5,9.6,,,,,,,,,,,,,,,,,,
50210,Armadale,105158,109218,4060,3.9,1051,1451,1558,559.5,195.2,,,,,,,,,,,,,,,,,,
50250,Ashburton,8082,8179,97,1.2,86,-85,96,100817.3,0.1,,,,,,,,,,,,,,,,,,
50280,Augusta Margaret River,18633,19410,777,4.2,77,355,345,2122.4,9.1,,,,,,,,,,,,,,,,,,
50350,Bassendean,16923,17145,222,1.3,47,-59,234,10.3,1657.3,,,,,,,,,,,,,,,,,,
50420,Bayswater,74359,75981,1622,2.2,287,-581,1916,34.6,2194.9,,,,,,,,,,,,,,,,,,
50490,Belmont,46035,47377,1342,2.9,199,-453,1596,39.8,1189.6,,,,,,,,,,,,,,,,,,
50560,Beverley,1768,1795,27,1.5,-4,30,1,2370.5,0.8,,,,,,,,,,,,,,,,,,
50630,Boddington,1786,1808,22,1.2,5,6,11,1904.5,0.9,,,,,,,,,,,,,,,,,,
50770,Boyup Brook,1948,1959,11,0.6,3,2,6,2826.5,0.7,,,,,,,,,,,,,,,,,,
50840,Bridgetown-Greenbushes,5671,5797,126,2.2,1,106,19,1337.4,4.3,,,,,,,,,,,,,,,,,,
50910,Brookton,955,962,7,0.7,-12,14,5,1601.2,0.6,,,,,,,,,,,,,,,,,,
50980,Broome,18623,18870,247,1.3,199,-190,238,54401.8,0.3,,,,,,,,,,,,,,,,,,
51080,Broomehill-Tambellup,1095,1101,6,0.5,8,-9,7,2609.7,0.4,,,,,,,,,,,,,,,,,,
51120,Bruce Rock,1044,1066,22,2.1,-1,10,13,2724.7,0.4,,,,,,,,,,,,,,,,,,
51190,Bunbury,34788,35174,386,1.1,-6,33,359,65.4,537.7,,,,,,,,,,,,,,,,,,
51260,Busselton,43984,45003,1019,2.3,43,700,276,1454.1,31,,,,,,,,,,,,,,,,,,
51310,Cambridge,31184,32006,822,2.6,-54,-100,976,22,1457.8,,,,,,,,,,,,,,,,,,
51330,Canning,103868,106944,3076,3,521,-1791,4346,64.9,1648.4,,,,,,,,,,,,,,,,,,
51400,Capel,19341,19701,360,1.9,110,127,123,557.9,35.3,,,,,,,,,,,,,,,,,,
51470,Carnamah,579,586,7,1.2,4,0,3,2870.9,0.2,,,,,,,,,,,,,,,,,,
51540,Carnarvon,5531,5599,68,1.2,28,-22,62,46574.7,0.1,,,,,,,,,,,,,,,,,,
51610,Chapman Valley,1663,1698,35,2.1,6,22,7,3981.3,0.4,,,,,,,,,,,,,,,,,,
51680,Chittering,6516,6753,237,3.6,32,187,18,1219.9,5.5,,,,,,,,,,,,,,,,,,
51750,Claremont,12200,12671,471,3.9,-53,122,402,5,2557,,,,,,,,,,,,,,,,,,
51820,Cockburn,130378,135149,4771,3.7,872,1463,2436,167.9,804.7,,,,,,,,,,,,,,,,,,
51890,Collie,9298,9408,110,1.2,18,55,37,1709.8,5.5,,,,,,,,,,,,,,,,,,
51960,Coolgardie,3688,3779,91,2.5,35,13,43,30297.7,0.1,,,,,,,,,,,,,,,,,,
52030,Coorow,1109,1125,16,1.4,4,5,7,4189.9,0.3,,,,,,,,,,,,,,,,,,
52100,Corrigin,1029,1039,10,1,1,5,4,2681.3,0.4,,,,,,,,,,,,,,,,,,
52170,Cottesloe,8713,8967,254,2.9,-15,-16,285,3.9,2325.2,,,,,,,,,,,,,,,,,,
52240,Cranbrook,1149,1152,3,0.3,6,-10,7,3276,0.4,,,,,,,,,,,,,,,,,,
52310,Cuballing,951,955,4,0.4,4,-3,3,1195.3,0.8,,,,,,,,,,,,,,,,,,
52380,Cue,231,229,-2,-0.9,-5,2,1,13582.2,0,,,,,,,,,,,,,,,,,,
52450,Cunderdin,1324,1316,-8,-0.6,18,-34,8,1862.4,0.7,,,,,,,,,,,,,,,,,,
52520,Dalwallinu,1446,1466,20,1.4,14,-7,13,7224.4,0.2,,,,,,,,,,,,,,,,,,
52590,Dandaragan,3752,3921,169,4.5,20,84,65,6711.6,0.6,,,,,,,,,,,,,,,,,,
52660,Dardanup,15690,15930,240,1.5,59,105,76,525.8,30.3,,,,,,,,,,,,,,,,,,
52730,Denmark,6619,6707,88,1.3,-25,93,20,1859.8,3.6,,,,,,,,,,,,,,,,,,
52800,Derby-West Kimberley,8437,8536,99,1.2,52,-13,60,119731,0.1,,,,,,,,,,,,,,,,,,
52870,Donnybrook-Balingup,6440,6584,144,2.2,21,84,39,1559.9,4.2,,,,,,,,,,,,,,,,,,
52940,Dowerin,738,740,2,0.3,5,-7,4,1863.1,0.4,,,,,,,,,,,,,,,,,,
53010,Dumbleyung,701,708,7,1,0,2,5,2539.2,0.3,,,,,,,,,,,,,,,,,,
53080,Dundas,701,723,22,3.1,4,10,8,92886.4,0,,,,,,,,,,,,,,,,,,
53150,East Fremantle,8229,8361,132,1.6,-10,-36,178,3.1,2664.1,,,,,,,,,,,,,,,,,,
53220,East Pilbara,10407,10403,-4,0,51,-155,100,372295.7,0,,,,,,,,,,,,,,,,,,
53290,Esperance,14551,14558,7,0,48,-102,61,44797.5,0.3,,,,,,,,,,,,,,,,,,
53360,Exmouth,3468,3566,98,2.8,24,31,43,6488.2,0.5,,,,,,,,,,,,,,,,,,
53430,Fremantle,35195,36349,1154,3.3,67,192,895,19.3,1884.4,,,,,,,,,,,,,,,,,,
53570,Gingin,6070,6348,278,4.6,15,158,105,3208.4,2,,,,,,,,,,,,,,,,,,
53640,Gnowangerup,1270,1271,1,0.1,14,-22,9,4265,0.3,,,,,,,,,,,,,,,,,,
53710,Goomalling,987,992,5,0.5,1,0,4,1835.4,0.5,,,,,,,,,,,,,,,,,,
53780,Gosnells,137493,141279,3786,2.8,881,-574,3479,127.3,1109.8,,,,,,,,,,,,,,,,,,
53800,Greater Geraldton,41930,42322,392,0.9,92,56,244,9909,4.3,,,,,,,,,,,,,,,,,,
53920,Halls Creek,4136,4213,77,1.9,41,16,20,133046,0,,,,,,,,,,,,,,,,,,
53990,Harvey,30802,31495,693,2.2,188,292,213,1727.6,18.2,,,,,,,,,,,,,,,,,,
54060,Irwin,3842,3864,22,0.6,-12,25,9,2369.3,1.6,,,,,,,,,,,,,,,,,,
54130,Jerramungup,1214,1217,3,0.2,9,-15,9,6511.2,0.2,,,,,,,,,,,,,,,,,,
54170,Joondalup,169788,173469,3681,2.2,664,-318,3335,98.9,1753.2,,,,,,,,,,,,,,,,,,
54200,Kalamunda,62705,63827,1122,1.8,239,59,824,324.3,196.8,,,,,,,,,,,,,,,,,,
54280,Kalgoorlie-Boulder,30795,30991,196,0.6,235,-405,366,95500.3,0.3,,,,,,,,,,,,,,,,,,
54310,Karratha,24252,24716,464,1.9,299,-100,265,15238.3,1.6,,,,,,,,,,,,,,,,,,
54340,Katanning,4292,4294,2,0,11,-46,37,1518.2,2.8,,,,,,,,,,,,,,,,,,
54410,Kellerberrin,1166,1159,-7,-0.6,-21,6,8,1915.4,0.6,,,,,,,,,,,,,,,,,,
54480,Kent,524,526,2,0.4,3,-5,4,5624.6,0.1,,,,,,,,,,,,,,,,,,
54550,Kojonup,1969,1965,-4,-0.2,-3,-14,13,2931,0.7,,,,,,,,,,,,,,,,,,
54620,Kondinin,858,862,4,0.5,15,-16,5,7440.8,0.1,,,,,,,,,,,,,,,,,,
54690,Koorda,371,373,2,0.5,-4,5,1,2832.3,0.1,,,,,,,,,,,,,,,,,,
54760,Kulin,794,800,6,0.8,8,-7,5,4718.9,0.2,,,,,,,,,,,,,,,,,,
54830,Kwinana,52139,54672,2533,4.9,556,1100,877,120,455.6,,,,,,,,,,,,,,,,,,
54900,Lake Grace,1303,1319,16,1.2,8,1,7,11886.3,0.1,,,,,,,,,,,,,,,,,,
54970,Laverton,1440,1444,4,0.3,-9,3,10,179994,0,,,,,,,,,,,,,,,,,,
55040,Leonora,1733,1737,4,0.2,14,-21,11,31915.1,0.1,,,,,,,,,,,,,,,,,,
55110,Mandurah,99322,102922,3600,3.6,43,2212,1345,174.9,588.5,,,,,,,,,,,,,,,,,,
55180,Manjimup,9442,9523,81,0.9,8,18,55,7029.6,1.4,,,,,,,,,,,,,,,,,,
55250,Meekatharra,1296,1286,-10,-0.8,8,-27,9,100188.5,0,,,,,,,,,,,,,,,,,,
55320,Melville,110541,113404,2863,2.6,148,64,2651,52.9,2145.8,,,,,,,,,,,,,,,,,,
55390,Menzies,575,577,2,0.3,2,-4,4,124115.4,0,,,,,,,,,,,,,,,,,,
55460,Merredin,3270,3335,65,2,19,7,39,3293.8,1,,,,,,,,,,,,,,,,,,
55530,Mingenew,417,421,4,1,9,-7,2,1934.9,0.2,,,,,,,,,,,,,,,,,,
55600,Moora,2395,2432,37,1.5,25,-7,19,3763,0.6,,,,,,,,,,,,,,,,,,
55670,Morawa,679,686,7,1,-5,8,4,3510.6,0.2,,,,,,,,,,,,,,,,,,
55740,Mosman Park,10052,10281,229,2.3,9,-103,323,4.3,2365,,,,,,,,,,,,,,,,,,
55810,Mount Magnet,701,696,-5,-0.7,0,-10,5,13858.1,0.1,,,,,,,,,,,,,,,,,,
55880,Mount Marshall,461,466,5,1.1,0,2,3,10184.6,0,,,,,,,,,,,,,,,,,,
55950,Mukinbudin,600,603,3,0.5,2,-3,4,3426.9,0.2,,,,,,,,,,,,,,,,,,
56090,Mundaring,41436,42327,891,2.2,112,409,370,643.2,65.8,,,,,,,,,,,,,,,,,,
56160,Murchison,106,105,-1,-0.9,0,-2,1,45046.1,0,,,,,,,,,,,,,,,,,,
56230,Murray,19829,20563,734,3.7,30,579,125,1703.5,12.1,,,,,,,,,,,,,,,,,,
56300,Nannup,1632,1675,43,2.6,-1,33,11,3053.9,0.5,,,,,,,,,,,,,,,,,,
56370,Narembeen,833,848,15,1.8,11,-7,11,3809,0.2,,,,,,,,,,,,,,,,,,
56460,Narrogin,4985,5029,44,0.9,-9,6,47,1631.3,3.1,,,,,,,,,,,,,,,,,,
56580,Nedlands,24187,25104,917,3.8,-11,34,894,19.6,1277.9,,,,,,,,,,,,,,,,,,
56620,Ngaanyatjarraku,1479,1482,3,0.2,4,-10,9,159816,0,,,,,,,,,,,,,,,,,,
56730,Northam,12197,12416,219,1.8,43,118,58,1431.2,8.7,,,,,,,,,,,,,,,,,,
56790,Northampton,3371,3382,11,0.3,-6,2,15,12543.7,0.3,,,,,,,,,,,,,,,,,,
56860,Nungarin,256,258,2,0.8,-3,3,2,1166,0.2,,,,,,,,,,,,,,,,,,
56930,Peppermint Grove,1739,1782,43,2.5,-4,15,32,1.1,1669,,,,,,,,,,,,,,,,,,
57000,Perenjori,649,659,10,1.5,3,3,4,8301.4,0.1,,,,,,,,,,,,,,,,,,
57080,Perth,32997,34624,1627,4.9,62,-939,2504,13.7,2521.1,,,,,,,,,,,,,,,,,,
57140,Pingelly,1084,1091,7,0.6,-1,4,4,1294.6,0.8,,,,,,,,,,,,,,,,,,
57210,Plantagenet,5669,5734,65,1.1,9,38,18,4876.7,1.2,,,,,,,,,,,,,,,,,,
57280,Port Hedland,17256,17448,192,1.1,206,-184,170,18417.1,0.9,,,,,,,,,,,,,,,,,,
57350,Quairading,973,967,-6,-0.6,-5,-7,6,2016.9,0.5,,,,,,,,,,,,,,,,,,
57420,Ravensthorpe,2278,2280,2,0.1,11,-29,20,9841.8,0.2,,,,,,,,,,,,,,,,,,
57490,Rockingham,148911,154132,5221,3.5,797,2151,2273,257.5,598.6,,,,,,,,,,,,,,,,,,
57630,Sandstone,116,115,-1,-0.9,0,-2,1,32605.3,0,,,,,,,,,,,,,,,,,,
57700,Serpentine-Jarrahdale,36754,38631,1877,5.1,375,1100,402,901.2,42.9,,,,,,,,,,,,,,,,,,
57770,Shark Bay,1130,1164,34,3,1,19,14,24201.5,0,,,,,,,,,,,,,,,,,,
57840,South Perth,46777,47909,1132,2.4,-2,-406,1540,19.8,2418.3,,,,,,,,,,,,,,,,,,
57910,Stirling,244155,249872,5717,2.3,912,-1757,6562,104.7,2385.9,,,,,,,,,,,,,,,,,,
57980,Subiaco,18913,19452,539,2.8,8,-89,620,5.6,3462.3,,,,,,,,,,,,,,,,,,
58050,Swan,171697,179207,7510,4.4,1647,2882,2981,1043,171.8,,,,,,,,,,,,,,,,,,
58190,Tammin,404,401,-3,-0.7,0,-6,3,1101.7,0.4,,,,,,,,,,,,,,,,,,
58260,Three Springs,593,600,7,1.2,5,-1,3,2656.7,0.2,,,,,,,,,,,,,,,,,,
58330,Toodyay,4954,5081,127,2.6,14,97,16,1691.6,3,,,,,,,,,,,,,,,,,,
58400,Trayning,303,306,3,1,-1,2,2,1651.2,0.2,,,,,,,,,,,,,,,,,,
58470,Upper Gascoyne,201,201,0,0,-3,0,3,57809.9,0,,,,,,,,,,,,,,,,,,
58510,Victoria Park,40858,42352,1494,3.7,56,-316,1754,17.9,2360.8,,,,,,,,,,,,,,,,,,
58540,Victoria Plains,824,834,10,1.2,0,3,7,2551,0.3,,,,,,,,,,,,,,,,,,
58570,Vincent,40193,41479,1286,3.2,145,-250,1391,11.4,3645.8,,,,,,,,,,,,,,,,,,
58610,Wagin,1816,1825,9,0.5,0,4,5,1946.2,0.9,,,,,,,,,,,,,,,,,,
58680,Wandering,545,547,2,0.4,-5,4,3,1903.9,0.3,,,,,,,,,,,,,,,,,,
58760,Wanneroo,229602,237628,8026,3.5,1670,2042,4314,683.3,347.8,,,,,,,,,,,,,,,,,,
58820,Waroona,4457,4537,80,1.8,19,46,15,832.2,5.5,,,,,,,,,,,,,,,,,,
58890,West Arthur,787,789,2,0.3,4,-4,2,2831.8,0.3,,,,,,,,,,,,,,,,,,
59030,Westonia,244,246,2,0.8,3,-2,1,3319.4,0.1,,,,,,,,,,,,,,,,,,
59100,Wickepin,701,710,9,1.3,5,-1,5,2040.9,0.3,,,,,,,,,,,,,,,,,,
59170,Williams,1060,1063,3,0.3,7,-7,3,2304.7,0.5,,,,,,,,,,,,,,,,,,
59250,Wiluna,568,563,-5,-0.9,-2,-7,4,181297.3,0,,,,,,,,,,,,,,,,,,
59310,Wongan-Ballidu,1336,1343,7,0.5,4,-2,5,3365.1,0.4,,,,,,,,,,,,,,,,,,
59320,Woodanilling,479,490,11,2.3,6,0,5,1128.8,0.4,,,,,,,,,,,,,,,,,,
59330,Wyalkatchem,491,492,1,0.2,-6,5,2,1594.5,0.3,,,,,,,,,,,,,,,,,,
59340,Wyndham-East Kimberley,8214,8315,101,1.2,76,-64,89,112066.3,0.1,,,,,,,,,,,,,,,,,,
59350,Yalgoo,357,353,-4,-1.1,3,-10,3,27949.5,0,,,,,,,,,,,,,,,,,,
