This tab has one table with the estimated resident population for Greater Capital City Statistical Areas in Australia as at 30 June 2024. It ranges from cell A1 to AB25.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population, Greater Capital City Statistical Areas, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ERP at 30 June,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,
S/T code,S/T name,GCCSA code,GCCSA name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,
1,New South Wales,1GSYD,Greater Sydney,4102580,4135637,4162593,4184763,4217563,4256161,4325525,4409562,4492380,4555516,4608949,4677196,4757364,4841349,4930189,5024923,5119495,5190353,5256836,5295529,5261801,5303794,5449695,5557233,,
1,New South Wales,1RNSW,Rest of NSW,2427769,2445170,2458122,2465972,2475643,2486529,2508631,2533899,2561375,2588776,2609580,2627048,2646668,2667004,2685979,2707935,2735821,2764123,2789912,2815081,2835261,2862910,2891504,2922081,,
2,Victoria,2GMEL,Greater Melbourne,3500249,3545579,3594031,3641951,3697372,3760760,3841760,3931438,4031787,4105857,4169366,4265843,4370067,4476030,4586012,4714387,4820116,4916589,5006457,5061107,4975319,5039661,5208068,5350705,,
2,Victoria,2RVIC,Rest of Vic.,1263366,1272195,1279778,1285198,1291874,1300506,1311762,1324937,1340147,1355244,1368451,1385248,1402602,1418887,1436310,1458785,1482492,1506449,1530848,1553939,1572503,1590970,1608173,1628014,,
3,Queensland,3GBRI,Greater Brisbane,1693556,1735730,1780650,1823496,1866210,1908265,1958907,2012204,2068479,2108348,2147436,2196288,2241944,2281740,2318653,2362672,2409466,2454907,2503078,2545379,2567714,2625746,2707133,2780063,,
3,Queensland,3RQLD,Rest of Qld,1877913,1917393,1962471,2006474,2052284,2099727,2152111,2207301,2260292,2296396,2329342,2372399,2410880,2437913,2459039,2482480,2516914,2551716,2585769,2620234,2648100,2695195,2753344,2803770,,
4,South Australia,4GADE,Greater Adelaide,1148006,1154981,1162250,1168541,1177345,1189243,1204210,1219523,1237354,1253097,1264091,1277850,1289696,1302079,1313419,1324057,1338270,1353662,1372414,1392755,1401872,1418323,1447038,1469163,,
4,South Australia,4RSAU,Rest of SA,355455,356586,358149,359648,361459,363286,366409,369142,371548,374225,375523,378875,381792,384866,387249,388786,390403,392475,394981,397600,400729,402892,405934,408848,,
5,Western Australia,5GPER,Greater Perth,1455361,1474536,1496016,1520232,1544977,1576912,1628467,1682860,1739342,1781132,1833567,1892862,1943855,1973923,1998937,2019263,2046413,2075953,2114184,2161561,2191838,2228020,2311629,2384371,,
5,Western Australia,5RWAU,Rest of WA,450913,453976,456725,459310,466230,473669,477672,488840,500908,509713,519842,532645,543089,543685,541735,536715,539307,541839,545441,551351,557527,563774,572133,580707,,
6,Tasmania,6GHOB,Greater Hobart,197403,197726,199788,201771,203288,204753,206649,209166,212085,214669,216273,217670,219315,221365,223502,225913,231291,236954,242498,246859,250717,252489,253984,254930,,
6,Tasmania,6RTAS,Rest of Tas.,276265,276426,278746,281407,282914,284549,286613,289402,292268,294178,295210,294054,292916,292256,291615,291601,295471,300337,305343,310719,316522,318562,319754,320566,,
7,Northern Territory,7GDAR,Greater Darwin,108280,108679,108433,109211,111388,113461,116935,121210,125315,127829,129106,133105,138471,141169,144914,147102,148752,148273,147251,147673,147971,149154,151122,152489,,
7,Northern Territory,7RNTE,Rest of NT,93463,93572,93292,93452,94517,95596,96813,98664,100712,101949,102186,102810,103251,101725,99778,98576,98660,98822,99308,99755,100180,101074,101940,102580,,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,321538,324627,327357,328940,331399,335170,342644,348368,354785,361766,367985,376539,383257,388799,395813,403104,415046,426081,435730,444903,452508,456915,466359,473855,,
9,Other Territories,9OTER,Other Territories,2584,2397,2336,2356,2381,2379,2514,2683,2876,3055,3117,3033,2962,2896,2851,4608,4671,4725,4776,4803,4850,4920,4967,4994,,
,,,Total Australia,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26652777,27194369,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
