This tab has one table with the estimated resident population for States and Territories in Australia as at 30 June 2024. It ranges from cell A1 to Z18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5. Estimated resident population, States and Territories, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,
S/T code,S/T name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,
1,New South Wales,6530349,6580807,6620715,6650735,6693206,6742690,6834156,6943461,7053755,7144292,7218529,7304244,7404032,7508353,7616168,7732858,7855316,7954476,8046748,8110610,8097062,8166704,8341199,8479314,,,,
2,Victoria,4763615,4817774,4873809,4927149,4989246,5061266,5153522,5256375,5371934,5461101,5537817,5651091,5772669,5894917,6022322,6173172,6302608,6423038,6537305,6615046,6547822,6630631,6816241,6978719,,,,
3,Queensland,3571469,3653123,3743121,3829970,3918494,4007992,4111018,4219505,4328771,4404744,4476778,4568687,4652824,4719653,4777692,4845152,4926380,5006623,5088847,5165613,5215814,5320941,5460477,5583833,,,,
4,South Australia,1503461,1511567,1520399,1528189,1538804,1552529,1570619,1588665,1608902,1627322,1639614,1656725,1671488,1686945,1700668,1712843,1728673,1746137,1767395,1790355,1802601,1821215,1852972,1878011,,,,
5,Western Australia,1906274,1928512,1952741,1979542,2011207,2050581,2106139,2171700,2240250,2290845,2353409,2425507,2486944,2517608,2540672,2555978,2585720,2617792,2659625,2712912,2749365,2791794,2883762,2965078,,,,
6,Tasmania,473668,474152,478534,483178,486202,489302,493262,498568,504353,508847,511483,511724,512231,513621,515117,517514,526762,537291,547841,557578,567239,571051,573738,575496,,,,
7,Northern Territory,201743,202251,201725,202663,205905,209057,213748,219874,226027,229778,231292,235915,241722,242894,244692,245678,247412,247095,246559,247428,248151,250228,253062,255069,,,,
8,Australian Capital Territory,321538,324627,327357,328940,331399,335170,342644,348368,354785,361766,367985,376539,383257,388799,395813,403104,415046,426081,435730,444903,452508,456915,466359,473855,,,,
9,Other Territories,2584,2397,2336,2356,2381,2379,2514,2683,2876,3055,3117,3033,2962,2896,2851,4608,4671,4725,4776,4803,4850,4920,4967,4994,,,,
,Total Australia,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26652777,27194369,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
