This tab has one table with the estimated resident population for State Electoral Divisions in Australia as at 30 June 2024. It ranges from cell A1 to Z451.,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population, State Electoral Divisions, Australia",,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,,,,,,,,,,,,,,,,,,,,,,
,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SED code,SED name (a),no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.
10001,Albury,71551,71966,72238,72503,73039,73709,74167,74494,74895,75323,75570,75967,76575,77310,77888,78616,79637,80660,81568,82617,83491,84307,85412,86486
10002,Auburn,81580,82316,82900,83862,85458,86953,88936,91192,93429,95291,96408,98331,100395,102582,105149,107910,110056,111508,112909,112631,110246,110317,114320,117790
10003,Badgerys Creek,60301,61200,61581,61387,61727,62060,62362,63192,63700,63867,63902,65028,66473,68268,70196,71846,74925,78128,82004,85246,88284,91783,95348,98669
10004,Ballina,64818,65719,66365,66743,66869,67061,67415,67786,68209,68603,68864,69698,70690,71555,72523,73715,74953,76246,77414,78733,79668,80682,81713,82982
10005,Balmain,67511,68153,69427,70324,71234,72624,74000,76214,77868,79405,79804,81125,82502,83977,85800,87851,88627,88911,88310,87260,83864,83867,87154,88892
10006,Bankstown,78055,78532,79039,79565,80396,81838,83917,86138,88016,89429,90853,91656,92901,93956,94986,96009,97338,98239,99272,99609,98542,98454,100690,102500
10007,Barwon,91968,90509,88797,87079,85748,84560,83820,83493,83450,83418,83185,82532,81849,81199,80347,79452,78646,77845,76954,75945,75013,74456,74569,74381
10008,Bathurst,71348,71732,71909,71976,72240,72593,73085,73795,75176,76025,76717,77278,77942,78579,79248,79917,80269,80559,80809,80956,81002,81473,81925,82439
10009,Bega,63972,64937,65809,66649,67155,67561,68161,68594,69041,69808,70220,70429,70700,71045,71446,71860,72659,73490,74316,75345,76234,76774,77235,77790
10010,Blacktown,75155,75201,74888,74897,75090,75490,76361,77922,79753,81315,82346,83143,84559,86246,88141,90684,92770,94575,96155,96540,96215,96862,98914,100374
10011,Blue Mountains,76571,76904,76988,76453,76006,75629,76134,77186,78010,78244,78533,78532,78705,78867,78889,78835,78989,79107,79077,79031,78372,77944,78479,78783
10012,Cabramatta,89235,88742,88162,87297,87104,86875,87361,88479,89385,89876,90055,90835,91654,92436,93155,94012,95139,95792,96138,95645,94187,92776,93744,94510
10013,Camden,40222,42122,43431,44124,45364,46152,47946,49674,51477,52996,54538,56550,58791,62169,66194,70420,74796,78905,82977,86565,89908,93044,95937,98741
10014,Campbelltown,75681,75732,75588,75278,75331,75549,76179,76981,77739,78201,78912,79306,79807,80392,81139,82226,83259,84277,85284,86235,86524,87074,88844,90558
10015,Canterbury,84993,84418,83612,82971,83133,83677,85053,87249,88610,89801,90565,92029,93516,95120,96555,97904,99585,100679,101270,101325,99716,99319,101830,102924
10016,Castle Hill,78746,78554,78784,79372,79848,80186,80630,82018,83614,84539,85153,85714,86453,87187,87930,88790,89968,90191,90622,90654,89697,88823,89767,90811
10017,Cessnock,59707,59939,60228,60452,60641,60810,62022,63275,64312,65604,66994,68387,70021,71555,72869,74254,75958,78208,79854,81980,84224,86411,88393,91184
10018,Charlestown,75529,75758,75849,75927,76027,76064,76519,77122,78097,78833,79479,79562,79747,79721,79697,79815,80157,80641,81229,81747,82030,82632,83518,84177
10019,Clarence,69323,69663,69778,69879,70202,70962,71740,72222,72940,73725,74101,74282,74508,74670,74780,74959,75394,75857,76247,76609,77929,78570,79241,80296
10020,Coffs Harbour,62605,63566,64578,65465,65943,66657,67534,68571,69346,70341,70970,71564,72303,73016,73739,74670,75753,76887,77810,78409,78781,79723,80470,81140
10021,Coogee,84237,84197,84137,84129,84340,84885,87285,89355,90926,92113,93359,94729,96301,97776,99111,100353,100400,99250,97698,96117,91786,91633,95065,96712
10022,Cootamundra,75805,75414,74883,74477,74346,74397,74143,73992,74333,74622,74811,74921,75008,75130,75226,75370,75452,75452,75428,75345,75111,75085,75135,75165
10023,Cronulla,70140,70477,70306,70157,70123,70119,70699,71707,72748,73286,73517,73733,74397,75108,75947,76805,77212,77614,78109,78596,78676,79174,80596,81635
10024,Davidson,77820,77549,77485,77034,76406,76029,76372,77902,79571,81207,82646,84005,85468,86667,87886,88931,90270,91367,91859,91730,90246,89844,92194,93640
10025,Drummoyne,61935,62762,63787,65091,66625,68021,69834,71898,74853,77043,79442,81773,84534,87360,89101,90967,91355,91259,91150,90415,88359,87923,89937,91162
10026,Dubbo,72341,72229,71970,71796,71660,71703,72263,73265,74193,75076,75483,76067,76766,77603,78386,79070,80492,81868,82892,83695,84295,84747,85548,86253
10027,East Hills,72725,72584,72440,72237,72718,73360,74594,75790,76962,77737,78816,79806,81002,82238,83451,84660,86031,87054,87979,88543,88131,88239,89669,90808
10028,Epping,77293,76552,76388,76736,77045,77230,77620,78546,79840,80803,81658,82612,83722,84796,86488,88272,90412,93471,96125,97163,96488,97052,99345,100923
10029,Fairfield,81398,81363,81422,81304,82009,82646,84018,85528,87475,88677,89752,90937,92224,93239,94358,95791,97751,99490,100677,100812,99716,99129,100788,102189
10030,Gosford,69950,70132,70135,69980,70259,70534,70980,72125,72795,73340,73948,74282,74633,75058,75604,76317,77051,77644,78241,79121,79369,79520,80190,81033
10031,Goulburn,63127,63701,64177,64439,64607,64873,65664,66727,67976,69263,70169,71045,71949,72768,73632,74611,75568,76521,77482,78461,79057,79710,80418,81358
10032,Granville,80247,80456,80928,81454,82552,84031,86313,89001,90844,92624,93999,95847,98031,100101,102126,104190,107223,109713,112174,113061,111605,112378,115810,119071
