This tab has one table with population components for Statistical Areas Level 3 in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AI349.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Population components, Statistical Areas Level 3, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,
,,,,,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Overseas departures,Net overseas migration,,,,,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,946,323,623,5301,5421,-120,724,350,374,976,359,617,4701,4878,-177,945,272,673,933,332,601,4962,4537,425,862,297,565,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,195,176,19,1718,1712,6,232,110,122,189,163,26,1322,1275,47,311,86,225,202,145,57,1303,1407,-104,271,93,178,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,687,896,-209,5656,5088,568,344,160,184,654,934,-280,4237,3799,438,431,127,304,602,922,-320,4421,3804,617,402,138,264,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10105,Goulburn - Mulwaree,413,380,33,2574,2451,123,272,128,144,479,452,27,2070,2012,58,364,99,265,402,375,27,2032,1886,146,365,110,255,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,390,339,51,2715,2716,-1,192,90,102,405,375,30,2195,2201,-6,255,70,185,437,331,106,2235,2195,40,239,78,161,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,1986,1709,277,11834,13198,-1364,1509,704,805,1740,1800,-60,9234,9682,-448,2468,548,1920,1656,1695,-39,9247,9432,-185,2207,605,1602,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,2220,1761,459,12457,12432,25,875,412,463,1961,1802,159,9653,9590,63,1431,323,1108,1918,1784,134,9732,9269,463,1279,351,928,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,103,Central West,10301,Bathurst,639,442,197,3473,3365,108,287,135,152,591,422,169,2699,2647,52,373,105,268,575,464,111,2635,2626,9,338,116,222,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,103,Central West,10302,Lachlan Valley,695,644,51,3444,3854,-410,194,92,102,688,727,-39,2634,3003,-369,259,74,185,654,688,-34,2729,2932,-203,231,77,154,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,103,Central West,10303,Lithgow - Mudgee,573,506,67,3236,3386,-150,198,94,104,525,486,39,2577,2769,-192,266,72,194,515,450,65,2746,2590,156,233,80,153,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,103,Central West,10304,Orange,860,493,367,3582,3798,-216,381,178,203,796,523,273,2911,3154,-243,510,140,370,760,547,213,2935,2928,7,471,151,320,,,,,,,
