This tab has one table with population components for Greater Capital City Statistical Areas in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AE25.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Population components, Greater Capital City Statistical Areas, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,
,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,,,,,,,,,,,,
S/T code,S/T name,GCCSA code,GCCSA name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,,,,,,,,
1,New South Wales,1GSYD,Greater Sydney,67018,33109,33909,90695,140507,-49812,131671,73775,57896,60589,32871,27718,66067,104492,-38425,221745,65137,156608,58904,31166,27738,63145,104231,-41086,192169,71283,120886,,,,,,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,33346,27390,5956,118726,108249,10477,21194,9978,11216,32088,28253,3835,88177,83910,4267,28292,7800,20492,31275,27463,3812,90796,80575,10221,25042,8498,16544,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,60361,31339,29022,100247,124697,-24450,118548,58778,59770,57263,30997,26266,78079,84757,-6678,198018,49199,148819,59248,30270,28978,78020,85601,-7581,177446,56206,121240,,,,,,,,,,,,
2,Victoria,2RVIC,Rest of Vic.,17384,14782,2602,74965,65380,9585,10760,4480,6280,17180,15391,1789,54324,49509,4815,14132,3533,10599,17522,14912,2610,57364,49119,8245,12989,4003,8986,,,,,,,,,,,,
3,Queensland,3GBRI,Greater Brisbane,31797,15913,15884,115260,90072,25188,39318,22358,16960,30270,16676,13594,85829,70497,15332,77156,24695,52461,29403,16299,13104,88247,72680,15567,72212,27953,44259,,,,,,,,,,,,
3,Queensland,3RQLD,Rest of Qld,30965,20124,10841,133074,109482,23592,26117,13455,12662,29167,21493,7674,101690,84767,16923,47366,13814,33552,28855,20956,7899,102290,87947,14343,43803,15619,28184,,,,,,,,,,,,
4,South Australia,4GADE,Greater Adelaide,15569,11338,4231,33999,34721,-722,21081,8139,12942,14902,11653,3249,25576,27394,-1818,35400,8116,27284,14881,11123,3758,24363,27686,-3323,30484,8794,21690,,,,,,,,,,,,
4,South Australia,4RSAU,Rest of SA,3822,3992,-170,20160,19207,953,2073,693,1380,3702,4095,-393,15771,14362,1409,2766,740,2026,3681,4086,-405,16191,14437,1754,2353,788,1565,,,,,,,,,,,,
5,Western Australia,5GPER,Greater Perth,26831,12941,13890,54864,46058,8806,32208,18722,13486,25160,13676,11484,43845,33187,10658,80040,18573,61467,24950,13700,11250,43161,35083,8078,74776,21362,53414,,,,,,,,,,,,
5,Western Australia,5RWAU,Rest of WA,6603,3740,2863,31320,29787,1533,4151,2300,1851,6260,4011,2249,23738,22766,972,7245,2107,5138,6223,3900,2323,24757,23093,1664,7004,2417,4587,,,,,,,,,,,,
6,Tasmania,6GHOB,Greater Hobart,2808,2052,756,9146,10045,-899,3214,1299,1915,2654,2205,449,7336,9297,-1961,4564,1557,3007,2580,2118,462,7221,9221,-2000,3927,1443,2484,,,,,,,,,,,,
6,Tasmania,6RTAS,Rest of Tas.,3026,2945,81,13387,12867,520,2164,725,1439,3083,3012,71,10315,10951,-636,2671,914,1757,2974,3071,-97,10671,11228,-557,2314,848,1466,,,,,,,,,,,,
7,Northern Territory,7GDAR,Greater Darwin,2166,675,1491,13913,15908,-1995,3764,2077,1687,2063,648,1415,10790,13199,-2409,4971,2009,2962,2040,662,1378,10499,13250,-2751,4142,1402,2740,,,,,,,,,,,,
7,Northern Territory,7RNTE,Rest of NT,1431,620,811,6908,7473,-565,1410,762,648,1427,633,794,5616,6474,-858,1618,688,930,1381,589,792,5489,6513,-1024,1348,476,872,,,,,,,,,,,,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,5593,2361,3232,23159,25370,-2211,8965,5579,3386,5189,2545,2644,19720,21311,-1591,13307,4916,8391,5113,2313,2800,19753,21303,-1550,11701,5455,6246,,,,,,,,,,,,
9,Other Territories,9OTER,Other Territories,25,27,-2,0,0,0,90,18,72,42,20,22,0,0,0,81,56,25,27,35,-8,0,0,0,62,27,35,,,,,,,,,,,,
,,,Total Australia,308745,183348,125397,839823,839823,0,426728,223138,203590,291039,188179,102860,636873,636873,0,739372,203854,535518,289057,182663,106394,641967,641967,0,661772,226574,435198,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
