This tab has one table with population components for Local Government Areas in Australia for 2021-22 to 2023-24. It ranges from cell A1 to AE557.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1. Population components, Local Government Areas, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Components of population change 2021-22,,,,,,,,,Components of population change 2022-23,,,,,,,,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,
,,,,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,Births,Deaths,Natural increase,Internal arrivals,Internal departures,Net internal migration,Overseas arrivals,Overseas departures,Net overseas migration,,,,,,,,,,,,
S/T code,S/T name,LGA code,LGA name (a),no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,,,,,,,,,,,,
1,New South Wales,10050,Albury,720,551,169,4198,4000,198,436,205,231,682,527,155,3476,3211,265,584,160,424,734,485,249,3486,3260,226,508,175,333,,,,,,,,,,,,
1,New South Wales,10180,Armidale,336,240,96,2458,2774,-316,467,218,249,359,287,72,2090,2426,-336,663,172,491,335,256,79,2017,2397,-380,545,186,359,,,,,,,,,,,,
1,New South Wales,10250,Ballina,453,491,-38,4084,3594,490,377,176,201,424,516,-92,3058,2904,154,505,139,366,400,548,-148,3316,2798,518,438,150,288,,,,,,,,,,,,
1,New South Wales,10300,Balranald,25,17,8,196,210,-14,13,5,8,32,28,4,147,175,-28,22,6,16,18,31,-13,144,127,17,19,6,13,,,,,,,,,,,,
1,New South Wales,10470,Bathurst,575,389,186,3181,3074,107,270,127,143,538,359,179,2345,2279,66,349,98,251,521,408,113,2323,2310,13,316,109,207,,,,,,,,,,,,
1,New South Wales,10500,Bayside (NSW),2482,1185,1297,13456,15980,-2524,5856,2866,2990,2181,1158,1023,10028,13480,-3452,9910,2528,7382,2036,1146,890,10079,13676,-3597,8407,2765,5642,,,,,,,,,,,,
1,New South Wales,10550,Bega Valley,332,379,-47,2422,2240,182,150,70,80,314,375,-61,1869,1653,216,194,56,138,284,386,-102,1969,1689,280,198,61,137,,,,,,,,,,,,
1,New South Wales,10600,Bellingen,125,134,-9,1260,1232,28,72,33,39,93,140,-47,856,910,-54,96,25,71,103,127,-24,826,812,14,85,28,57,,,,,,,,,,,,
