This tab has one table with the estimated resident population and components for the states and territories in Australia for 2023-24. It ranges from cell A1 to K18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 10. Estimated resident population and components, States and Territories, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,,,,
,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,,,,,,,,
S/T code,S/T name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,,,,,,,,
1,New South Wales,8341199,8479314,138115,1.7,31550,-30865,137430,800797.7,10.6,,800797.7,10.4,,,,,,,,,,,,,,,,
2,Victoria,6816241,6978719,162478,2.4,31588,664,130226,227496.2,30.7,,227496.2,30,,,,,,,,,,,,,,,,
3,Queensland,5460477,5583833,123356,2.3,21003,29910,72443,1730171,3.2,,1730171.2,3.2,,,,,,,,,,,,,,,,
4,South Australia,1852972,1878011,25039,1.4,3353,-1569,23255,984231.4,1.9,,984231.4,1.9,,,,,,,,,,,,,,,,
5,Western Australia,2883762,2965078,81316,2.8,13573,9742,58001,2526632,1.2,,2526632.5,1.1,,,,,,,,,,,,,,,,
6,Tasmania,573738,575496,1758,0.3,365,-2557,3950,68017.5,8.5,,68017.5,8.4,,,,,,,,,,,,,,,,
7,Northern Territory,253062,255069,2007,0.8,2170,-3775,3612,1348134,0.2,,1348134.5,0.2,,,,,,,,,,,,,,,,
8,Australian Capital Territory,466359,473855,7496,1.6,2800,-1550,6246,2358.1,200.9,,2358.1,197.9,,,,,,,,,,,,,,,,
9,Other Territories,4967,4994,27,0.5,-8,0,35,255.7,19.5,,255.7,19.4,,,,,,,,,,,,,,,,
,Total Australia,26652777,27194369,541592,2,106394,0,435198,7688095,3.5,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
