This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in South Australia for 2023-24. It ranges from cell A1 to Q183.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population and components, Statistical Areas Level 2, South Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40101,Adelaide City,401011001,Adelaide,20738,21767,1029,5,14,-344,1359,10.5,2076.5,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40101,Adelaide City,401011002,North Adelaide,7246,7351,105,1.4,-27,-163,295,5.1,1443.9,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021003,Adelaide Hills,7134,7183,49,0.7,5,23,21,364.4,19.7,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021004,Aldgate - Stirling,18647,18843,196,1.1,69,-25,152,117.2,160.8,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021005,Hahndorf - Echunga,4731,4712,-19,-0.4,-36,-10,27,110.2,42.8,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021006,Lobethal - Woodside,9696,9834,138,1.4,23,71,44,202.5,48.6,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021007,Mount Barker,24581,25703,1122,4.6,187,759,176,54.1,475.1,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021008,Mount Barker Surrounds,7110,7232,122,1.7,28,82,12,395.7,18.3,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021009,Nairne,5608,5697,89,1.6,51,22,16,24.9,229.2,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021010,Uraidla - Summertown,6247,6371,124,2,21,61,42,119.2,53.5,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40103,Burnside,401031011,Burnside - Wattle Park,19859,20045,186,0.9,-2,-201,389,11.3,1773.1,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40103,Burnside,401031012,Beaumont - Glen Osmond,10537,10595,58,0.6,0,-139,197,9.5,1112.2,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40103,Burnside,401031013,Toorak Gardens,17093,17170,77,0.5,-118,-168,363,6.7,2567.7,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40104,Campbelltown (SA),401041014,Athelstone,9805,9876,71,0.7,47,-60,84,6.2,1591.9,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40104,Campbelltown (SA),401041015,Paradise - Newton,22487,22745,258,1.1,-4,-127,389,9.2,2465.4,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40104,Campbelltown (SA),401041016,Rostrevor - Magill,25291,25779,488,1.9,18,-117,587,9.9,2593.9,,,,,,,,,,,,
4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40105,Norwood - Payneham - St Peters,401051017,Norwood (SA),11651,11961,310,2.7,34,-141,417,3.9,3072.8,,,,,,,,,,,,
