This tab has one table with the estimated resident population and components for Statistical Areas Level 2 in Tasmania for 2023-24. It ranges from cell A1 to Q108.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Estimated resident population and components, Statistical Areas Level 2, Tasmania",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,
,,,,,,,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,
GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60101,Brighton,601011001,Bridgewater - Gagebrook,8571,8669,98,1.1,77,17,4,55.7,155.5,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60101,Brighton,601011002,Brighton - Pontville,6849,6955,106,1.5,44,50,12,88.8,78.4,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60101,Brighton,601011003,Old Beach - Otago,5161,5240,79,1.5,1,63,15,31.6,166,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021004,Bellerive - Rosny,6606,6600,-6,-0.1,4,-63,53,4.7,1398.8,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021005,Cambridge,8864,8853,-11,-0.1,32,-87,44,101.7,87,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021006,Geilston Bay - Risdon,3585,3626,41,1.1,26,-8,23,8.7,416.1,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021007,Howrah - Tranmere,12079,12063,-16,-0.1,22,-133,95,9.4,1281.7,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021008,Lindisfarne - Rose Bay,7840,7867,27,0.3,-143,105,65,8,983.7,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021009,Mornington - Warrane,5184,5102,-82,-1.6,-39,-88,45,8.2,621.1,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021010,Risdon Vale,3690,3775,85,2.3,21,58,6,35.5,106.4,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021011,Rokeby,8771,9004,233,2.7,133,79,21,15.4,583.8,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021012,South Arm,4691,4657,-34,-0.7,16,-77,27,74.3,62.7,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031013,Austins Ferry - Granton,4578,4647,69,1.5,48,-10,31,27.4,169.8,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031014,Berriedale - Chigwell,5857,5901,44,0.8,24,-44,64,34,173.3,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031015,Claremont (Tas.),8571,8614,43,0.5,21,-14,36,17.9,480.6,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031016,Derwent Park - Lutana,4665,4632,-33,-0.7,7,-91,51,4.9,941.6,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031017,Glenorchy,12403,12341,-62,-0.5,16,-172,94,10.5,1179.9,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031018,Montrose - Rosetta,5071,4996,-75,-1.5,-17,-98,40,5.7,871.5,,,,,,,,,,,,
6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031019,Moonah,5690,5626,-64,-1.1,8,-150,78,2.8,2013.6,,,,,,,,,,,,
