This tab has one table with the estimated resident population and components for Local Government Areas in Victoria for 2023-24. It ranges from cell A1 to K90.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Estimated resident population and components, Local Government Areas, Victoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,,,
,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,,,,,,,
LGA code,LGA name (a),no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,,,,,,,
20110,Alpine,13181,13199,18,0.1,-10,-48,76,4788.2,2.8,,,,,,,,,,,,,,,,,,
20260,Ararat,11683,11686,3,0,-30,-58,91,4211.1,2.8,,,,,,,,,,,,,,,,,,
20570,Ballarat,118126,121050,2924,2.5,424,1750,750,739,163.8,,,,,,,,,,,,,,,,,,
20660,Banyule,129607,131931,2324,1.8,506,-198,2016,62.5,2109.5,,,,,,,,,,,,,,,,,,
20740,Bass Coast,42729,43557,828,1.9,-55,720,163,865.8,50.3,,,,,,,,,,,,,,,,,,
20830,Baw Baw,60636,61905,1269,2.1,277,802,190,4027.6,15.4,,,,,,,,,,,,,,,,,,
20910,Bayside (Vic.),104307,106118,1811,1.7,-78,-65,1954,37.2,2851.8,,,,,,,,,,,,,,,,,,
21010,Benalla,14529,14635,106,0.7,-47,123,30,2352.6,6.2,,,,,,,,,,,,,,,,,,
21110,Boroondara,174633,178008,3375,1.9,7,-1261,4629,60.2,2958,,,,,,,,,,,,,,,,,,
21180,Brimbank,196059,198152,2093,1.1,994,-3312,4411,123.4,1605.8,,,,,,,,,,,,,,,,,,
21270,Buloke,6039,5956,-83,-1.4,-43,-61,21,7998.2,0.7,,,,,,,,,,,,,,,,,,
21370,Campaspe,38296,38153,-143,-0.4,-49,-216,122,4519.1,8.4,,,,,,,,,,,,,,,,,,
21450,Cardinia,126932,130383,3451,2.7,1302,1114,1035,1282.6,101.7,,,,,,,,,,,,,,,,,,
21610,Casey,392060,405415,13355,3.4,3950,3229,6176,409.4,990.2,,,,,,,,,,,,,,,,,,
21670,Central Goldfields,13574,13704,130,1,-75,172,33,1532.8,8.9,,,,,,,,,,,,,,,,,,
21750,Colac Otway,22272,22300,28,0.1,9,-97,116,3437.5,6.5,,,,,,,,,,,,,,,,,,
21830,Corangamite,15947,15846,-101,-0.6,22,-173,50,4407.5,3.6,,,,,,,,,,,,,,,,,,
21890,Darebin,155713,159963,4250,2.7,564,-651,4337,53.5,2991.6,,,,,,,,,,,,,,,,,,
22110,East Gippsland,49176,49422,246,0.5,-187,293,140,20939.5,2.4,,,,,,,,,,,,,,,,,,
22170,Frankston,142808,144615,1807,1.3,698,-207,1316,129.6,1115.9,,,,,,,,,,,,,,,,,,
22250,Gannawarra,10419,10404,-15,-0.1,-22,4,3,3737.6,2.8,,,,,,,,,,,,,,,,,,
22310,Glen Eira,156897,161057,4160,2.7,519,-818,4459,38.7,4162.7,,,,,,,,,,,,,,,,,,
22410,Glenelg,20021,20007,-14,-0.1,-69,3,52,6218.8,3.2,,,,,,,,,,,,,,,,,,
22490,Golden Plains,25812,26337,525,2,167,305,53,2703.4,9.7,,,,,,,,,,,,,,,,,,
22620,Greater Bendigo,124159,125805,1646,1.3,427,623,596,3000,41.9,,,,,,,,,,,,,,,,,,
22670,Greater Dandenong,163824,167298,3474,2.1,849,-2901,5526,129.5,1291.4,,,,,,,,,,,,,,,,,,
22750,Greater Geelong,282787,289565,6778,2.4,1013,3437,2328,1248,232,,,,,,,,,,,,,,,,,,
22830,Greater Shepparton,69133,69874,741,1.1,355,-267,653,2421.9,28.9,,,,,,,,,,,,,,,,,,
22910,Hepburn,16670,16824,154,0.9,-29,109,74,1473,11.4,,,,,,,,,,,,,,,,,,
22980,Hindmarsh,5559,5464,-95,-1.7,-42,-74,21,7524.2,0.7,,,,,,,,,,,,,,,,,,
23110,Hobsons Bay,93740,95633,1893,2,487,-219,1625,64.2,1488.7,,,,,,,,,,,,,,,,,,
23190,Horsham,20312,20376,64,0.3,66,-79,77,4266.8,4.8,,,,,,,,,,,,,,,,,,
23270,Hume,262741,271709,8968,3.4,3192,1028,4748,503.8,539.3,,,,,,,,,,,,,,,,,,
23350,Indigo,17660,17788,128,0.7,-7,90,45,2040.5,8.7,,,,,,,,,,,,,,,,,,
23430,Kingston (Vic.),163736,166521,2785,1.7,465,-858,3178,91.4,1822.5,,,,,,,,,,,,,,,,,,
23670,Knox,161765,163302,1537,1,292,-888,2133,113.9,1433.6,,,,,,,,,,,,,,,,,,
23810,Latrobe (Vic.),78147,78845,698,0.9,57,299,342,1425.6,55.3,,,,,,,,,,,,,,,,,,
23940,Loddon,7747,7755,8,0.1,-22,4,26,6696.4,1.2,,,,,,,,,,,,,,,,,,
24130,Macedon Ranges,52915,53738,823,1.6,153,385,285,1748.3,30.7,,,,,,,,,,,,,,,,,,
24210,Manningham,129543,131761,2218,1.7,-40,-937,3195,113.3,1162.4,,,,,,,,,,,,,,,,,,
24250,Mansfield,10546,10782,236,2.2,-12,169,79,3843.9,2.8,,,,,,,,,,,,,,,,,,
24330,Maribyrnong,91776,94251,2475,2.7,635,-994,2834,31.2,3018.4,,,,,,,,,,,,,,,,,,
24410,Maroondah,117432,119354,1922,1.6,408,-145,1659,61.4,1943.6,,,,,,,,,,,,,,,,,,
24600,Melbourne,177785,189381,11596,6.5,492,-3719,14823,37.5,5044.1,,,,,,,,,,,,,,,,,,
24650,Melton,206021,219697,13676,6.6,3033,8310,2333,527.5,416.5,,,,,,,,,,,,,,,,,,
24700,Merri-bek,181265,186534,5269,2.9,1022,-776,5023,51,3661,,,,,,,,,,,,,,,,,,
24780,Mildura,57553,57626,73,0.1,184,-585,474,22081.9,2.6,,,,,,,,,,,,,,,,,,
24850,Mitchell,53712,56384,2672,5,448,1906,318,2862.1,19.7,,,,,,,,,,,,,,,,,,
24900,Moira,30771,30836,65,0.2,-62,14,113,4045.9,7.6,,,,,,,,,,,,,,,,,,
24970,Monash,203687,209268,5581,2.7,45,-3544,9080,81.5,2568.2,,,,,,,,,,,,,,,,,,
25060,Moonee Valley,126499,129732,3233,2.6,364,252,2617,43.1,3007.3,,,,,,,,,,,,,,,,,,
25150,Moorabool,39084,39814,730,1.9,246,325,159,2110.6,18.9,,,,,,,,,,,,,,,,,,
25340,Mornington Peninsula,170245,171450,1205,0.7,-372,310,1267,724,236.8,,,,,,,,,,,,,,,,,,
25430,Mount Alexander,20575,20799,224,1.1,-65,201,88,1529.6,13.6,,,,,,,,,,,,,,,,,,
25490,Moyne,17608,17717,109,0.6,74,-40,75,5481.7,3.2,,,,,,,,,,,,,,,,,,
25620,Murrindindi,15482,15603,121,0.8,-34,106,49,3879.8,4,,,,,,,,,,,,,,,,,,
25710,Nillumbik,63259,63693,434,0.7,267,-314,481,432.3,147.3,,,,,,,,,,,,,,,,,,
25810,Northern Grampians,11878,11808,-70,-0.6,-20,-106,56,5729.9,2.1,,,,,,,,,,,,,,,,,,
25900,Port Phillip,109585,112669,3084,2.8,437,-1333,3980,20.6,5465.6,,,,,,,,,,,,,,,,,,
25990,Pyrenees,7785,7958,173,2.2,-18,173,18,3434.6,2.3,,,,,,,,,,,,,,,,,,
26080,Queenscliffe,3238,3302,64,2,-13,60,17,8.6,383.2,,,,,,,,,,,,,,,,,,
26170,South Gippsland,30822,31022,200,0.6,-17,105,112,3296.3,9.4,,,,,,,,,,,,,,,,,,
26260,Southern Grampians,16468,16525,57,0.3,-2,-12,71,6654,2.5,,,,,,,,,,,,,,,,,,
26350,Stonnington,111416,114038,2622,2.4,196,-1426,3852,25.7,4445.8,,,,,,,,,,,,,,,,,,
26430,Strathbogie,11579,11739,160,1.4,-62,172,50,3303.3,3.6,,,,,,,,,,,,,,,,,,
26490,Surf Coast,39290,39928,638,1.6,152,229,257,1552.9,25.7,,,,,,,,,,,,,,,,,,
26610,Swan Hill,21210,21094,-116,-0.5,67,-398,215,6115.5,3.4,,,,,,,,,,,,,,,,,,
26670,Towong,6243,6237,-6,-0.1,-5,-32,31,6675.2,0.9,,,,,,,,,,,,,,,,,,
26700,Wangaratta,30000,30169,169,0.6,-44,109,104,3645.1,8.3,,,,,,,,,,,,,,,,,,
26730,Warrnambool,35906,36150,244,0.7,65,-118,297,120.9,298.9,,,,,,,,,,,,,,,,,,
26810,Wellington,46120,46533,413,0.9,68,119,226,10817.4,4.3,,,,,,,,,,,,,,,,,,
26890,West Wimmera,3932,3913,-19,-0.5,-14,-16,11,9108.7,0.4,,,,,,,,,,,,,,,,,,
26980,Whitehorse,178714,183462,4748,2.7,143,-1486,6091,64.3,2854.1,,,,,,,,,,,,,,,,,,
27070,Whittlesea,245013,253204,8191,3.3,2070,1778,4343,489.7,517.1,,,,,,,,,,,,,,,,,,
27170,Wodonga,44269,44824,555,1.3,236,64,255,433,103.5,,,,,,,,,,,,,,,,,,
27260,Wyndham,324061,337009,12948,4,4402,1192,7354,542.1,621.7,,,,,,,,,,,,,,,,,,
27350,Yarra,97505,100706,3201,3.3,480,-576,3297,19.5,5153.3,,,,,,,,,,,,,,,,,,
27450,Yarra Ranges,158672,160137,1465,0.9,857,-416,1024,2468.2,64.9,,,,,,,,,,,,,,,,,,
27630,Yarriambiack,6388,6346,-42,-0.7,-50,-4,12,7325.8,0.9,,,,,,,,,,,,,,,,,,
29399,Unincorporated Vic,953,964,11,1.2,-3,8,6,283.2,3.4,,,,,,,,,,,,,,,,,,
,Total Victoria,6816241,6978719,162478,2.4,31588,664,130226,227496.2,30.7,,,,,,,,,,,,,,,,,,
(a) Based on 2024 LGA boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
