This tab has one table with the estimated resident population and components for Local Government Areas in Tasmania for 2023-24. It ranges from cell A1 to K39.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Estimated resident population and components, Local Government Areas, Tasmania",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,,,
,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,,,,,,,
LGA code,LGA name (a),no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,,,,,,,
60210,Break O`Day,7079,7163,84,1.2,-27,85,26,3523.9,2,,,,,,,,,,,,,,,,,,
60410,Brighton,20012,20284,272,1.4,124,119,29,171.2,118.5,,,,,,,,,,,,,,,,,,
60610,Burnie,20479,20417,-62,-0.3,26,-167,79,611,33.4,,,,,,,,,,,,,,,,,,
60810,Central Coast (Tas.),23341,23350,9,0,-51,6,54,933.1,25,,,,,,,,,,,,,,,,,,
61010,Central Highlands (Tas.),2596,2588,-8,-0.3,-6,-8,6,7982.4,0.3,,,,,,,,,,,,,,,,,,
61210,Circular Head,8360,8315,-45,-0.5,17,-104,42,4897.7,1.7,,,,,,,,,,,,,,,,,,
61410,Clarence,63720,63973,253,0.4,71,-209,391,378,169.3,,,,,,,,,,,,,,,,,,
61510,Derwent Valley,11347,11436,89,0.8,9,55,25,4108.1,2.8,,,,,,,,,,,,,,,,,,
61610,Devonport,26998,27030,32,0.1,-35,-48,115,111.3,242.9,,,,,,,,,,,,,,,,,,
61810,Dorset,7006,7013,7,0.1,-31,20,18,3230.5,2.2,,,,,,,,,,,,,,,,,,
62010,Flinders (Tas.),933,941,8,0.9,-4,12,0,1996.6,0.5,,,,,,,,,,,,,,,,,,
62210,George Town,7335,7378,43,0.6,-20,37,26,653.4,11.3,,,,,,,,,,,,,,,,,,
62410,Glamorgan-Spring Bay,5240,5283,43,0.8,-8,25,26,2591.6,2,,,,,,,,,,,,,,,,,,
62610,Glenorchy,50868,50743,-125,-0.2,160,-736,451,121.2,418.8,,,,,,,,,,,,,,,,,,
62810,Hobart,56107,55977,-130,-0.2,-79,-1299,1248,77.9,718.6,,,,,,,,,,,,,,,,,,
63010,Huon Valley,19470,19742,272,1.4,35,153,84,5507.4,3.6,,,,,,,,,,,,,,,,,,
63210,Kentish,6835,6859,24,0.4,-16,16,24,1156.2,5.9,,,,,,,,,,,,,,,,,,
63410,King Island,1649,1660,11,0.7,12,-11,10,1095.7,1.5,,,,,,,,,,,,,,,,,,
63610,Kingborough,41219,41574,355,0.9,108,-50,297,720.1,57.7,,,,,,,,,,,,,,,,,,
63810,Latrobe (Tas.),13070,13158,88,0.7,-53,102,39,600.5,21.9,,,,,,,,,,,,,,,,,,
64010,Launceston,71877,71616,-261,-0.4,78,-956,617,1413.6,50.7,,,,,,,,,,,,,,,,,,
64210,Meander Valley,21465,21579,114,0.5,-26,60,80,3330.8,6.5,,,,,,,,,,,,,,,,,,
64610,Northern Midlands,14289,14428,139,1,20,77,42,5135.3,2.8,,,,,,,,,,,,,,,,,,
64810,Sorell,17649,17919,270,1.5,60,141,69,583.8,30.7,,,,,,,,,,,,,,,,,,
65010,Southern Midlands,6915,6973,58,0.8,37,17,4,2615.5,2.7,,,,,,,,,,,,,,,,,,
65210,Tasman,2687,2722,35,1.3,-17,46,6,660.4,4.1,,,,,,,,,,,,,,,,,,
65410,Waratah-Wynyard,14774,14905,131,0.9,-23,123,31,3535.9,4.2,,,,,,,,,,,,,,,,,,
65610,West Coast,4361,4339,-22,-0.5,-9,-24,11,9583.5,0.5,,,,,,,,,,,,,,,,,,
65810,West Tamar,26057,26131,74,0.3,13,-39,100,691.2,37.8,,,,,,,,,,,,,,,,,,
,Total Tasmania,573738,575496,1758,0.3,365,-2557,3950,68017.5,8.5,,,,,,,,,,,,,,,,,,
(a) Based on 2024 LGA boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
