This tab has one table with the estimated resident population and components for Local Government Areas in the Northern Territory for 2023-24. It ranges from cell A1 to K29.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7. Estimated resident population and components, Local Government Areas, Northern Territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2023-24,,,,,,,,,,,,,,,,,,,,,,
,,2023,2024,2023-24,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2024,,,,,,,,,,,,,,,,,,
LGA code,LGA name (a),no.,no.,no.,%,no.,no.,no.,km2,persons/km2,,,,,,,,,,,,,,,,,,
70200,Alice Springs,29300,29693,393,1.3,254,-417,556,327.7,90.6,,,,,,,,,,,,,,,,,,
70420,Barkly,7248,7288,40,0.6,77,-83,46,322710.4,0,,,,,,,,,,,,,,,,,,
70540,Belyuen,166,167,1,0.6,0,0,1,41.4,4,,,,,,,,,,,,,,,,,,
70620,Central Desert,4127,4128,1,0,37,-42,6,281338,0,,,,,,,,,,,,,,,,,,
70700,Coomalie,1422,1410,-12,-0.8,2,-25,11,2056.1,0.7,,,,,,,,,,,,,,,,,,
71000,Darwin,85781,86070,289,0.3,673,-2536,2152,111.3,773.6,,,,,,,,,,,,,,,,,,
71150,Darwin Waterfront Precinct,285,309,24,8.4,3,5,16,0.7,414.9,,,,,,,,,,,,,,,,,,
71300,East Arnhem,10015,10040,25,0.2,93,-84,16,33309.9,0.3,,,,,,,,,,,,,,,,,,
72200,Katherine,10841,10857,16,0.1,118,-174,72,7416.6,1.5,,,,,,,,,,,,,,,,,,
72300,Litchfield,23431,23940,509,2.2,135,245,129,2903.3,8.2,,,,,,,,,,,,,,,,,,
72330,MacDonnell,6713,6769,56,0.8,43,-29,42,268339,0,,,,,,,,,,,,,,,,,,
72800,Palmerston,41165,41598,433,1.1,552,-557,438,68.2,610.1,,,,,,,,,,,,,,,,,,
73600,Roper Gulf,7497,7516,19,0.3,23,-30,26,185213.5,0,,,,,,,,,,,,,,,,,,
74050,Tiwi Islands,2748,2744,-4,-0.1,13,-22,5,7483.2,0.4,,,,,,,,,,,,,,,,,,
74550,Victoria Daly,3298,3307,9,0.3,27,-25,7,153287.4,0,,,,,,,,,,,,,,,,,,
74560,Wagait,465,481,16,3.4,0,12,4,5.7,84.9,,,,,,,,,,,,,,,,,,
74660,West Arnhem,7410,7467,57,0.8,38,3,16,49675,0.2,,,,,,,,,,,,,,,,,,
74680,West Daly,3427,3448,21,0.6,17,0,4,14069.7,0.2,,,,,,,,,,,,,,,,,,
79399,Unincorporated NT,7723,7837,114,1.5,65,-16,65,19777.4,0.4,,,,,,,,,,,,,,,,,,
,Total Northern Territory,253062,255069,2007,0.8,2170,-3775,3612,1348134,0.2,,,,,,,,,,,,,,,,,,
(a) Based on 2024 LGA boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
