This tab has one table with the estimated resident population for Remoteness Areas in Australia as at 30 June 2024. It ranges from cell A1 to Z58.,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Estimated resident population, Remoteness Areas, Australia",,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,,,,,,,,,,,,,,,,,,,,,,
,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
RA code,RA name,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.
10,Major Cities of Australia (NSW),4791646,4832878,4867228,4894766,4931770,4974013,5052320,5146661,5239193,5311924,5373687,5448022,5535597,5627414,5723253,5825821,5930874,6011991,6088337,6137535,6112572,6166301,6323830,6443689
11,Inner Regional Australia (NSW),1309389,1321149,1330957,1337690,1346082,1354983,1369615,1384368,1400589,1416726,1428847,1440337,1453445,1465979,1478446,1492516,1509682,1527522,1543589,1559150,1571760,1586980,1601957,1618435
12,Outer Regional Australia (NSW),384554,382991,379956,376856,374896,374139,373071,373575,375073,376730,377270,377603,377029,377413,377496,378057,378749,379438,379860,379593,378970,380023,381972,383910
13,Remote Australia (NSW),34756,34075,33193,32316,31589,30974,30675,30413,30493,30491,30280,29974,29788,29496,29038,28670,28378,28076,27657,27202,26778,26549,26576,26448
14,Very Remote Australia (NSW),10004,9714,9381,9107,8869,8581,8475,8444,8407,8421,8445,8308,8173,8051,7935,7794,7633,7449,7305,7130,6982,6851,6864,6832
,Total New South Wales,6530349,6580807,6620715,6650735,6693206,6742690,6834156,6943461,7053755,7144292,7218529,7304244,7404032,7508353,7616168,7732858,7855316,7954476,8046748,8110610,8097062,8166704,8341199,8479314
20,Major Cities of Australia (Vic.),3568891,3615482,3664438,3712279,3767630,3831302,3913364,4003972,4105203,4180341,4245304,4342955,4449062,4556850,4668901,4799835,4909349,5009197,5102070,5159031,5075096,5141424,5312550,5457172
21,Inner Regional Australia (Vic.),951267,958509,965988,971742,978064,985563,995747,1007526,1021227,1035260,1047570,1061677,1075859,1089463,1103877,1122299,1140203,1158531,1177949,1196684,1212737,1228322,1242354,1259831
22,Outer Regional Australia (Vic.),239267,239670,239361,239198,239709,240650,240692,241174,241875,241897,241389,242922,244278,245174,246141,247658,249714,251980,253949,256023,256701,257600,258087,258478
23,Remote Australia (Vic.),4190,4113,4022,3930,3843,3751,3719,3703,3629,3603,3554,3537,3470,3430,3403,3380,3342,3330,3337,3308,3288,3285,3250,3238
,Total Victoria,4763615,4817774,4873809,4927149,4989246,5061266,5153522,5256375,5371934,5461101,5537817,5651091,5772669,5894917,6022322,6173172,6302608,6423038,6537305,6615046,6547822,6630631,6816241,6978719
30,Major Cities of Australia (Qld),2168333,2230583,2298157,2359734,2418332,2476660,2547654,2619577,2692642,2744472,2794169,2860924,2922735,2976136,3028447,3090353,3157015,3222134,3288723,3348704,3382871,3457709,3563005,3654893
31,Inner Regional Australia (Qld),730727,743425,758634,776795,796250,815423,833537,852940,873705,887349,899568,914619,928843,938578,944134,949508,960334,972419,984906,996676,1009523,1029629,1050817,1070567
32,Outer Regional Australia (Qld),540365,547833,555971,564106,574950,587448,600142,615575,629800,639106,647865,657988,666628,671989,674454,677250,681922,685578,689119,694107,697295,707116,719279,730225
33,Remote Australia (Qld),75356,74777,74455,74175,74214,74347,74928,75901,76492,76972,77650,77885,77763,76677,75385,73673,73047,72606,72278,72553,72578,72789,73213,73623
34,Very Remote Australia (Qld),56688,56505,55904,55160,54748,54114,54757,55512,56132,56845,57526,57271,56855,56273,55272,54368,54062,53886,53821,53573,53547,53698,54163,54525
,Total Queensland,3571469,3653123,3743121,3829970,3918494,4007992,4111018,4219505,4328771,4404744,4476778,4568687,4652824,4719653,4777692,4845152,4926380,5006623,5088847,5165613,5215814,5320941,5460477,5583833
40,Major Cities of Australia (SA),1111526,1118045,1124845,1130943,1139403,1151099,1165575,1180478,1197857,1213018,1223828,1237397,1249202,1261432,1272600,1283033,1297031,1312026,1330316,1349946,1358462,1374074,1401874,1422859
41,Inner Regional Australia (SA),136106,138234,140256,142355,144382,145989,148545,151214,153490,156058,157818,159840,161871,163872,165816,167624,169202,171108,173244,175799,178509,180969,183825,186873
42,Outer Regional Australia (SA),196901,197108,197279,197109,197585,198009,198614,198672,198898,199214,198779,200233,201262,202592,203332,203668,203940,204354,205060,205729,206496,206852,207587,208272
43,Remote Australia (SA),41114,41418,41645,41777,41866,42183,42490,42800,43035,43226,43352,43543,43596,43655,43733,43594,43742,43969,44171,44387,44741,44983,45276,45544
44,Very Remote Australia (SA),17814,16762,16374,16005,15568,15249,15395,15501,15622,15806,15837,15712,15557,15394,15187,14924,14758,14680,14604,14494,14393,14337,14410,14463
,Total South Australia,1503461,1511567,1520399,1528189,1538804,1552529,1570619,1588665,1608902,1627322,1639614,1656725,1671488,1686945,1700668,1712843,1728673,1746137,1767395,1790355,1802601,1821215,1852972,1878011
50,Major Cities of Australia (WA),1437203,1455853,1476752,1500508,1524508,1555749,1606740,1660302,1716140,1757420,1809287,1867607,1917819,1947385,1971785,1991389,2018206,2047420,2085159,2132067,2161813,2197476,2279779,2351188
51,Inner Regional Australia (WA),159949,161820,163586,166350,171902,176736,179328,185099,191118,195912,200613,207506,213784,217425,219940,221221,224372,227464,230977,234924,239254,243296,249046,255030
52,Outer Regional Australia (WA),171065,171429,171833,171146,172085,173369,173613,176083,178639,179794,181588,184985,187484,187682,186955,185186,186155,186634,187379,189079,190945,192434,194306,196490
53,Remote Australia (WA),79290,80319,81529,82110,82701,83585,83264,84017,85191,86092,87443,89268,90974,90292,89313,87895,88119,88571,89487,90760,91798,92748,93888,94942
54,Very Remote Australia (WA),58767,59091,59041,59428,60011,61142,63194,66199,69162,71627,74478,76141,76883,74824,72679,70287,68868,67703,66623,66082,65555,65840,66743,67428
,Total Western Australia,1906274,1928512,1952741,1979542,2011207,2050581,2106139,2171700,2240250,2290845,2353409,2425507,2486944,2517608,2540672,2555978,2585720,2617792,2659625,2712912,2749365,2791794,2883762,2965078
61,Inner Regional Australia (Tas.),282992,283674,286591,289490,291601,293579,296348,299743,303554,306918,309148,310289,311772,313784,315978,318600,325589,333058,340289,346293,351572,353575,355198,355918
62,Outer Regional Australia (Tas.),179220,179159,180668,182466,183349,184510,185673,187573,189621,190819,191435,190655,189885,189421,188792,188598,190750,193623,196755,200318,204477,206240,207280,208309
63,Remote Australia (Tas.),8819,8702,8648,8612,8638,8602,8657,8695,8657,8615,8454,8329,8110,7934,7848,7783,7884,8042,8213,8391,8600,8630,8678,8668
64,Very Remote Australia (Tas.),2637,2617,2627,2610,2614,2611,2584,2557,2521,2495,2446,2451,2464,2482,2499,2533,2539,2568,2584,2576,2590,2606,2582,2601
,Total Tasmania,473668,474152,478534,483178,486202,489302,493262,498568,504353,508847,511483,511724,512231,513621,515117,517514,526762,537291,547841,557578,567239,571051,573738,575496
72,Outer Regional Australia (NT),108280,108679,108433,109211,111388,113461,116935,121210,125315,127829,129106,133105,138471,141169,144914,147102,148752,148273,147251,147673,147971,149154,151122,152489
73,Remote Australia (NT),47012,47087,47115,47198,47488,47945,48747,49959,51261,52130,52490,52736,52860,52103,51373,50852,51052,51248,51539,51881,52193,52766,53285,53742
74,Very Remote Australia (NT),46451,46485,46177,46254,47029,47651,48066,48705,49451,49819,49696,50074,50391,49622,48405,47724,47608,47574,47769,47874,47987,48308,48655,48838
,Total Northern Territory,201743,202251,201725,202663,205905,209057,213748,219874,226027,229778,231292,235915,241722,242894,244692,245678,247412,247095,246559,247428,248151,250228,253062,255069
80,Major Cities of Australia (ACT),321033,324128,326876,328469,330940,334724,342199,347920,354314,361241,367426,375948,382639,388157,395156,402445,414385,425419,435064,444235,451823,456228,465674,473168
81,Inner Regional Australia (ACT),505,499,481,471,459,446,445,448,471,525,559,591,618,642,657,659,661,662,666,668,685,687,685,687
,Total Australian Capital Territory,321538,324627,327357,328940,331399,335170,342644,348368,354785,361766,367985,376539,383257,388799,395813,403104,415046,426081,435730,444903,452508,456915,466359,473855
91,Inner Regional Australia (OT),542,464,441,428,413,386,370,370,367,375,389,380,374,361,367,402,398,386,367,335,309,307,304,304
94,Very Remote Australia (OT),2042,1933,1895,1928,1968,1993,2144,2313,2509,2680,2728,2653,2588,2535,2484,4206,4273,4339,4409,4468,4541,4613,4663,4690
,Total Other Territories,2584,2397,2336,2356,2381,2379,2514,2683,2876,3055,3117,3033,2962,2896,2851,4608,4671,4725,4776,4803,4850,4920,4967,4994
0,Major Cities of Australia,13398632,13576969,13758296,13926699,14112583,14323547,14627852,14958910,15305349,15568416,15813701,16132853,16457054,16757374,17060142,17392876,17726860,18028187,18329669,18571518,18542637,18793212,19346712,19802969
1,Inner Regional Australia,3571477,3607774,3646934,3685321,3729153,3773105,3823935,3881708,3944521,3999123,4044512,4095239,4146566,4190104,4229215,4272829,4330441,4391150,4451987,4510529,4564349,4623765,4684186,4747645
2,Outer Regional Australia,1819652,1826869,1833501,1840092,1853962,1871586,1888740,1913862,1939221,1955389,1967432,1987491,2005037,2015440,2022084,2027519,2039982,2049880,2059373,2072522,2082855,2099419,2119633,2138173
3,Remote Australia,290537,290491,290607,290118,290339,291387,292480,295488,298758,301129,303223,305272,306561,303587,300093,295847,295564,295842,296682,298482,299976,301750,304166,306205
4,Very Remote Australia,194403,193107,191399,190492,190807,191341,194615,199231,203804,207693,211156,212610,212911,209181,204461,201836,199741,198199,197115,196197,195595,196253,198080,199377
,Total Australia,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26652777,27194369
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,
