This tab has one table with the estimated resident population for Commonwealth Electoral Divisions in Australia as at 30 June 2024. It ranges from cell A1 to Z160.,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population, Commonwealth Electoral Divisions, Australia",,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,,,,,,,,,,,,,,,,,,,,,,
,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CED code,CED name (a),no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.
101,Banks,148272,147743,147312,147376,148057,148743,150766,153114,155793,157927,159908,161657,163810,165814,167688,169403,171427,172849,173930,173815,171799,171806,175294,177653
102,Barton,154585,155526,156962,158159,159902,161961,165271,169142,172131,174165,175436,179573,183717,187790,191996,196476,199755,201132,202131,202531,199762,200846,208106,213359
103,Bennelong,153618,153829,154051,154379,154869,155649,158212,160659,162588,164722,166786,169939,172998,176457,180669,185071,189034,191751,195538,196910,194125,196127,202474,207348
104,Berowra,164741,165931,166764,167490,168093,168779,170383,172700,174734,176287,177518,178311,179342,180500,181848,183565,187062,190883,194029,195767,194459,194366,197369,199279
105,Blaxland,150637,151065,151879,153171,155569,158295,162291,166932,170886,174126,176749,180242,184204,188103,192482,197034,201632,205120,208281,208814,205753,206223,212753,218519
106,Bradfield,160980,162476,163310,163615,163715,164160,166404,169280,172660,175658,178445,181221,184189,187071,190229,193212,195390,196957,197979,197827,193927,193140,198101,201433
107,Calare,147910,148209,148216,147844,147879,148190,149433,151465,153976,155972,157738,159098,160697,162173,163409,164710,166142,167510,168620,169261,169744,170592,171664,172982
108,Chifley,126147,125948,125642,126512,127244,128318,129959,132331,134807,137250,139062,140551,142512,144466,147168,150510,156375,160773,165843,172443,177033,182148,189309,195732
109,Cook,136648,137131,137232,137063,137272,137366,138691,141175,143294,144503,145092,146163,147387,148832,150316,151530,152588,153503,154529,156038,156978,157822,160530,163041
110,Cowper,139346,141076,142633,144216,145392,146156,147757,149645,151196,153141,154424,155468,156540,157716,158651,159703,161532,163316,164893,166369,167163,169295,170827,172363
111,Cunningham,160030,160999,161187,161084,161079,161060,162654,164957,167081,169291,170751,171626,173064,174344,175746,177380,178444,179143,179615,179410,178104,178895,180831,182726
112,Dobell,131193,133009,134383,135163,136093,137087,139211,142530,145145,147281,148880,150440,151987,153644,155232,157108,159228,160826,162148,162935,163390,163948,165121,166563
113,Eden-Monaro,130554,132694,134637,135812,137243,138808,140246,141981,143807,145876,146966,148104,149264,150368,151513,152942,155175,157491,159795,162076,163890,165434,167379,169750
114,Farrer,161101,161034,160530,160052,160125,160656,160983,161234,161834,162199,162208,163035,164080,165253,166199,167287,168725,170140,171289,172504,173263,174158,175651,177408
115,Fowler,159762,159112,158322,157232,157259,157175,158835,162026,164529,165886,166952,168782,170752,172546,174417,176781,179653,181652,183153,183388,180862,180041,183426,186238
116,Gilmore,130347,132113,133487,134179,135293,135809,137306,138509,140382,142258,143865,145036,146335,148058,149791,151579,153339,155223,157118,159265,161085,162313,162832,164121
117,Grayndler,155665,154902,154196,153748,153912,154701,157344,159915,162256,164070,165541,167298,169457,171486,173467,175879,177282,178091,177882,176626,171693,171450,175986,178674
118,Greenway,80734,85447,88632,91574,94236,97268,101182,105172,108994,113600,116752,120279,124316,127798,131368,135488,140554,145620,153670,161833,169775,179833,190815,200074
119,Hughes,147778,147801,147227,146349,145748,145337,146331,148432,150761,151337,151533,152530,154196,155639,157134,159073,160196,161133,161994,162331,162047,162481,164520,166259
120,Hume,83577,85849,87685,88671,90287,91487,93638,95967,98342,100446,102799,105657,108994,113347,118295,123311,129407,135359,141747,147076,152176,158673,165240,171936
121,Hunter,133425,134605,135523,136025,136576,136975,138567,140649,142490,144397,146178,147505,149146,150799,152200,153681,156396,159789,162668,165539,168255,171611,174804,178205
122,Kingsford Smith,152862,153033,152919,152564,153185,154044,156983,160750,164418,167338,169444,172228,175879,179632,183624,188297,191013,191615,191667,191237,185895,188029,194745,197475
123,Lindsay,129903,130798,130913,130296,130744,131088,132461,134880,136738,137833,139511,142165,145248,148438,152316,156175,160318,164544,168708,172427,175308,177339,180653,184601
124,Lyne,126897,128716,130432,131895,133133,133729,135232,136670,138438,140088,141408,142616,143803,144985,146275,147870,149809,151813,153756,155673,157177,158962,160493,162175
125,Macarthur,119369,119524,119211,118461,118221,117802,118418,119147,119920,120111,120530,121754,123104,125394,128408,132634,138360,144311,150575,156648,161849,167242,173436,179332
126,Mackellar,154322,154594,154578,154771,155864,156968,158931,160854,163736,165801,167698,169284,171110,172977,174836,176687,178115,178732,179292,178926,177053,176342,178801,180213
127,Macquarie,153513,153842,153791,152599,151766,151373,152418,154293,155837,156547,157223,157581,158329,158900,159313,159753,160194,160483,160585,160749,159929,159798,160886,161951
128,McMahon,158730,158047,157398,156965,157887,158703,160626,163674,166732,168631,170207,172049,174512,176947,179499,182329,184844,186575,187637,187194,184698,184021,186827,188594
129,Mitchell,117255,121352,125340,128523,131292,133669,135713,138431,141564,143719,145147,147156,149819,153158,156502,160117,165444,169986,174620,178286,180325,182548,187378,190808
130,New England,165428,165724,165330,164841,165028,166062,166981,168270,170023,171767,173122,174110,174955,175728,176303,177002,177984,178814,179557,179384,178905,180070,181572,182574
131,Newcastle,139410,140625,141979,143159,144161,144972,146726,148734,150192,151765,153922,154828,155826,157005,157986,159010,161084,163011,164798,166552,167742,169931,172727,175407
132,Page,152948,153653,154072,154577,155324,156578,157946,159110,160341,161728,162429,163027,163718,164261,164694,165445,166644,167868,168962,169838,171960,173327,174068,175618
133,Parkes,197531,195541,192914,190205,188206,186727,186061,185897,186386,187182,187431,186975,186564,186377,185833,185399,185461,185516,185178,184400,183515,183082,183750,183927
134,Parramatta,148402,149208,150238,151542,153142,155391,159121,163649,168632,172331,176104,179995,184909,190083,195012,199643,206800,211993,215761,216786,213216,213761,221432,226459
135,Paterson,110160,112418,114818,116709,118683,120192,123148,125006,126743,128880,130921,133786,136395,138983,141348,143842,146586,149587,152451,156346,160453,165010,168414,171805
136,Reid,123173,126064,129064,132754,136899,140687,145231,149149,154267,157610,160823,166208,172795,179459,184577,190803,195352,198863,202798,204691,203317,204689,210992,216187
137,Richmond,130177,132651,135317,137321,138298,139591,141557,143748,145897,147479,148436,150004,151815,153526,155535,158089,160009,162037,163889,165975,167186,168752,170697,172723
138,Riverina,156827,157221,157459,157574,158174,159260,160397,161603,163077,164480,165347,166110,166762,167574,168469,169508,170948,172204,173496,174853,175687,176475,177240,177982
139,Robertson,136379,137194,137396,137172,137418,137840,138922,140863,142310,143387,143894,144633,145387,146142,147164,148318,149474,150576,151725,152855,153010,152857,154223,155441
140,Shortland,142476,143131,143562,143603,143799,144044,144647,146125,147824,149157,150340,150728,151416,151894,152346,152913,153817,154785,155707,156626,157300,158278,159577,160673
141,Sydney,130437,137630,145949,152607,158256,163633,168301,172566,176671,180422,182980,188514,194776,202523,211736,219957,225227,227371,228067,226756,216034,219474,231839,237426
142,Warringah,161298,161470,161890,162509,163111,164538,167202,169500,173005,176001,178631,180394,182533,184547,186675,188737,189786,189978,189409,187717,182933,181885,187592,190088
143,Watson,159140,159357,159619,159659,160738,163009,166713,170936,174223,176593,178740,180918,183606,186217,188707,191216,193997,196046,197423,197593,194419,193835,198330,201011
144,Wentworth,168256,168734,169469,170765,171736,173681,176264,178726,181435,183319,185398,187551,189783,191960,193751,195747,196357,195067,193496,189957,181173,180115,185397,188552
145,Werriwa,108500,112016,113997,115722,117470,119598,121653,124142,126950,129243,131605,134360,137664,141211,145220,149211,153502,157205,160714,163755,167103,170941,175894,180508
146,Whitlam,129906,131765,133250,134228,134828,135531,137040,138923,140710,142488,143655,144755,146337,148228,150221,152433,154855,157235,159625,162628,165592,168739,171204,174121
201,Aston,160829,162213,163162,163193,163523,164538,165721,167065,169048,169513,169399,170185,171215,172339,173775,175616,176837,177751,178598,178396,175237,174192,176518,178150
202,Ballarat,113124,113995,115031,115809,116743,117794,119195,121219,123492,125869,128018,129959,132048,133973,135905,138398,140988,143636,146486,148966,151425,154232,156740,160215
203,Bendigo,118783,119992,121519,122644,123520,124902,126671,128290,130074,131798,133430,135769,138230,140700,143112,145899,148265,150591,152990,155154,156780,158470,160080,161878
204,Bruce,152079,156382,160456,163173,165237,167002,169301,172501,175556,177988,179928,182606,185420,188269,191198,195023,197875,200048,201552,201446,197146,196713,200220,202852
205,Calwell,84913,87755,90637,93424,96272,99225,102761,106507,110860,114480,117853,122430,127890,133823,140083,147963,156177,164302,172331,179022,181431,186376,193565,199666
206,Casey,148337,149140,149508,149517,149743,150400,151444,152833,154659,155412,155750,156676,157727,158783,160181,162028,163521,164608,165509,165553,163936,163942,165158,166666
207,Chisholm,168016,168505,168753,169643,170898,172798,174706,177161,179784,180910,181509,183530,185430,187570,189516,191991,194415,196196,197845,198254,191895,193078,200173,204948
208,Cooper,137876,138185,138543,139659,141279,143418,146080,149016,152020,153578,154738,157138,159766,162456,165312,168861,170533,171319,171836,171833,164776,165428,171427,176083
209,Corangamite,69813,72235,73938,75344,77018,78622,80676,82965,85484,87995,90642,93398,96513,99968,104288,109580,115239,120987,126962,133329,139778,145660,150513,155755
210,Corio,138584,139879,140825,141385,141742,142317,143515,144888,146356,147946,149536,151354,153591,155508,157404,159914,162115,164410,166858,168035,168097,169032,171233,173759
211,Deakin,161768,162008,162230,162432,163015,164005,165927,168003,170504,171590,172564,174643,177020,179484,181736,184574,186829,188265,189291,189647,185627,185492,188557,191664
212,Dunkley,138703,139917,141252,142979,144508,146267,148738,151933,155150,157333,158761,160764,163184,165357,167346,169589,170981,172114,172678,172896,171127,171510,173540,175678
213,Flinders,126708,129158,130784,131816,132926,134506,136965,139537,142083,143542,144233,146647,148916,151391,153709,156374,159031,161365,163376,164947,165298,164629,165087,166276
214,Fraser,146451,147612,149238,151023,153461,155839,159406,163553,167969,171566,174342,177732,181706,185989,190114,194710,197366,199006,199864,198840,191504,190872,197123,201406
215,Gellibrand,82042,84291,87043,89802,93766,97875,103078,108813,115421,122222,129192,136852,144006,152055,160706,170092,179167,187517,195713,200869,200688,204184,210544,215415
216,Gippsland,132161,132337,132453,132950,133661,134810,136035,137437,138889,140356,141695,142816,143725,144477,145449,146869,148222,149657,151128,152457,153765,155123,156074,157270
217,Goldstein,144779,145608,146471,147459,148616,150353,152315,154784,157082,158100,159276,161147,163460,166231,168582,171457,173304,175363,176771,176993,172654,173089,177228,181029
218,Gorton,93421,97714,102212,106766,111922,117074,122809,128469,135104,141006,145390,149134,153013,156587,160240,164613,168807,173272,176674,178644,180032,186557,195255,204231
219,Hawke,90340,92365,95039,97459,100120,102966,105846,109268,113679,117681,121164,125152,129080,132685,136529,141418,146473,151732,158028,163910,167531,172519,178908,186400
220,Holt,69059,72356,77086,81384,85381,89436,94042,99242,104280,108955,113674,118943,125058,131625,139142,147460,154496,161075,167620,173435,176776,181790,188041,194324
221,Hotham,161869,162024,162420,163316,164722,166812,169571,172630,176566,178658,180901,184270,187717,191178,195316,199669,202594,205039,207082,207736,198738,201146,210571,217081
222,Indi,131343,132192,132873,133588,134107,134630,135022,135625,135898,136755,137565,139164,140827,142397,144214,146464,148545,150696,152419,154267,156030,157381,158673,160016
223,Isaacs,138456,139376,140320,141487,142990,145465,149006,152224,156014,157431,158866,162329,165808,169286,173101,177599,179999,182212,184129,184137,179970,179798,184132,187402
224,Jagajaga,154451,153918,153923,153206,153694,154454,155882,157370,159285,159981,160244,161313,162557,163890,165324,167317,168636,169686,170569,170084,166489,166391,168759,171262
225,Kooyong,163876,164349,164787,165444,166223,167186,168759,170821,172732,173423,173695,175126,177176,179449,181520,184081,185071,185952,186053,184024,174654,174748,180400,183750
226,La Trobe,49781,51544,54411,58087,61474,65199,69082,73601,79291,84159,88556,93736,98376,103012,108836,115721,122931,132171,143033,153206,160949,168959,176969,185861
227,Lalor,83074,84808,87486,90296,93626,96758,100997,105258,110185,115621,120243,125818,130498,134818,139517,144856,151623,159204,167722,175970,182278,191313,201307,210383
228,Macnamara,119228,123158,126938,130400,133643,137027,140416,143508,146796,148800,149865,154615,159959,164450,168424,173216,176203,179278,181620,181257,171061,173461,182742,188139
229,Mallee,163378,163469,162834,162056,161758,161869,161825,161836,162155,161824,161068,161777,162397,162685,162822,163371,164439,165616,166547,167484,167102,167182,167196,167043
230,Maribyrnong,144451,144854,144765,145230,145835,147057,149155,151614,154076,155407,156345,158285,160642,163587,166726,170017,171907,173346,174572,174773,169450,169616,174081,178249
231,McEwen,66560,67632,69014,71053,73168,75030,77880,81297,86076,90813,95725,102174,108569,114344,120077,127234,133031,138675,145002,150868,156539,162936,169438,176885
232,Melbourne,102980,107816,112348,116672,120943,125043,129955,134949,140149,144214,147844,157115,169228,181061,191989,203754,214518,221959,227226,227669,206161,212708,233199,246675
233,Menzies,163880,164352,164607,164833,165546,166646,168575,170501,172455,173301,173559,175126,177042,179110,181645,184700,187652,189961,192890,194961,190492,191942,197677,202033
234,Monash,103950,104612,105466,106145,107005,107845,109150,110796,112825,115678,118144,120230,122186,123992,126081,128797,131981,135208,138574,142241,146009,149158,151567,154023
235,Nicholls,138910,139686,140825,141096,141859,142941,144303,145693,147220,148728,149663,151414,153000,154543,155848,157393,159121,160782,162573,164138,164804,165876,166587,168057
236,Scullin,114301,116355,118123,118847,120168,122003,124482,127689,131156,134513,138773,142874,147022,151062,155663,160641,164359,167472,170033,172596,171211,173417,178178,183337
237,Wannon,146500,146957,147205,147377,147633,147972,148419,149080,149856,150245,150412,151104,151794,152301,152853,153695,154693,155745,156958,158355,159041,159256,159887,160691
238,Wills,138841,139025,139284,140155,141501,143182,145812,148399,151705,153710,155255,157746,160873,164482,168039,172218,174664,176822,178193,178654,171341,172455,178894,184167
301,Blair,115209,116566,118171,119994,122638,125458,128820,132807,138133,142400,146320,151121,155356,159401,163046,167269,170938,175222,182035,187712,193203,200127,206388,213570
302,Bonner,122182,124808,127032,129183,131077,133276,136452,139464,142750,144599,146718,149131,151086,152682,154025,155923,158314,160280,162569,164829,165316,167029,170308,173929
303,Bowman,115832,118870,122994,126010,128654,130760,133596,136771,139859,141552,143711,145719,147328,148833,150107,152216,154656,156885,158937,160418,161709,163729,166799,170225
304,Brisbane,113370,117135,122672,126835,130749,135446,139169,142113,144619,146284,148978,152736,156715,160420,164286,168688,174091,179147,183955,187751,186678,191663,200679,207144
305,Capricornia,128285,129982,132005,134246,136728,139696,142372,145080,148146,150115,152390,155104,157252,157209,156371,155126,155527,156229,157668,159648,161702,164028,166451,168527
306,Dawson,126525,129669,132440,135467,139506,143314,146072,148581,151290,153194,154932,157010,158390,158629,158336,157511,158398,159370,160359,162515,164080,166643,169642,172183
307,Dickson,116387,119993,124045,126834,129677,132212,135568,138763,142296,144802,146893,149308,151014,152513,154232,156747,158296,159641,160521,161803,162235,164723,167934,170887
308,Fadden,98082,102682,107523,111302,115143,119482,125462,131367,136997,141201,144587,149048,153477,157405,161524,168131,174491,181026,187156,193073,197431,204001,210914,216339
309,Fairfax,101902,105279,108937,112501,115320,118367,121205,124292,127127,129368,131372,136013,140410,143984,148065,152224,156489,160967,165116,168388,171618,175102,178858,182272
310,Fisher,96435,99875,105343,109964,114106,117548,121308,125734,130116,132872,135015,138004,140760,143846,146410,149780,154063,158734,163907,169089,174116,179828,186092,192057
311,Flynn,127043,128748,130641,133127,135118,137867,140511,143982,147613,149307,152064,154524,157317,159307,159644,158565,158376,158667,159377,160058,160598,162671,165636,168225
312,Forde,108245,111755,114597,118033,122657,127454,132060,137541,142759,146429,149985,155076,159869,163404,167080,171167,175535,180147,185792,191322,196351,204471,213773,221840
313,Griffith,113186,116168,118887,121458,124212,126915,130172,133891,137164,139248,142236,145590,148723,151554,154517,157981,163418,168912,174507,179189,180686,184990,191750,196854
314,Groom,124363,126001,127888,130131,133016,135098,136929,139038,141273,142915,144092,146387,148245,149680,150944,152227,154739,157099,159258,161195,162815,165799,169032,171443
315,Herbert,121568,123591,125512,127978,131300,134819,138363,142922,146969,150217,153750,156917,159396,161367,162431,163516,164274,164762,165418,166027,166434,168238,170965,173507
316,Hinkler,106589,108653,111777,115745,119706,123930,128074,132318,135944,138282,139678,141668,143018,143981,144563,145428,147657,150345,152763,155233,157938,162070,165929,169686
317,Kennedy,153585,153764,154248,154366,155114,156140,159507,163155,165765,167300,168441,169597,170472,170391,169752,168848,169648,170794,171653,173042,173906,175930,178302,180580
318,Leichhardt,129240,131098,133800,136490,139965,143765,147635,152258,156292,159144,161544,164394,167117,168966,170620,172775,174743,176042,177045,178064,178313,180578,183653,186051
319,Lilley,127112,128915,129730,130457,131433,132751,134948,137864,141189,143691,145929,148209,150580,152519,154286,156160,158295,160246,162349,163526,163823,165983,169344,172925
320,Longman,102130,104988,108740,113692,117700,121609,126442,132157,137874,142486,145970,150704,154863,158446,161720,165413,169718,174551,179702,184797,189683,196480,202998,209653
321,Maranoa,139805,140148,140069,140098,140643,141606,143166,145240,147427,149096,151058,152333,153467,153464,152488,151552,151956,152157,152446,152604,153050,154227,156061,157509
322,McPherson,114121,119186,124336,128710,131586,134448,138590,140980,143320,145145,147357,149861,151812,153622,155501,157358,159389,161382,163306,165179,165639,167373,171146,174774
323,Moncrieff,135770,138569,142188,145206,147374,150192,152922,155111,157917,159878,160850,163910,166499,168471,170925,173544,176822,179197,181002,183487,184516,188100,194096,198534
324,Moreton,134572,137255,139063,140897,143370,145789,147592,150183,153443,155218,157495,160586,163434,165831,167980,169898,171143,171673,172521,172929,171131,172759,178078,182147
325,Oxley,110250,113979,118194,122890,127451,131728,136844,141683,146409,150161,153480,157948,162399,166448,169822,173901,177704,181623,184226,187025,189726,194947,202019,207144
326,Petrie,102383,105273,108582,112276,116790,119470,125363,130767,135900,140418,144189,149214,154076,159079,164042,169081,173457,177624,181710,185543,188322,192104,196896,200897
327,Rankin,137908,141133,144849,148512,151361,155013,159516,164085,168670,171061,173989,177370,181047,183067,184404,186439,188038,189252,190163,190579,190086,191798,196292,200281
328,Ryan,127555,131027,134448,136917,138981,141463,144204,146825,149741,151833,153241,155384,156835,158057,159066,160760,163070,164927,166949,168161,166366,168250,173652,177448
