school_code,ageid,school_name,street,town_suburb,postcode,phone,school_email,website,fax,latest_year_enrolment_fte,indigenous_pct,lbote_pct,icsea_value,level_of_schooling,selective_school,opportunity_class,school_specialty_type,school_subtype,support_classes,preschool_ind,distance_education,intensive_english_centre,school_gender,late_opening_school,date_1st_teacher,lga,electorate_from_2023,electorate_2015_2022,fed_electorate_from_2025,fed_electorate_2016_2024,operational_directorate,principal_network,operational_directorate_office,operational_directorate_office_phone,operational_directorate_office_address,facs_district,local_health_district,aecg_region,asgs_remoteness,latitude,longitude,assets_unit,sa4,foei_value,date_extracted
5195,48633,Hurstville Grove Infants School,81 Landsdowne St,Penshurst ,2222,9580 5361,hurstvilgr-p.school@det.nsw.edu.au,https://hurstvilgr-p.schools.nsw.gov.au/,9580 6375,53.0,np,56.0,1080.0,Infants School,Not Selective,N,Comprehensive,Kindergarten to Year 2,,N,N,N,Coed,N,1951-09-01,Georges River,Oatley,Oatley,Banks,Banks,Metropolitan South,Georges River,Riverwood,131 536,"Riverwood Education Office, 11 Union Street","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.973128,151.090536,Sydney,Sydney - Inner South West,36.0,2025-09-01
8284,57056,"Georges River College, Oatley Senior Campus",Oatley Ave & Hurstville Rd,Oatley ,2223,8567 3700,oatleysnr-h.school@det.nsw.edu.au,https://oatleyseniorcampus.nsw.edu.au,9570 3622,678.8,1.0,74.0,1018.0,Secondary School,Not Selective,N,Senior College,Year 11 to Year 12,,N,N,N,Coed,N,2001-01-29,Georges River,Oatley,Oatley,Banks,Banks,Metropolitan South,Georges River,Riverwood,131 536,"Riverwood Education Office, 11 Union Street","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.977001,151.081391,Sydney,Sydney - Inner South West,89.0,2025-09-01
5513,67657,St George Hospital School,Paediatric Ward Lvl 1 East,Kogarah,2217,9113 2329,stgeorgeho-s.school@det.nsw.edu.au,https://stgeorgeho-s.schools.nsw.gov.au,9553 8051,,,,,Schools for Specific Purposes,Not Selective,N,Comprehensive,Hospital School,,N,N,N,Coed,N,1943-01-01,Georges River,Kogarah,Kogarah,Barton,Barton,Metropolitan South,Kogarah,Arncliffe,131 536,"Arncliffe Education Office, Corner Segenhoe and Avenal Streets","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.96671,151.13399,Sydney,Sydney - Inner South West,100.0,2025-09-01
1215,48601,Beverly Hills Public School,Stoney Ck & King Georges Rds,Beverly Hills,2209,9580 5074,beverlyhi-p.school@det.nsw.edu.au,https://beverlyhi-p.schools.nsw.gov.au,9580 7052,339.0,2.0,81.0,1048.0,Primary School,Not Selective,N,Comprehensive,Kindergarten to Year 6,,N,N,N,Coed,N,1892-04-01,Georges River,Kogarah,Kogarah,Barton,Barton,Metropolitan South,Beverly Hills,Riverwood,131 536,"Riverwood Education Office, 11 Union Street","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.953449,151.085209,Sydney,Sydney - Inner South West,66.0,2025-09-01
1255,56167,Blakehurst Public School,Dewrang St,Blakehurst ,2221,9546 1555,blakehurst-p.school@det.nsw.edu.au,https://blakehurst-p.schools.nsw.gov.au,9547 1796,278.0,3.0,59.0,1050.0,Primary School,Not Selective,N,Comprehensive,Kindergarten to Year 6,,N,N,N,Coed,N,1882-01-01,Georges River,Kogarah,Kogarah,Banks,Cook,Metropolitan South,Kogarah,Arncliffe,131 536,"Arncliffe Education Office, Corner Segenhoe and Avenal Streets","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.98298,151.115779,Sydney,Sydney - Inner South West,64.0,2025-09-01
1513,48629,Carlton South Public School,65-69 Jubilee Ave,CARLTON,2218,9587 5235,carltonsth-p.school@det.nsw.edu.au,https://carltonsth-p.schools.nsw.gov.au,9553 8308,538.0,np,80.0,1070.0,Primary School,Not Selective,N,Comprehensive,Kindergarten to Year 6,,N,N,N,Coed,N,1922-08-01,Georges River,Kogarah,Kogarah,Barton,Banks,Metropolitan South,Kogarah,Arncliffe,131 536,"Arncliffe Education Office, Corner Segenhoe and Avenal Streets","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.973045,151.128287,Sydney,Sydney - Inner South West,45.0,2025-09-01
1613,48632,Connells Point Public School,2 Riverview Ave, Connells Point,2221,9546 1730,connellspt-p.school@det.nsw.edu.au,https://connellspt-p.schools.nsw.gov.au,9547 1708,458.0,1.0,71.0,1098.0,Primary School,Not Selective,N,Comprehensive,Kindergarten to Year 6,,N,N,N,Coed,N,1934-08-01,Georges River,Oatley,Oatley,Banks,Banks,Metropolitan South,Kogarah,Arncliffe,131 536,"Arncliffe Education Office, Corner Segenhoe and Avenal Streets","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.984689,151.100306,Sydney,Sydney - Inner South West,37.0,2025-09-01
2197,44405,Hurstville Public School,50 Forest Road,HURSTVILLE,2220,9587 3963,hurstville-p.school@det.nsw.edu.au,https://hurstville-p.schools.nsw.gov.au,9553 8029,1092.0,1.0,97.0,1104.0,Primary School,Not Selective,Y,Comprehensive,Kindergarten to Year 6,,N,N,N,Coed,N,1876-10-01,Georges River,Kogarah,Kogarah,Barton,Barton,Metropolitan South,Georges River,Riverwood,131 536,"Riverwood Education Office, 11 Union Street","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.964695,151.110728,Sydney,Sydney - Inner South West,23.0,2025-09-01
2198,44406,Hurstville South Public School,Maher St,Hurstville ,2220,9580 2695,hurstvills-p.school@det.nsw.edu.au,https://hurstvills-p.schools.nsw.gov.au,9580 8984,500.0,np,92.0,1087.0,Primary School,Not Selective,N,Comprehensive,Kindergarten to Year 6,,N,N,N,Coed,N,1915-06-01,Georges River,Oatley,Oatley,Banks,Banks,Metropolitan South,Georges River,Riverwood,131 536,"Riverwood Education Office, 11 Union Street","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.972516,151.099252,Sydney,Sydney - Inner South West,33.0,2025-09-01
2307,48598,Kingsgrove Public School,Kingsgrove Rd,Kingsgrove ,2208,9150 9097,kingsgrove-p.school@det.nsw.edu.au,https://kingsgrove-p.schools.nsw.gov.au,9554 3776,314.0,3.0,79.0,1003.0,Primary School,Not Selective,N,Comprehensive,Kindergarten to Year 6,,N,N,N,Coed,N,1918-05-01,Georges River,Kogarah,Kogarah,Barton,Barton,Metropolitan South,Beverly Hills,Riverwood,131 536,"Riverwood Education Office, 11 Union Street","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.947822,151.10156,Sydney,Sydney - Inner South West,98.0,2025-09-01
2319,48625,Kogarah Public School,Gladstone St,Kogarah ,2217,9587 9472,kogarah-p.school@det.nsw.edu.au,https://kogarah-p.schools.nsw.gov.au,9553 8306,466.0,np,94.0,1086.0,Primary School,Not Selective,N,Comprehensive,Kindergarten to Year 6,,N,N,N,Coed,N,1870-07-01,Georges River,Kogarah,Kogarah,Barton,Barton,Metropolitan South,Kogarah,Arncliffe,131 536,"Arncliffe Education Office, Corner Segenhoe and Avenal Streets","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.962028,151.136618,Sydney,Sydney - Inner South West,28.0,2025-09-01
2624,48636,Mortdale Public School,Colebourne Ave,Mortdale ,2223,9580 5244,mortdale-p.school@det.nsw.edu.au,https://mortdale-p.schools.nsw.gov.au,9580 7053,357.0,np,60.0,1095.0,Primary School,Not Selective,N,Comprehensive,Kindergarten to Year 6,,N,N,N,Coed,N,1889-01-01,Georges River,Oatley,Oatley,Banks,Banks,Metropolitan South,Georges River,Riverwood,131 536,"Riverwood Education Office, 11 Union Street","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.972901,151.080995,Sydney,Sydney - Inner South West,44.0,2025-09-01
